date,value
1900-01-05,18.512650
1900-02-05,18.674275
1900-03-05,18.703797
1900-04-05,18.775793
1900-05-05,18.936402
1900-06-05,18.403197
1900-07-05,17.992712
1900-08-05,17.689545
1900-09-05,18.069615
1900-10-05,17.341874
1900-11-05,18.102399
1900-12-05,19.419585
1901-01-05,20.744051
1901-02-05,20.978582
1901-03-05,21.679150
1901-04-05,22.347584
1901-05-05,24.409717
1901-06-05,23.064013
1901-07-05,25.238466
1901-08-05,23.144849
1901-09-05,23.077178
1901-10-05,22.590468
1901-11-05,22.252902
1901-12-05,22.375075
1902-01-05,21.680215
1902-02-05,22.340291
1902-03-05,22.459957
1902-04-05,22.410652
1902-05-05,22.823109
1902-06-05,22.427954
1902-07-05,21.963742
1902-08-05,22.385687
1902-09-05,23.168672
1902-10-05,22.856566
1902-11-05,20.604425
1902-12-05,20.408541
1903-01-05,19.633232
1903-02-05,20.318132
1903-03-05,20.107052
1903-04-05,19.884560
1903-05-05,18.980023
1903-06-05,18.954859
1903-07-05,17.818552
1903-08-05,16.918178
1903-09-05,16.299119
1903-10-05,15.654359
1903-11-05,15.252944
1903-12-05,15.407878
1904-01-05,16.042894
1904-02-05,15.861834
1904-03-05,15.021498
1904-04-05,15.081930
1904-05-05,15.565491
1904-06-05,15.525821
1904-07-05,15.474434
1904-08-05,16.036402
1904-09-05,16.304652
1904-10-05,16.742600
1904-11-05,17.633197
1904-12-05,18.076200
1905-01-05,18.159679
1905-02-05,18.459852
1905-03-05,19.168996
1905-04-05,19.831506
1905-05-05,19.482928
1905-06-05,18.629488
1905-07-05,18.735862
1905-08-05,19.205883
1905-09-05,19.573308
1905-10-05,19.743492
1905-11-05,19.897395
1905-12-05,19.443526
1906-01-05,19.577961
1906-02-05,20.132402
1906-03-05,19.866753
1906-04-05,19.259453
1906-05-05,18.876205
1906-06-05,18.054044
1906-07-05,18.172666
1906-08-05,18.195200
1906-09-05,18.967251
1906-10-05,19.200994
1906-11-05,18.095381
1906-12-05,18.141852
1907-01-05,17.660004
1907-02-05,17.218914
1907-03-05,16.217071
1907-04-05,14.687545
1907-05-05,14.669710
