date,value
2003-01-05,1.898734
2003-02-05,2.247127
2003-03-05,2.963846
2003-04-05,2.532694
2003-05-05,2.268724
2003-06-05,2.488890
2003-07-05,1.937026
2003-08-05,1.591341
2003-09-05,1.888071
2003-10-05,1.801386
2003-11-05,1.873663
2003-12-05,1.934040
2004-01-05,1.694434
2004-02-05,1.765520
2004-03-05,2.156524
2004-04-05,1.969335
2004-05-05,1.617392
2004-06-05,1.750584
2004-07-05,1.827694
2004-08-05,1.931673
2004-09-05,2.092280
2004-10-05,2.055840
2004-11-05,2.225202
2004-12-05,2.048531
2005-01-05,1.893946
2005-02-05,2.111201
2005-03-05,2.089036
2005-04-05,1.986631
2005-05-05,2.315625
2005-06-05,2.288601
2005-07-05,2.036063
2005-08-05,1.804036
2005-09-05,2.240775
2005-10-05,2.026495
2005-11-05,1.959852
2005-12-05,1.686272
2006-01-05,1.741604
2006-02-05,1.778047
2006-03-05,1.739578
2006-04-05,1.458261
2006-05-05,1.374489
2006-06-05,1.498538
2006-07-05,1.410472
2006-08-05,1.749110
2006-09-05,1.681794
2006-10-05,1.589524
2006-11-05,1.368176
2006-12-05,1.603604
2007-01-05,1.285328
2007-02-05,1.265452
2007-03-05,1.490968
2007-04-05,1.592777
2007-05-05,1.466962
2007-06-05,1.029963
2007-07-05,0.887204
2007-08-05,1.208292
2007-09-05,1.534295
2007-10-05,1.401711
2007-11-05,1.720235
2007-12-05,2.226657
2008-01-05,2.292746
2008-02-05,2.822796
2008-03-05,3.096177
2008-04-05,3.243446
2008-05-05,2.751548
2008-06-05,2.590045
2008-07-05,3.040937
2008-08-05,3.043040
2008-09-05,2.962544
2008-10-05,2.730932
2008-11-05,3.342265
2008-12-05,4.323226
2009-01-05,4.163608
2009-02-05,4.749937
2009-03-05,5.101059
2009-04-05,5.975441
2009-05-05,4.904736
2009-06-05,4.371424
2009-07-05,4.233447
2009-08-05,4.139953
2009-09-05,3.826673
2009-10-05,3.800138
2009-11-05,3.755821
2009-12-05,3.707252
2010-01-05,3.490684
2010-02-05,3.551428
2010-03-05,3.539944
2010-04-05,3.060862
2010-05-05,3.286136
2010-06-05,3.622796
2010-07-05,3.795333
2010-08-05,4.014230
2010-09-05,3.958092
2010-10-05,4.256436
2010-11-05,4.228070
2010-12-05,3.748141
2011-01-05,3.385007
2011-02-05,3.051932
2011-03-05,3.257162
2011-04-05,3.426939
2011-05-05,3.620788
2011-06-05,3.586609
2011-07-05,3.754717
2011-08-05,4.102630
2011-09-05,4.987568
2011-10-05,4.956628
2011-11-05,5.021345
2011-12-05,4.925153
2012-01-05,4.972445
2012-02-05,4.924089
2012-03-05,4.787696
2012-04-05,4.614336
2012-05-05,4.891527
2012-06-05,5.335215
2012-07-05,5.376771
2012-08-05,5.422054
2012-09-05,5.360621
2012-10-05,5.410590
2012-11-05,5.384541
2012-12-05,5.635110
2013-01-05,5.258483
2013-02-05,5.116111
2013-03-05,5.184587
2013-04-05,5.200461
2013-05-05,4.955630
2013-06-05,4.331343
2013-07-05,3.701987
2013-08-05,3.836685
2013-09-05,3.361436
2013-10-05,3.805795
2013-11-05,3.645557
2013-12-05,3.298099
2014-01-05,3.272224
2014-02-05,3.462589
2014-03-05,3.546540
2014-04-05,3.397046
2014-05-05,3.584484
2014-06-05,3.599097
2014-07-05,3.542668
2014-08-05,3.623335
2014-09-05,3.593565
2014-10-05,3.338257
2014-11-05,3.544129
2014-12-05,3.198435
