date,value
1980-12-30,-3.693426
1980-12-31,-3.387424
1981-01-02,-2.974671
1981-01-05,-1.814690
1981-01-06,-1.707948
1981-01-07,-3.871336
1981-01-08,-5.308857
1981-01-09,-5.009969
1981-01-12,-4.981497
1981-01-13,-5.145183
1981-01-14,-5.017081
1981-01-15,-4.483350
1981-01-16,-4.091944
1981-01-19,-4.376607
1981-01-20,-6.312276
1981-01-21,-6.518647
1981-01-22,-7.301458
1981-01-23,-7.322807
1981-01-26,-7.600347
1981-01-27,-6.689445
1981-01-28,-7.244526
1981-01-29,-7.315684
1981-01-30,-7.806718
1981-02-02,-9.685454
1981-02-03,-8.582406
1981-02-04,-8.489900
1981-02-05,-7.749786
1981-02-06,-7.059492
1981-02-09,-8.005978
1981-02-10,-8.027326
1981-02-11,-8.738969
1981-02-12,-9.279818
1981-02-13,-9.635639
1981-02-17,-9.044980
1981-02-18,-8.568181
1981-02-19,-9.898949
1981-02-20,-9.920297
1981-02-23,-9.372335
1981-02-24,-9.343869
1981-02-25,-8.539709
1981-02-26,-7.415313
1981-02-27,-6.582693
1981-03-02,-6.056084
1981-03-03,-7.087963
1981-03-04,-6.874468
1981-03-05,-7.536301
1981-03-06,-7.593224
1981-03-09,-6.689445
1981-03-10,-7.159121
1981-03-11,-7.522066
1981-03-12,-5.216341
1981-03-13,-5.273273
1981-03-16,-4.156000
1981-03-17,-4.696844
1981-03-18,-4.483350
1981-03-19,-5.024194
1981-03-20,-4.582979
1981-03-23,-3.437234
1981-03-24,-4.163113
1981-03-25,-2.426703
1981-03-26,-3.024480
1981-03-27,-4.177348
1981-03-30,-4.440652
1981-03-31,-3.216627
1981-04-01,-2.810986
1981-04-02,-2.988896
1981-04-03,-3.579561
1981-04-06,-4.689732
1981-04-07,-4.703957
1981-04-08,-4.419304
1981-04-09,-4.163113
1981-04-10,-4.276978
1981-04-13,-5.244812
1981-04-14,-5.579285
1981-04-15,-4.518934
1981-04-16,-4.141764
1981-04-20,-3.608032
1981-04-21,-4.476237
1981-04-22,-4.540282
1981-04-23,-4.682609
1981-04-24,-3.828640
1981-04-27,-3.586684
1981-04-28,-4.405068
1981-04-29,-5.315970
1981-04-30,-5.486768
1981-05-01,-5.550813
1981-05-04,-7.009682
1981-05-05,-7.258751
1981-05-06,-6.931401
1981-05-07,-6.298040
1981-05-08,-6.305152
1981-05-11,-7.692853
1981-05-12,-6.974098
1981-05-13,-7.095076
1981-05-14,-6.575580
1981-05-15,-5.942219
1981-05-18,-5.678915
1981-05-19,-5.999152
1981-05-20,-6.063197
1981-05-21,-6.241107
1981-05-22,-6.539996
1981-05-26,-5.515229
1981-05-27,-4.803587
1981-05-28,-5.031317
1981-05-29,-5.643330
1981-06-01,-5.771420
1981-06-02,-7.045267
1981-06-03,-6.981210
1981-06-04,-6.803300
1981-06-05,-5.906634
1981-06-08,-5.892399
1981-06-09,-6.084545
1981-06-10,-5.835466
1981-06-11,-4.817822
1981-06-12,-5.002846
1981-06-15,-4.917451
1981-06-16,-5.956454
1981-06-17,-5.123824
1981-06-18,-6.319389
1981-06-19,-5.871050
1981-06-22,-6.098781
1981-06-23,-5.102475
1981-06-24,-5.593510
1981-06-25,-5.486768
1981-06-26,-5.664678
1981-06-29,-6.141478
1981-06-30,-6.625389
1981-07-01,-7.650156
1981-07-02,-8.454316
1981-07-06,-9.358099
1981-07-07,-8.738969
1981-07-08,-8.682036
1981-07-09,-7.984629
1981-07-10,-7.934820
1981-07-13,-7.742673
1981-07-14,-7.735561
1981-07-15,-7.322807
1981-07-16,-7.244526
1981-07-17,-6.945637
1981-07-20,-8.397383
1981-07-21,-8.667811
1981-07-22,-9.528897
1981-07-23,-9.336750
1981-07-24,-8.582406
1981-07-27,-7.557650
1981-07-28,-8.098495
1981-07-29,-8.084258
1981-07-30,-7.479369
1981-07-31,-6.831772
1981-08-03,-7.144896
1981-08-04,-6.646748
1981-08-05,-5.586398
1981-08-06,-5.607746
1981-08-07,-6.241107
1981-08-10,-5.678915
1981-08-11,-4.746654
1981-08-12,-5.066901
1981-08-13,-4.988620
1981-08-14,-5.714488
1981-08-17,-6.618277
1981-08-18,-7.408200
1981-08-19,-7.137773
1981-08-20,-6.995447
1981-08-21,-8.034449
1981-08-24,-10.688872
1981-08-25,-10.952182
1981-08-26,-11.073160
1981-08-27,-12.105040
1981-08-28,-11.699403
1981-08-31,-12.617423
1981-09-01,-12.453748
1981-09-02,-12.119275
1981-09-03,-13.720471
1981-09-04,-14.553091
1981-09-08,-16.040422
1981-09-09,-15.741532
1981-09-10,-14.503277
1981-09-11,-13.457161
1981-09-14,-14.133219
1981-09-15,-14.766586
1981-09-16,-15.407060
1981-09-17,-16.631085
1981-09-18,-17.264447
1981-09-21,-16.567041
1981-09-22,-16.965559
1981-09-23,-17.698549
1981-09-24,-18.154000
1981-09-25,-19.748083
1981-09-28,-17.783948
1981-09-29,-17.492173
1981-09-30,-17.321380
1981-10-01,-16.680900
1981-10-02,-15.058356
1981-10-05,-14.951609
1981-10-06,-15.037009
1981-10-07,-13.670656
1981-10-08,-12.959013
1981-10-09,-13.571027
1981-10-12,-13.741819
1981-10-13,-14.047826
1981-10-14,-15.456875
1981-10-15,-14.809283
1981-10-16,-15.179335
1981-10-19,-15.328779
1981-10-20,-14.403647
1981-10-21,-14.531743
1981-10-22,-14.859098
1981-10-23,-15.599207
1981-10-26,-15.912325
1981-10-27,-15.108171
1981-10-28,-14.994311
1981-10-29,-15.271851
1981-10-30,-13.257902
1981-11-02,-11.614010
1981-11-03,-11.187020
1981-11-04,-11.229722
1981-11-05,-12.083691
1981-11-06,-12.702822
1981-11-09,-12.261602
1981-11-10,-12.681473
1981-11-11,-12.524911
1981-11-12,-12.332765
1981-11-13,-13.414464
1981-11-16,-14.432113
1981-11-17,-13.784516
1981-11-18,-14.417877
1981-11-19,-14.097641
1981-11-20,-13.385998
1981-11-23,-13.464279
1981-11-24,-12.105040
1981-11-25,-11.720752
1981-11-27,-9.433825
1981-11-30,-8.521574
1981-12-01,-8.702576
1981-12-02,-9.723424
1981-12-03,-9.412100
1981-12-04,-8.586731
1981-12-07,-9.361420
1981-12-08,-9.629305
1981-12-09,-9.151457
1981-12-10,-8.984938
1981-12-11,-9.549664
1981-12-14,-11.106282
1981-12-15,-10.954241
1981-12-16,-11.366926
1981-12-17,-10.860116
1981-12-18,-10.222991
1981-12-21,-10.700840
1981-12-22,-11.033883
1981-12-23,-11.446566
1981-12-24,-11.280042
1981-12-28,-11.475527
1981-12-29,-11.909932
1981-12-30,-11.453803
1981-12-31,-11.272801
1982-01-04,-11.135243
1982-01-05,-12.442563
1982-01-06,-13.077092
1982-01-07,-13.259427
1982-01-08,-12.807234
1982-01-11,-14.827512
1982-01-12,-15.177593
1982-01-13,-16.213262
1982-01-14,-15.731894
1982-01-15,-15.155714
1982-01-18,-14.506600
1982-01-19,-15.418277
1982-01-20,-15.928819
1982-01-21,-15.578733
1982-01-22,-15.848592
1982-01-25,-15.826706
1982-01-26,-15.987163
1982-01-27,-15.586028
1982-01-28,-13.266722
1982-01-29,-12.187294
1982-02-01,-14.098171
1982-02-02,-13.930420
1982-02-03,-15.046312
1982-02-04,-15.090076
1982-02-05,-14.477426
1982-02-08,-16.395598
1982-02-09,-17.088470
1982-02-10,-16.373712
1982-02-11,-16.541464
1982-02-12,-16.577933
1982-02-16,-16.811321
1982-02-17,-17.081175
1982-02-18,-16.986362
1982-02-19,-17.423966
1982-02-22,-18.612796
1982-02-23,-18.671139
1982-02-24,-17.241631
1982-02-25,-17.431261
1982-02-26,-17.504194
1982-03-01,-17.358327
1982-03-02,-17.817811
1982-03-03,-19.101453
1982-03-04,-19.859969
1982-03-05,-20.253814
1982-03-08,-21.712497
1982-03-09,-20.625774
1982-03-10,-20.202755
1982-03-11,-20.239224
1982-03-12,-20.786230
1982-03-15,-20.173586
1982-03-16,-20.297573
1982-03-17,-20.443439
1982-03-18,-19.553641
1982-03-19,-19.327547
1982-03-22,-17.752173
1982-03-23,-17.183282
1982-03-24,-17.280519
1982-03-25,-17.104786
1982-03-26,-18.034710
1982-03-29,-17.771108
1982-03-30,-17.793080
1982-03-31,-17.869723
1982-04-01,-16.015944
1982-04-02,-15.028044
1982-04-05,-15.315909
1982-04-06,-14.850897
1982-04-07,-14.777087
1982-04-08,-14.216117
1982-04-12,-14.378504
1982-04-13,-14.385886
1982-04-14,-14.503982
1982-04-15,-14.120164
1982-04-16,-13.780631
1982-04-19,-13.861824
1982-04-20,-14.791847
1982-04-21,-14.585175
1982-04-22,-13.500144
1982-04-23,-12.429877
1982-04-26,-11.218640
1982-04-27,-11.841618
1982-04-28,-12.394474
1982-04-29,-13.231234
1982-04-30,-13.007100
1982-05-03,-12.723202
1982-05-04,-12.245055
1982-05-05,-12.088164
1982-05-06,-11.333586
1982-05-07,-10.743373
1982-05-10,-11.557720
1982-05-11,-10.780730
1982-05-12,-10.967506
1982-05-13,-11.677254
1982-05-14,-11.834145
1982-05-17,-12.805384
1982-05-18,-13.455367
1982-05-19,-14.165115
1982-05-20,-14.389249
1982-05-21,-14.165115
1982-05-24,-14.239824
1982-05-25,-14.531194
1982-05-26,-15.494960
1982-05-27,-15.831155
1982-05-28,-16.413902
1982-06-01,-16.563321
1982-06-02,-16.294362
1982-06-03,-16.428841
1982-06-04,-17.751221
1982-06-07,-17.728802
1982-06-08,-18.094888
1982-06-09,-18.573035
1982-06-10,-18.109827
1982-06-11,-16.892049
1982-06-14,-17.848342
1982-06-15,-18.050058
1982-06-16,-18.662684
1982-06-17,-19.611511
1982-06-18,-19.850583
1982-06-21,-19.910353
1982-06-22,-19.088533
1982-06-23,-17.713863
1982-06-24,-17.945464
1982-06-25,-18.460968
1982-06-28,-17.624208
1982-06-29,-17.661566
1982-06-30,-18.109827
1982-07-01,-18.782223
1982-07-02,-19.574152
1982-07-06,-19.843111
1982-07-07,-19.895408
1982-07-08,-19.663807
1982-07-09,-18.692568
1982-07-12,-18.139712
1982-07-13,-18.229367
1982-07-14,-17.489730
1982-07-15,-17.467317
1982-07-16,-17.019055
1982-07-19,-17.273068
1982-07-20,-16.667915
1982-07-21,-16.757570
1982-07-22,-16.712740
1982-07-23,-16.944346
1982-07-26,-17.549499
1982-07-27,-18.244307
1982-07-28,-19.506916
1982-07-29,-19.521856
1982-07-30,-19.992536
1982-08-02,-18.580502
1982-08-03,-19.439673
1982-08-04,-20.702283
1982-08-05,-21.434442
1982-08-06,-22.517748
1982-08-09,-22.988422
1982-08-10,-22.972062
1982-08-11,-23.151822
1982-08-12,-22.696057
1982-08-13,-20.858103
1982-08-16,-20.353513
1982-08-17,-16.565920
1982-08-18,-16.948505
1982-08-19,-15.530444
1982-08-20,-10.550060
1982-08-23,-8.104469
1982-08-24,-8.705976
1982-08-25,-6.941034
1982-08-26,-6.173324
1982-08-27,-7.313017
1982-08-30,-6.877716
1982-08-31,-5.413531
1982-09-01,-6.410762
1982-09-02,-4.796199
1982-09-03,-2.904628
1982-09-07,-3.941429
1982-09-08,-3.284528
1982-09-09,-3.466559
1982-09-10,-4.258011
1982-09-13,-3.252869
1982-09-14,-2.572220
1982-09-15,-1.630389
1982-09-16,-2.041948
1982-09-17,-3.007515
1982-09-20,-3.039174
1982-09-21,-1.163436
1982-09-22,-1.867827
1982-09-23,-2.010289
1982-09-24,-2.398099
1982-09-27,-2.160661
1982-09-28,-2.461417
1982-09-29,-3.735656
1982-09-30,-4.693312
1982-10-01,-3.466559
1982-10-04,-3.830626
1982-10-05,-3.458643
1982-10-06,-0.300750
1982-10-07,0.000000
1982-10-08,0.000000
1982-10-11,0.000000
1982-10-12,-0.022309
1982-10-13,0.000000
1982-10-14,-1.565357
1982-10-15,-2.296833
1982-10-18,0.000000
1982-10-19,-0.109701
1982-10-20,0.000000
1982-10-21,-0.122099
1982-10-22,-0.287290
1982-10-25,-4.244767
1982-10-26,-3.411621
1982-10-27,-2.829852
1982-10-28,-4.050851
1982-10-29,-3.957477
1982-11-01,-2.700564
1982-11-02,-1.249724
1982-11-03,0.000000
1982-11-04,-0.713928
1982-11-05,-0.496949
1982-11-08,-1.700842
1982-11-09,0.000000
1982-11-10,-1.300517
1982-11-11,-0.887990
1982-11-12,-2.440222
1982-11-15,-4.188229
1982-11-16,-5.313946
1982-11-17,-3.558950
1982-11-18,-3.272275
1982-11-19,-4.195217
1982-11-22,-6.152988
1982-11-23,-7.054965
1982-11-24,-6.390714
1982-11-26,-5.691511
1982-11-29,-6.166974
1982-11-30,-3.139424
1982-12-01,-3.006575
1982-12-02,-2.936650
1982-12-03,-3.027550
1982-12-06,-0.874004
1982-12-07,-0.209763
1982-12-08,-0.839041
1982-12-09,-2.111596
1982-12-10,-2.412248
1982-12-13,-2.146558
1982-12-14,-3.929527
1982-12-15,-5.439798
1982-12-16,-5.397847
1982-12-17,-3.866591
1982-12-20,-4.733606
1982-12-21,-3.083487
1982-12-22,-2.929662
1982-12-23,-2.307372
1982-12-27,-0.594327
1982-12-28,-1.573207
1982-12-29,-1.244580
1982-12-30,-1.880857
1982-12-31,-1.664106
1983-01-03,-3.272275
1983-01-04,-1.160679
1983-01-05,-0.741153
1983-01-06,0.000000
1983-01-07,-0.061961
1983-01-10,0.000000
1983-01-11,-0.681292
1983-01-12,-0.061314
