date,value
1980-10-14,14.977669
1980-10-15,16.299297
1980-10-16,14.877018
1980-10-17,14.144872
1980-10-20,14.962160
1980-10-21,14.181338
1980-10-22,14.137590
1980-10-23,11.974619
1980-10-24,12.154640
1980-10-27,10.369682
1980-10-28,10.435821
1980-10-29,10.234935
1980-10-30,8.765722
1980-10-31,9.704508
1980-11-03,10.974795
1980-11-05,12.848033
1980-11-06,10.695027
1980-11-07,10.853190
1980-11-10,11.035024
1980-11-11,12.482311
1980-11-12,15.234614
1980-11-13,16.754971
1980-11-14,17.204286
1980-11-17,17.603317
1980-11-18,19.139295
1980-11-19,18.470228
1980-11-20,19.486205
1980-11-21,18.273469
1980-11-24,17.491603
1980-11-25,18.246528
1980-11-26,18.847105
1980-11-28,19.032446
1980-12-01,16.127815
1980-12-02,15.819017
1980-12-03,15.491211
1980-12-04,15.199532
1980-12-05,13.042095
1980-12-08,10.085357
1980-12-09,9.896354
1980-12-10,7.961641
1980-12-11,7.136534
1980-12-12,8.632466
1980-12-15,8.745232
1980-12-16,9.627959
1980-12-17,11.456147
1980-12-18,11.446195
1980-12-19,11.915294
1980-12-22,13.519173
1980-12-23,12.981898
1980-12-24,13.333260
1980-12-26,13.767857
1980-12-29,12.347350
1980-12-30,12.457076
1980-12-31,12.657586
1981-01-02,12.987746
1981-01-05,14.179314
1981-01-06,14.138145
1981-01-07,11.475049
1981-01-08,9.655194
1981-01-09,9.846111
1981-01-12,9.721743
1981-01-13,9.375123
1981-01-14,9.375686
1981-01-15,9.845684
1981-01-16,10.148913
1981-01-19,9.679943
1981-01-20,7.330511
1981-01-21,6.958186
1981-01-22,5.937188
1981-01-23,5.796118
1981-01-26,5.369038
1981-01-27,6.289925
1981-01-28,5.539997
1981-01-29,5.341278
1981-01-30,4.664628
1981-02-02,2.424753
1981-02-03,3.559073
1981-02-04,3.543706
1981-02-05,4.271156
1981-02-06,4.937997
1981-02-09,3.765652
1981-02-10,3.641407
1981-02-11,2.746371
1981-02-12,2.049069
1981-02-13,1.564705
1981-02-17,2.137282
1981-02-18,2.578839
1981-02-19,1.004260
1981-02-20,0.898507
1981-02-23,1.430742
1981-02-24,1.376771
1981-02-25,2.179263
1981-02-26,3.331431
1981-02-27,4.157413
1981-03-02,4.640117
1981-03-03,3.394164
1981-03-04,3.535363
1981-03-05,2.709103
1981-03-06,2.555764
1981-03-09,3.463197
1981-03-10,2.855374
1981-03-11,2.375270
1981-03-12,4.837778
1981-03-13,4.688078
1981-03-16,5.821265
1981-03-17,5.130446
1981-03-18,5.269021
1981-03-19,4.578836
1981-03-20,4.976357
1981-03-23,6.141694
1981-03-24,5.255423
1981-03-25,7.064576
1981-03-26,6.318947
1981-03-27,4.978708
1981-03-30,4.613740
1981-03-31,5.870479
1981-04-01,6.229527
1981-04-02,5.951459
1981-04-03,5.227722
1981-04-06,3.938369
1981-04-07,3.842872
1981-04-08,4.073156
1981-04-09,4.273210
1981-04-10,4.077641
1981-04-13,2.957780
1981-04-14,2.528234
1981-04-15,3.599856
1981-04-16,3.929770
1981-04-20,4.428797
1981-04-21,3.421346
1981-04-22,3.288937
1981-04-23,3.071048
1981-04-24,3.925866
1981-04-27,4.113151
1981-04-28,3.164042
1981-04-29,2.129877
1981-04-30,1.892815
1981-05-01,1.772664
1981-05-04,0.165229
1981-05-05,-0.134750
1981-05-06,0.186000
1981-05-07,0.831184
1981-05-08,0.785982
1981-05-11,-0.736834
1981-05-12,-0.001950
1981-05-13,-0.166819
1981-05-14,0.357343
1981-05-15,0.999332
1981-05-18,1.240021
1981-05-19,0.854385
1981-05-20,0.743287
1981-05-21,0.510257
1981-05-22,0.152484
1981-05-26,1.214084
1981-05-27,1.936935
1981-05-28,1.659497
1981-05-29,0.970522
1981-06-01,0.798413
1981-06-02,-0.584570
1981-06-03,-0.534949
1981-06-04,-0.373404
1981-06-05,0.548332
1981-06-08,0.531168
1981-06-09,0.301087
1981-06-10,0.543031
1981-06-11,1.596451
1981-06-12,1.365657
1981-06-15,1.417924
1981-06-16,0.271370
1981-06-17,1.117171
1981-06-18,-0.186942
1981-06-19,0.267368
1981-06-22,0.000036
1981-06-23,1.028625
1981-06-24,0.470281
1981-06-25,0.550600
1981-06-26,0.331890
1981-06-29,-0.198748
1981-06-30,-0.734593
1981-07-01,-1.839235
1981-07-02,-2.700986
1981-07-06,-3.656104
1981-07-07,-2.997439
1981-07-08,-2.933510
1981-07-09,-2.188132
1981-07-10,-2.134963
1981-07-13,-1.928004
1981-07-14,-1.923893
1981-07-15,-1.499595
1981-07-16,-1.441741
1981-07-17,-1.143962
1981-07-20,-2.692069
1981-07-21,-2.980257
1981-07-22,-3.886974
1981-07-23,-3.667077
1981-07-24,-2.856230
1981-07-27,-1.760786
1981-07-28,-2.328528
1981-07-29,-2.309224
1981-07-30,-1.658816
1981-07-31,-0.966359
1981-08-03,-1.287174
1981-08-04,-0.753696
1981-08-05,0.369224
1981-08-06,0.346415
1981-08-07,-0.326558
1981-08-10,0.268747
1981-08-11,1.243250
1981-08-12,0.889319
1981-08-13,0.951020
1981-08-14,0.162960
1981-08-17,-0.809578
1981-08-18,-1.662835
1981-08-19,-1.386882
1981-08-20,-1.241899
1981-08-21,-2.337428
1981-08-24,-5.144064
1981-08-25,-5.409244
1981-08-26,-5.521611
1981-08-27,-6.590542
1981-08-28,-6.122146
1981-08-31,-7.049977
1981-09-01,-6.826044
1981-09-02,-6.419535
1981-09-03,-8.060273
1981-09-04,-8.881908
1981-09-08,-10.391724
1981-09-09,-10.001944
1981-09-10,-8.616234
1981-09-11,-7.435703
1981-09-14,-8.090557
1981-09-15,-8.696339
1981-09-16,-9.319036
1981-09-17,-10.563540
1981-09-18,-11.173658
1981-09-21,-10.359024
1981-09-22,-10.727982
1981-09-23,-11.465367
1981-09-24,-11.903146
1981-09-25,-13.567698
1981-09-28,-11.412139
1981-09-29,-11.052428
1981-09-30,-10.822912
1981-10-01,-10.085436
1981-10-02,-8.286804
1981-10-05,-8.123931
1981-10-06,-8.165672
1981-10-07,-6.636858
1981-10-08,-5.820156
1981-10-09,-6.430381
1981-10-12,-6.559996
1981-10-13,-6.840312
1981-10-14,-8.309064
1981-10-15,-7.549459
1981-10-16,-7.890048
1981-10-19,-7.984817
1981-10-20,-6.915229
1981-10-21,-7.000625
1981-10-22,-7.308663
1981-10-23,-8.061411
1981-10-26,-8.347929
1981-10-27,-7.421168
1981-10-28,-7.246537
1981-10-29,-7.494925
1981-10-30,-5.248712
1981-11-02,-3.414855
1981-11-03,-2.922399
1981-11-04,-2.944086
1981-11-05,-3.852626
1981-11-06,-4.501629
1981-11-09,-3.994480
1981-11-10,-4.422581
1981-11-11,-4.223532
1981-11-12,-3.986780
1981-11-13,-5.142329
1981-11-16,-6.232821
1981-11-17,-5.496233
1981-11-18,-6.159995
1981-11-19,-5.776066
1981-11-20,-4.962510
1981-11-23,-5.019962
1981-11-24,-3.506492
1981-11-25,-3.068745
1981-11-27,-2.246979
1981-11-30,-1.259905
1981-12-01,-1.448690
1981-12-02,-2.536214
1981-12-03,-2.194409
1981-12-04,-1.302044
1981-12-07,-2.130205
1981-12-08,-2.409657
1981-12-09,-1.881975
1981-12-10,-1.685257
1981-12-11,-2.271046
1981-12-14,-3.918240
1981-12-15,-3.725388
1981-12-16,-4.139909
1981-12-17,-3.566064
1981-12-18,-2.854549
1981-12-21,-3.342159
1981-12-22,-3.674037
1981-12-23,-4.092141
1981-12-24,-3.871648
1981-12-28,-4.042658
1981-12-29,-4.464764
1981-12-30,-3.926256
1981-12-31,-3.685718
1982-01-04,-3.495745
1982-01-05,-5.558663
1982-01-06,-6.182154
1982-01-07,-6.320916
1982-01-08,-5.767381
1982-01-11,-7.880014
1982-01-12,-8.192205
1982-01-13,-9.243671
1982-01-14,-8.648432
1982-01-15,-7.950167
1982-01-18,-7.175782
1982-01-19,-8.094601
1982-01-20,-8.581755
1982-01-21,-8.134921
1982-01-22,-8.359734
1982-01-25,-8.265738
1982-01-26,-8.370251
1982-01-27,-7.868952
1982-01-28,-5.285745
1982-01-29,-4.054378
1982-02-01,-6.078915
1982-02-02,-5.830023
1982-02-03,-6.985062
1982-02-04,-6.967157
1982-02-05,-6.233406
1982-02-08,-8.261252
1982-02-09,-8.942105
1982-02-10,-8.084710
1982-02-11,-8.200577
1982-02-12,-8.172808
1982-02-16,-8.361070
1982-02-17,-8.595987
1982-02-18,-8.430736
1982-02-19,-8.849056
1982-02-22,-10.088662
1982-02-23,-10.080121
1982-02-24,-8.439657
1982-02-25,-8.584875
1982-02-26,-8.601266
1982-03-01,-8.373133
1982-03-02,-8.810716
1982-03-03,-10.156446
1982-03-04,-10.918704
1982-03-05,-11.274993
1982-03-08,-12.811562
1982-03-09,-11.520432
1982-03-10,-10.964338
1982-03-11,-10.916550
1982-03-12,-11.437892
1982-03-15,-10.668669
1982-03-16,-10.723149
1982-03-17,-10.808061
1982-03-18,-9.735177
1982-03-19,-9.406052
1982-03-22,-7.563303
1982-03-23,-6.852587
1982-03-24,-7.256099
1982-03-25,-6.986107
1982-03-26,-7.947067
1982-03-29,-7.570492
1982-03-30,-7.513968
1982-03-31,-7.692575
1982-04-01,-6.108205
1982-04-02,-4.945993
1982-04-05,-5.199366
1982-04-06,-4.613423
1982-04-07,-4.460075
1982-04-08,-3.765738
1982-04-12,-3.881011
1982-04-13,-3.823273
1982-04-14,-3.891947
1982-04-15,-3.400936
1982-04-16,-2.966820
1982-04-19,-3.010097
1982-04-20,-4.009697
1982-04-21,-3.726760
1982-04-22,-2.458633
1982-04-23,-1.207922
1982-04-26,-0.649823
1982-04-27,-1.651791
1982-04-28,-2.218062
1982-04-29,-3.095092
1982-04-30,-2.788403
1982-05-03,-2.414371
1982-05-04,-1.833580
1982-05-05,-1.614208
1982-05-06,-0.734662
1982-05-07,-0.040746
1982-05-10,-0.910955
1982-05-11,0.003432
1982-05-12,-0.164244
1982-05-13,-0.914707
1982-05-14,-1.040951
1982-05-17,-2.072743
1982-05-18,-2.742997
1982-05-19,-3.474588
1982-05-20,-3.653462
1982-05-21,-3.329085
1982-05-24,-3.344259
1982-05-25,-3.599024
1982-05-26,-4.602702
1982-05-27,-4.899054
1982-05-28,-5.471191
1982-06-01,-5.557144
1982-06-02,-5.175806
1982-06-03,-5.254977
1982-06-04,-6.673537
1982-06-07,-6.566635
1982-06-08,-6.904982
1982-06-09,-7.383529
1982-06-10,-6.795208
1982-06-11,-5.353961
1982-06-14,-6.389058
1982-06-15,-6.561678
1982-06-16,-7.205170
1982-06-17,-8.227344
1982-06-18,-8.436977
1982-06-21,-8.450406
1982-06-22,-7.464486
1982-06-23,-5.860795
1982-06-24,-6.091362
1982-06-25,-6.637434
1982-06-28,-5.633529
1982-06-29,-5.634126
1982-06-30,-6.107026
1982-07-01,-6.837436
1982-07-02,-7.708265
1982-07-06,-7.981523
1982-07-07,-8.002029
1982-07-08,-7.699809
1982-07-09,-6.556579
1982-07-12,-5.899226
1982-07-13,-5.988884
1982-07-14,-5.117787
1982-07-15,-5.069708
1982-07-16,-4.533150
1982-07-19,-4.799404
1982-07-20,-4.070757
1982-07-21,-4.140616
1982-07-22,-4.056345
1982-07-23,-4.281380
1982-07-26,-4.929887
1982-07-27,-5.682209
1982-07-28,-7.084887
1982-07-29,-7.049788
1982-07-30,-7.546702
1982-08-02,-5.871417
1982-08-03,-6.818985
1982-08-04,-8.228484
1982-08-05,-9.016342
1982-08-06,-10.207210
1982-08-09,-10.688639
1982-08-10,-10.835711
1982-08-11,-10.983748
1982-08-12,-11.074840
1982-08-13,-9.772151
1982-08-16,-9.504784
1982-08-17,-5.148296
1982-08-18,-5.518884
1982-08-19,-4.914462
1982-08-20,-1.501877
1982-08-23,1.223867
1982-08-24,0.593399
1982-08-25,2.563657
1982-08-26,3.428498
1982-08-27,2.198075
1982-08-30,2.702826
1982-08-31,4.327484
1982-09-01,3.236519
1982-09-02,5.021456
1982-09-03,7.096776
1982-09-07,5.950127
1982-09-08,6.672390
1982-09-09,6.469900
1982-09-10,5.608689
1982-09-13,6.725848
1982-09-14,7.486039
1982-09-15,8.534863
1982-09-16,8.091772
1982-09-17,7.036319
1982-09-20,7.013580
1982-09-21,9.090366
1982-09-22,8.318575
1982-09-23,8.166098
1982-09-24,7.748179
1982-09-27,8.020163
1982-09-28,7.696064
1982-09-29,6.294469
1982-09-30,5.248850
1982-10-01,6.605672
1982-10-04,6.211091
1982-10-05,6.631329
1982-10-06,10.106611
1982-10-07,12.551112
1982-10-08,14.473547
1982-10-11,17.399779
1982-10-12,17.311267
1982-10-13,19.213828
1982-10-14,17.284960
1982-10-15,16.357528
1982-10-18,19.037769
1982-10-19,18.821685
1982-10-20,21.021574
1982-10-21,20.768152
1982-10-22,20.467554
1982-10-25,15.603384
1982-10-26,16.517385
1982-10-27,17.115637
1982-10-28,15.553734
1982-10-29,15.579258
1982-11-01,16.999571
1982-11-02,18.633915
1982-11-03,23.129450
1982-11-04,22.113056
1982-11-05,22.239017
1982-11-08,20.630227
1982-11-09,22.699653
1982-11-10,20.972013
1982-11-11,21.358911
1982-11-12,19.360518
1982-11-15,17.125463
1982-11-16,15.663266
1982-11-17,17.699256
1982-11-18,17.938821
1982-11-19,16.715181
1982-11-22,14.234795
1982-11-23,13.044263
1982-11-24,13.759189
1982-11-26,14.509411
1982-11-29,13.836328
1982-11-30,17.387461
1982-12-01,17.423937
1982-12-02,17.384385
1982-12-03,17.148303
1982-12-06,19.597470
1982-12-07,20.240600
1982-12-08,19.339841
1982-12-09,17.675686
1982-12-10,17.183947
1982-12-13,17.371726
1982-12-14,15.113791
1982-12-15,13.188838
1982-12-16,13.118722
1982-12-17,14.814584
1982-12-20,13.641908
1982-12-21,15.466910
1982-12-22,15.508635
1982-12-23,16.102490
1982-12-27,17.973855
1982-12-28,16.660530
1982-12-29,16.895229
1982-12-30,15.992079
1982-12-31,16.102731
1983-01-03,14.073438
1983-01-04,16.426459
1983-01-05,16.784003
1983-01-06,19.348421
1983-01-07,19.118038
1983-01-10,20.258935
1983-01-11,19.276030
1983-01-12,19.851823
1983-01-13,18.903422
1983-01-14,19.493875
1983-01-17,19.397204
1983-01-18,18.983466
1983-01-19,17.921765
1983-01-20,18.601327
1983-01-21,16.492688
1983-01-24,13.240672
1983-01-25,14.561377
1983-01-26,14.272929
1983-01-27,16.345886
1983-01-28,16.409405
1983-01-31,16.911119
1983-02-01,14.901100
1983-02-02,14.990973
1983-02-03,15.692182
1983-02-04,17.070794
1983-02-07,17.573340
1983-02-08,16.460028
1983-02-09,15.772160
1983-02-10,17.620978
1983-02-11,17.594255
1983-02-14,18.462221
1983-02-15,17.816606
1983-02-16,16.987133
1983-02-17,16.861728
1983-02-18,17.173104
1983-02-22,15.054564
1983-02-23,15.965082
1983-02-24,18.043124
1983-02-25,18.006844
1983-02-28,16.544867
1983-03-01,18.605120
1983-03-02,19.550045
1983-03-03,20.294101
1983-03-04,20.258844
1983-03-07,20.076637
1983-03-08,18.025307
1983-03-09,19.102802
1983-03-10,18.091173
1983-03-11,17.479234
1983-03-14,16.983785
1983-03-15,17.222178
1983-03-16,15.844684
1983-03-17,15.506063
1983-03-18,15.567804
1983-03-21,16.378109
1983-03-22,15.787300
1983-03-23,17.242224
1983-03-24,17.474670
1983-03-25,16.753253
1983-03-28,15.940462
1983-03-29,15.557097
1983-03-30,16.731161
1983-03-31,16.203370
1983-04-04,16.047326
1983-04-05,15.003005
1983-04-06,14.167188
1983-04-07,14.531264
1983-04-08,15.166927
1983-04-11,16.690133
1983-04-12,17.001136
1983-04-13,17.509054
1983-04-14,18.305870
1983-04-15,18.555305
1983-04-18,19.063062
1983-04-19,18.069091
1983-04-20,19.319547
1983-04-21,18.598297
1983-04-22,18.645683
1983-04-25,17.241454
1983-04-26,19.225771
1983-04-27,18.730066
1983-04-28,19.609759
1983-04-29,20.460209
1983-05-02,18.537509
1983-05-03,18.485623
1983-05-04,18.968308
1983-05-05,19.445220
1983-05-06,20.527831
1983-05-09,20.075820
1983-05-10,19.931761
1983-05-11,18.970309
1983-05-12,18.217262
1983-05-13,18.445835
1983-05-16,17.132360
1983-05-17,17.120016
1983-05-18,16.567019
1983-05-19,15.419011
1983-05-20,15.285905
1983-05-23,15.954343
1983-05-24,17.190730
1983-05-25,17.400717
1983-05-26,16.625347
1983-05-27,15.659463
1983-05-31,13.970051
1983-06-01,13.868530
1983-06-02,14.647635
1983-06-03,14.733626
1983-06-06,14.812187
1983-06-07,13.193353
1983-06-08,12.033577
1983-06-09,12.187565
1983-06-10,12.604571
1983-06-13,13.911522
1983-06-14,14.199456
1983-06-15,15.107355
1983-06-16,16.294859
1983-06-17,16.093063
1983-06-20,15.833333
1983-06-21,16.671632
1983-06-22,16.791426
1983-06-23,16.311504
1983-06-24,16.006851
1983-06-27,14.499256
1983-06-28,12.447014
1983-06-29,12.936264
1983-06-30,13.445343
1983-07-01,13.944367
1983-07-05,12.398594
1983-07-06,13.500019
1983-07-07,12.714824
1983-07-08,12.228607
1983-07-11,12.750854
1983-07-12,10.864640
1983-07-13,10.661304
1983-07-14,10.864608
1983-07-15,9.555475
1983-07-18,9.175938
1983-07-19,9.597244
1983-07-20,12.392778
1983-07-21,12.079766
1983-07-22,11.818468
1983-07-25,12.099402
1983-07-26,12.626364
1983-07-27,10.563608
1983-07-28,8.779648
1983-07-29,7.046315
1983-08-01,6.603961
1983-08-02,6.495667
1983-08-03,7.340907
1983-08-04,5.878305
1983-08-05,6.068444
1983-08-08,4.319989
1983-08-09,4.850475
1983-08-10,5.680088
1983-08-11,5.589424
1983-08-12,5.895812
1983-08-15,6.796935
1983-08-16,6.510672
1983-08-17,7.638528
1983-08-18,6.433762
1983-08-19,6.636802
1983-08-22,6.793893
1983-08-23,5.696970
1983-08-24,4.647993
1983-08-25,4.315294
1983-08-26,5.088945
1983-08-29,5.082870
1983-08-30,5.209550
1983-08-31,6.287648
1983-09-01,6.087548
1983-09-02,6.493248
1983-09-06,8.250654
1983-09-07,8.178125
1983-09-08,7.934650
1983-09-09,7.273788
1983-09-12,6.243880
1983-09-13,5.703467
1983-09-14,5.965099
1983-09-15,5.256926
1983-09-16,6.360927
1983-09-19,7.138254
1983-09-20,8.078839
1983-09-21,7.460640
1983-09-22,8.225581
1983-09-23,7.964643
1983-09-26,8.216216
1983-09-27,7.075647
1983-09-28,6.698507
1983-09-29,6.101685
1983-09-30,5.262962
1983-10-03,5.003913
1983-10-04,5.195231
1983-10-05,6.027563
1983-10-06,7.526202
1983-10-07,7.748834
1983-10-10,8.811284
1983-10-11,7.255484
1983-10-12,6.706792
1983-10-13,6.764862
1983-10-14,6.660639
1983-10-17,6.910841
1983-10-18,5.180059
1983-10-19,4.422075
1983-10-20,4.507600
1983-10-21,3.795492
1983-10-24,3.758182
1983-10-25,3.990976
1983-10-26,3.249800
1983-10-27,2.851308
1983-10-28,1.880963
1983-10-31,1.939724
1983-11-01,1.953446
1983-11-02,2.625975
1983-11-03,1.706262
1983-11-04,1.019368
1983-11-07,0.621124
1983-11-08,0.465432
1983-11-09,1.767132
1983-11-10,1.976483
1983-11-11,3.072938
1983-11-14,3.184646
1983-11-15,2.357929
1983-11-16,2.730958
1983-11-17,2.692426
1983-11-18,1.989815
1983-11-21,2.522342
1983-11-22,2.942916
1983-11-23,2.947220
1983-11-25,3.020357
1983-11-28,2.566278
1983-11-29,3.349617
1983-11-30,2.363177
1983-12-01,2.358541
1983-12-02,1.656747
1983-12-05,1.797826
1983-12-06,1.557394
1983-12-07,1.767735
1983-12-08,1.283764
1983-12-09,1.162624
1983-12-12,1.438958
1983-12-13,0.972900
1983-12-14,-0.040391
1983-12-15,-1.087206
1983-12-16,-0.667052
1983-12-19,-0.736127
1983-12-20,-0.964344
1983-12-21,-0.043330
1983-12-22,-0.097472
1983-12-23,-0.323329
1983-12-27,0.574350
1983-12-28,0.885384
1983-12-29,0.546340
1983-12-30,0.541995
1984-01-03,-0.043633
1984-01-04,1.577719
1984-01-05,2.757299
1984-01-06,2.991768
1984-01-09,2.712045
1984-01-10,2.086899
1984-01-11,1.946308
1984-01-12,1.865923
1984-01-13,1.380679
1984-01-16,1.434015
