date,value
2023-07-18,3.900000
2023-07-19,3.890000
2023-07-20,3.900000
2023-07-21,3.890000
2023-07-24,3.820000
2023-07-25,3.840000
2023-07-26,3.910000
2023-07-27,3.780000
2023-07-28,3.820000
2023-07-31,3.790000
2023-08-01,3.820000
2023-08-02,3.960000
2023-08-03,3.980000
2023-08-04,4.010000
2023-08-07,3.970000
2023-08-08,4.000000
2023-08-09,3.940000
2023-08-10,3.830000
2023-08-11,3.830000
2023-08-14,3.790000
2023-08-15,3.850000
2023-08-16,3.810000
2023-08-17,3.950000
2023-08-18,4.020000
2023-08-21,3.970000
2023-08-22,3.930000
2023-08-23,3.920000
2023-08-24,3.910000
2023-08-25,3.900000
2023-08-28,3.860000
2023-08-29,3.870000
2023-08-30,3.800000
2023-08-31,3.850000
2023-09-01,3.810000
2023-09-04,3.810000
2023-09-05,3.830000
2023-09-06,3.860000
2023-09-07,3.900000
2023-09-08,3.850000
2023-09-11,3.820000
2023-09-12,3.840000
2023-09-13,3.850000
2023-09-14,3.780000
2023-09-15,3.790000
2023-09-18,3.820000
2023-09-19,3.820000
2023-09-20,3.770000
2023-09-21,3.890000
2023-09-22,3.930000
2023-09-25,3.970000
2023-09-26,4.040000
2023-09-27,4.030000
2023-09-28,4.090000
2023-09-29,4.030000
2023-09-30,4.030000
2023-10-02,4.110000
2023-10-03,4.260000
2023-10-04,4.370000
2023-10-05,4.380000
2023-10-06,4.330000
2023-10-09,4.340000
2023-10-10,4.260000
2023-10-11,4.250000
2023-10-12,4.250000
2023-10-13,4.300000
2023-10-16,4.270000
2023-10-17,4.250000
2023-10-18,4.320000
2023-10-19,4.370000
2023-10-20,4.520000
2023-10-23,4.510000
2023-10-24,4.410000
2023-10-25,4.370000
2023-10-26,4.500000
2023-10-27,4.530000
2023-10-30,4.500000
2023-10-31,4.420000
2023-11-01,4.470000
2023-11-02,4.150000
2023-11-03,4.040000
2023-11-06,4.000000
2023-11-07,4.080000
2023-11-08,4.080000
2023-11-09,4.040000
2023-11-10,4.030000
2023-11-13,4.030000
2023-11-14,3.920000
2023-11-15,3.890000
2023-11-16,4.020000
2023-11-17,3.990000
2023-11-20,3.920000
2023-11-21,3.950000
2023-11-22,3.900000
2023-11-23,3.900000
2023-11-24,3.850000
2023-11-27,3.890000
2023-11-28,3.900000
2023-11-29,3.800000
2023-11-30,3.840000
2023-12-01,3.870000
2023-12-04,3.800000
2023-12-05,3.800000
2023-12-06,3.790000
2023-12-07,3.770000
2023-12-08,3.750000
2023-12-11,3.790000
2023-12-12,3.760000
2023-12-13,3.790000
2023-12-14,3.470000
2023-12-15,3.510000
2023-12-18,3.510000
2023-12-19,3.460000
2023-12-20,3.430000
2023-12-21,3.410000
2023-12-22,3.390000
2023-12-26,3.370000
2023-12-27,3.340000
2023-12-28,3.320000
2023-12-29,3.340000
2023-12-31,3.390000
2024-01-02,3.540000
2024-01-03,3.710000
2024-01-04,3.690000
2024-01-05,3.680000
2024-01-08,3.630000
2024-01-09,3.590000
2024-01-10,3.500000
2024-01-11,3.550000
2024-01-12,3.560000
2024-01-15,3.540000
2024-01-16,3.580000
2024-01-17,3.620000
2024-01-18,3.580000
2024-01-19,3.540000
2024-01-22,3.490000
2024-01-23,3.510000
2024-01-24,3.440000
2024-01-25,3.450000
2024-01-26,3.390000
2024-01-29,3.410000
2024-01-30,3.420000
2024-01-31,3.590000
2024-02-01,3.560000
2024-02-02,3.470000
2024-02-05,3.500000
2024-02-06,3.520000
2024-02-07,3.430000
2024-02-08,3.380000
2024-02-09,3.330000
2024-02-12,3.350000
2024-02-13,3.360000
2024-02-14,3.380000
2024-02-15,3.350000
2024-02-16,3.340000
2024-02-19,3.340000
2024-02-20,3.370000
2024-02-21,3.340000
2024-02-22,3.220000
2024-02-23,3.230000
2024-02-26,3.230000
2024-02-27,3.260000
2024-02-28,3.310000
2024-02-29,3.290000
2024-03-01,3.320000
2024-03-04,3.260000
2024-03-05,3.310000
2024-03-06,3.270000
2024-03-07,3.270000
2024-03-08,3.260000
2024-03-11,3.260000
2024-03-12,3.200000
2024-03-13,3.150000
2024-03-14,3.150000
2024-03-15,3.160000
2024-03-18,3.130000
2024-03-19,3.100000
2024-03-20,3.140000
2024-03-21,3.050000
2024-03-22,3.080000
2024-03-25,3.110000
2024-03-26,3.150000
2024-03-27,3.150000
2024-03-28,3.120000
2024-03-31,3.150000
2024-04-01,3.120000
2024-04-02,3.230000
2024-04-03,3.230000
2024-04-04,3.240000
2024-04-05,3.180000
2024-04-08,3.150000
2024-04-09,3.140000
2024-04-10,3.100000
2024-04-11,3.160000
2024-04-12,3.250000
2024-04-15,3.280000
2024-04-16,3.360000
2024-04-17,3.420000
2024-04-18,3.390000
2024-04-19,3.370000
2024-04-22,3.290000
2024-04-23,3.200000
2024-04-24,3.190000
2024-04-25,3.240000
2024-04-26,3.160000
2024-04-29,3.120000
2024-04-30,3.180000
2024-05-01,3.210000
2024-05-02,3.160000
2024-05-03,3.080000
2024-05-06,3.030000
2024-05-07,3.060000
2024-05-08,3.100000
2024-05-09,3.140000
2024-05-10,3.120000
2024-05-13,3.140000
2024-05-14,3.140000
2024-05-15,3.130000
2024-05-16,3.080000
2024-05-17,3.090000
2024-05-20,3.070000
2024-05-21,3.070000
2024-05-22,3.110000
2024-05-23,3.100000
2024-05-24,3.110000
2024-05-27,3.120000
2024-05-28,3.090000
2024-05-29,3.150000
2024-05-30,3.190000
2024-05-31,3.200000
2024-06-03,3.170000
2024-06-04,3.220000
2024-06-05,3.200000
2024-06-06,3.200000
2024-06-07,3.150000
2024-06-10,3.150000
2024-06-11,3.190000
2024-06-12,3.090000
2024-06-13,3.200000
2024-06-14,3.290000
2024-06-17,3.260000
2024-06-18,3.240000
2024-06-19,3.240000
2024-06-20,3.230000
2024-06-21,3.210000
2024-06-24,3.190000
2024-06-25,3.190000
2024-06-26,3.180000
2024-06-27,3.210000
2024-06-28,3.180000
2024-06-30,3.210000
2024-07-01,3.210000
2024-07-02,3.230000
2024-07-03,3.250000
2024-07-04,3.250000
2024-07-05,3.270000
2024-07-08,3.200000
2024-07-09,3.210000
2024-07-10,3.170000
2024-07-11,3.180000
2024-07-12,3.190000
2024-07-15,3.130000
2024-07-16,3.080000
2024-07-17,3.090000
