date,value
1997-02-25,103337.000000
1997-03-25,103886.000000
1997-04-25,104835.000000
1997-05-25,102842.000000
1997-06-25,111097.000000
1997-07-25,118843.000000
1997-08-25,121090.000000
1997-09-25,124404.000000
1997-10-25,131962.000000
1997-11-25,134491.000000
1997-12-25,132741.000000
1998-01-25,131560.000000
1998-02-25,132912.000000
1998-03-25,141328.000000
1998-04-25,146536.000000
1998-05-25,146589.000000
1998-06-25,150293.000000
1998-07-25,154357.000000
1998-08-25,160980.000000
1998-09-25,155879.000000
1998-10-25,144541.000000
1998-11-25,138399.000000
1998-12-25,148697.000000
1999-01-25,148674.000000
1999-02-25,162322.000000
1999-03-25,162909.000000
1999-04-25,166212.000000
1999-05-25,184329.000000
1999-06-25,189950.000000
1999-07-25,187695.000000
1999-08-25,189503.000000
1999-09-25,187616.000000
1999-10-25,189741.000000
1999-11-25,194259.000000
1999-12-25,218304.000000
2000-01-25,241967.000000
2000-02-25,260409.000000
2000-03-25,284206.000000
2000-04-25,299933.000000
2000-05-25,268716.000000
2000-06-25,256862.000000
2000-07-25,264471.000000
2000-08-25,263729.000000
2000-09-25,265166.000000
2000-10-25,270208.000000
2000-11-25,250965.000000
2000-12-25,237913.000000
2001-01-25,210385.000000
2001-02-25,208687.000000
2001-03-25,198887.000000
2001-04-25,174797.000000
2001-05-25,176096.000000
2001-06-25,183041.000000
2001-07-25,179585.000000
2001-08-25,173680.000000
2001-09-25,169316.000000
2001-10-25,157931.000000
2001-11-25,152367.000000
2001-12-25,159440.000000
2002-01-25,160473.000000
2002-02-25,160906.000000
2002-03-25,154931.000000
2002-04-25,160089.000000
2002-05-25,159072.000000
2002-06-25,157802.000000
2002-07-25,153972.000000
2002-08-25,143905.000000
2002-09-25,139146.000000
2002-10-25,136107.000000
2002-11-25,138647.000000
2002-12-25,139472.000000
2003-01-25,139451.000000
2003-02-25,141391.000000
2003-03-25,140516.000000
2003-04-25,144267.000000
2003-05-25,143237.000000
2003-06-25,153725.000000
2003-07-25,168281.000000
2003-08-25,174427.000000
2003-09-25,167200.000000
2003-10-25,171194.000000
2003-11-25,175428.000000
2003-12-25,182587.000000
2004-01-25,181459.000000
2004-02-25,189429.000000
2004-03-25,190448.000000
2004-04-25,191451.000000
2004-05-25,198778.000000
2004-06-25,193843.000000
2004-07-25,193993.000000
2004-08-25,187844.000000
2004-09-25,187828.000000
2004-10-25,193668.000000
2004-11-25,197999.000000
2004-12-25,211012.000000
2005-01-25,217573.000000
2005-02-25,220122.000000
2005-03-25,223155.000000
2005-04-25,226876.000000
2005-05-25,217447.000000
2005-06-25,219404.000000
2005-07-25,224153.000000
2005-08-25,233585.000000
2005-09-25,231400.000000
2005-10-25,244669.000000
2005-11-25,239868.000000
2005-12-25,242904.000000
2006-01-25,244098.000000
2006-02-25,255795.000000
2006-03-25,249609.000000
2006-04-25,259370.000000
2006-05-25,265164.000000
2006-06-25,255608.000000
2006-07-25,251495.000000
2006-08-25,256016.000000
2006-09-25,249368.000000
2006-10-25,261769.000000
2006-11-25,267710.000000
2006-12-25,294899.000000
2007-01-25,303288.000000
2007-02-25,311506.000000
2007-03-25,321171.000000
2007-04-25,317737.000000
2007-05-25,342084.000000
2007-06-25,382312.000000
2007-07-25,408444.000000
2007-08-25,416403.000000
2007-09-25,362475.000000
2007-10-25,359104.000000
2007-11-25,376979.000000
2007-12-25,379593.000000
2008-01-25,355292.000000
2008-02-25,365592.000000
2008-03-25,377088.000000
2008-04-25,349419.000000
2008-05-25,332303.000000
2008-06-25,341610.000000
2008-07-25,346892.000000
2008-08-25,343297.000000
2008-09-25,324814.000000
2008-10-25,345745.000000
2008-11-25,277568.000000
2008-12-25,227334.000000
2009-01-25,210185.000000
2009-02-25,205007.000000
2009-03-25,199655.000000
2009-04-25,203967.000000
2009-05-25,208010.000000
2009-06-25,214401.000000
2009-07-25,217140.000000
2009-08-25,228734.000000
2009-09-25,236251.000000
2009-10-25,254107.000000
2009-11-25,265404.000000
2009-12-25,250988.000000
2010-01-25,262399.000000
2010-02-25,266455.000000
2010-03-25,263657.000000
2010-04-25,277798.000000
2010-05-25,295550.000000
2010-06-25,268566.000000
2010-07-25,263202.000000
2010-08-25,267468.000000
2010-09-25,268371.000000
2010-10-25,288540.000000
2010-11-25,303428.000000
2010-12-25,309340.000000
2011-01-25,313678.000000
2011-02-25,326868.000000
2011-03-25,348979.000000
2011-04-25,355413.000000
2011-05-25,360883.000000
2011-06-25,355736.000000
2011-07-25,345273.000000
2011-08-25,344572.000000
2011-09-25,308866.000000
2011-10-25,298277.000000
2011-11-25,317028.000000
2011-12-25,303930.000000
2012-01-25,301616.000000
2012-02-25,309844.000000
2012-03-25,323021.000000
2012-04-25,330815.000000
2012-05-25,335154.000000
2012-06-25,315147.000000
2012-07-25,320952.000000
2012-08-25,313525.000000
2012-09-25,320395.000000
2012-10-25,339159.000000
2012-11-25,342325.000000
2012-12-25,351441.000000
2013-01-25,355009.000000
2013-02-25,388123.000000
2013-03-25,390351.000000
2013-04-25,403933.000000
2013-05-25,408677.000000
2013-06-25,401606.000000
2013-07-25,407681.000000
2013-08-25,412101.000000
2013-09-25,414442.000000
2013-10-25,432852.000000
2013-11-25,445022.000000
2013-12-25,456378.000000
2014-01-25,478502.000000
2014-02-25,487549.000000
2014-03-25,502093.000000
2014-04-25,487932.000000
2014-05-25,475195.000000
2014-06-25,475362.000000
2014-07-25,502270.000000
2014-08-25,498671.000000
2014-09-25,501000.000000
2014-10-25,503901.000000
2014-11-25,492888.000000
2014-12-25,496341.000000
2015-01-25,495756.000000
2015-02-25,485872.000000
2015-03-25,504923.000000
2015-04-25,518055.000000
2015-05-25,549964.000000
2015-06-25,541671.000000
2015-07-25,547957.000000
2015-08-25,530744.000000
2015-09-25,515960.000000
2015-10-25,497279.000000
2015-11-25,513941.000000
2015-12-25,515410.000000
2016-01-25,503444.000000
2016-02-25,487200.000000
2016-03-25,474156.000000
2016-04-25,483909.000000
2016-05-25,495178.000000
2016-06-25,489867.000000
2016-07-25,487636.000000
2016-08-25,513221.000000
2016-09-25,510157.000000
2016-10-25,540615.000000
2016-11-25,523760.000000
2016-12-25,539972.000000
2017-01-25,529372.000000
2017-02-25,553557.000000
2017-03-25,568637.000000
2017-04-25,577674.000000
2017-05-25,590797.000000
2017-06-25,582764.000000
2017-07-25,584258.000000
2017-08-25,594414.000000
2017-09-25,596567.000000
2017-10-25,606334.000000
2017-11-25,607838.000000
2017-12-25,627422.000000
2018-01-25,642798.000000
2018-02-25,665716.000000
2018-03-25,645064.000000
2018-04-25,645235.000000
2018-05-25,652303.000000
2018-06-25,668940.000000
2018-07-25,646931.000000
2018-08-25,652790.000000
2018-09-25,652395.000000
2018-10-25,648126.000000
2018-11-25,607645.000000
2018-12-25,592593.000000
2019-01-25,554285.000000
2019-02-25,568433.000000
2019-03-25,581205.000000
2019-04-25,574013.000000
2019-05-25,588721.000000
2019-06-25,568751.000000
2019-07-25,596304.000000
2019-08-25,602139.000000
2019-09-25,564894.000000
2019-10-25,555910.000000
2019-11-25,554604.000000
2019-12-25,563482.000000
2020-01-25,579221.000000
2020-02-25,561812.000000
2020-03-25,545127.000000
2020-04-25,479291.000000
2020-05-25,524696.000000
2020-06-25,552543.000000
2020-07-25,584676.000000
2020-08-25,613830.000000
2020-09-25,645547.000000
2020-10-25,654324.000000
2020-11-25,659313.000000
2020-12-25,722118.000000
2021-01-25,778037.000000
2021-02-25,798605.000000
2021-03-25,813680.000000
2021-04-25,822551.000000
2021-05-25,847186.000000
2021-06-25,861626.000000
2021-07-25,882103.000000
2021-08-25,844324.000000
2021-09-25,911545.000000
2021-10-25,903117.000000
2021-11-25,935862.000000
2021-12-25,918598.000000
2022-01-25,910021.000000
2022-02-25,829637.000000
2022-03-25,835255.000000
2022-04-25,799660.000000
2022-05-25,772940.000000
2022-06-25,752944.000000
2022-07-25,683445.000000
2022-08-25,696781.000000
2022-09-25,687787.000000
2022-10-25,664009.000000
2022-11-25,649618.000000
2022-12-25,643783.000000
2023-01-25,606659.000000
2023-02-25,641228.000000
2023-03-25,624379.000000
2023-04-25,645429.000000
2023-05-25,631949.000000
2023-06-25,644170.000000
2023-07-25,681228.000000
2023-08-25,709834.000000
2023-09-25,689185.000000
2023-10-25,680846.000000
2023-11-25,635276.000000
2023-12-25,660887.000000
2024-01-25,700774.000000
2024-02-25,701975.000000
2024-03-25,742963.000000
2024-04-25,784136.000000
2024-05-25,775464.000000
2024-06-25,809431.000000
2024-07-25,809322.000000
2024-08-25,810835.000000
2024-09-25,797162.000000
2024-10-25,813211.000000
2024-11-25,815369.000000
2024-12-25,890852.000000
2025-01-25,899168.000000
2025-02-25,937253.000000
2025-03-25,918144.000000
2025-04-25,880316.000000
2025-05-25,850558.000000
2025-06-25,920960.000000
2025-07-25,1007961.000000
2025-08-25,1022548.000000
2025-09-25,1059723.000000
2025-10-25,1126494.000000
2025-11-25,1183654.000000
2025-12-25,1214321.000000
2026-01-25,1225597.000000
2026-02-25,1279042.000000
2026-03-25,1253192.000000
2026-04-25,1220922.000000
2026-05-25,1304281.000000
2026-06-25,1415557.000000
2026-07-25,1502072.000000
