date,value
1998-02-25,28.619952
1998-03-25,36.041430
1998-04-25,39.777746
1998-05-25,42.538068
1998-06-25,35.280881
1998-07-25,29.883123
1998-08-25,32.942440
1998-09-25,25.300633
1998-10-25,9.532290
1998-11-25,2.905771
1998-12-25,12.020401
1999-01-25,13.008513
1999-02-25,22.127423
1999-03-25,15.270152
1999-04-25,13.427417
1999-05-25,25.745452
1999-06-25,26.386458
1999-07-25,21.597984
1999-08-25,17.718350
1999-09-25,20.360023
1999-10-25,31.271404
1999-11-25,40.361563
1999-12-25,46.811301
2000-01-25,62.750044
2000-02-25,60.427422
2000-03-25,74.456905
2000-04-25,80.452073
2000-05-25,45.780642
2000-06-25,35.226112
2000-07-25,40.904659
2000-08-25,39.168773
2000-09-25,41.334428
2000-10-25,42.408863
2000-11-25,29.190926
2000-12-25,8.982428
2001-01-25,-13.052193
2001-02-25,-19.861833
2001-03-25,-30.020126
2001-04-25,-41.721318
2001-05-25,-34.467616
2001-06-25,-28.739557
2001-07-25,-32.096525
2001-08-25,-34.144520
2001-09-25,-36.147168
2001-10-25,-41.552064
2001-11-25,-39.287550
2001-12-25,-32.983906
2002-01-25,-23.724125
2002-02-25,-22.896012
2002-03-25,-22.100992
2002-04-25,-8.414332
2002-05-25,-9.667454
2002-06-25,-13.788714
2002-07-25,-14.262327
2002-08-25,-17.143597
2002-09-25,-17.818753
2002-10-25,-13.818693
2002-11-25,-9.004574
2002-12-25,-12.523833
2003-01-25,-13.100023
2003-02-25,-12.128199
2003-03-25,-9.304142
2003-04-25,-9.883252
2003-05-25,-9.954612
2003-06-25,-2.583617
2003-07-25,9.293248
2003-08-25,21.209826
2003-09-25,20.161557
2003-10-25,25.778983
2003-11-25,26.528522
2003-12-25,30.913015
2004-01-25,30.123843
2004-02-25,33.975288
2004-03-25,35.534743
2004-04-25,32.706024
2004-05-25,38.775596
2004-06-25,26.097252
2004-07-25,15.279206
2004-08-25,7.692043
2004-09-25,12.337321
2004-10-25,13.127797
2004-11-25,12.866247
2004-12-25,15.567921
2005-01-25,19.902016
2005-02-25,16.202905
2005-03-25,17.173717
2005-04-25,18.503429
2005-05-25,9.391884
2005-06-25,13.186445
2005-07-25,15.546953
2005-08-25,24.350525
2005-09-25,23.197819
2005-10-25,26.334242
2005-11-25,21.146066
2005-12-25,15.113832
2006-01-25,12.191311
2006-02-25,16.206013
2006-03-25,11.854541
2006-04-25,14.322361
2006-05-25,21.944198
2006-06-25,16.501067
2006-07-25,12.197918
2006-08-25,9.602928
2006-09-25,7.764909
2006-10-25,6.989034
2006-11-25,11.607217
2006-12-25,21.405576
2007-01-25,24.248458
2007-02-25,21.779550
2007-03-25,28.669639
2007-04-25,22.503374
2007-05-25,29.008463
2007-06-25,49.569654
2007-07-25,62.406410
2007-08-25,62.647256
2007-09-25,45.357464
2007-10-25,37.183547
2007-11-25,40.816182
2007-12-25,28.719663
2008-01-25,17.146738
2008-02-25,17.362747
2008-03-25,17.410351
2008-04-25,9.971140
2008-05-25,-2.859239
2008-06-25,-10.646278
2008-07-25,-15.069875
2008-08-25,-17.556550
2008-09-25,-10.389958
2008-10-25,-3.720092
2008-11-25,-26.370434
2008-12-25,-40.111119
2009-01-25,-40.841618
2009-02-25,-43.924648
2009-03-25,-47.053473
2009-04-25,-41.626815
2009-05-25,-37.403514
2009-06-25,-37.238079
2009-07-25,-37.404149
2009-08-25,-33.371396
2009-09-25,-27.265758
2009-10-25,-26.504505
2009-11-25,-4.382350
2009-12-25,10.404955
2010-01-25,24.841925
2010-02-25,29.973611
2010-03-25,32.056297
2010-04-25,36.197522
2010-05-25,42.084515
2010-06-25,25.263408
2010-07-25,21.213042
2010-08-25,16.934081
2010-09-25,13.595710
2010-10-25,13.550591
2010-11-25,14.326838
2010-12-25,23.248920
2011-01-25,19.542376
2011-02-25,22.672872
2011-03-25,32.360984
2011-04-25,27.939366
2011-05-25,22.105566
2011-06-25,32.457571
2011-07-25,31.181754
2011-08-25,28.827374
2011-09-25,15.089186
2011-10-25,3.374575
2011-11-25,4.482118
2011-12-25,-1.748885
2012-01-25,-3.845345
2012-02-25,-5.208219
2012-03-25,-7.438270
2012-04-25,-6.920962
2012-05-25,-7.129457
2012-06-25,-11.409866
2012-07-25,-7.043991
2012-08-25,-9.010308
2012-09-25,3.732687
2012-10-25,13.706052
2012-11-25,7.979421
2012-12-25,15.632218
2013-01-25,17.702310
2013-02-25,25.264004
2013-03-25,20.843846
2013-04-25,22.102384
2013-05-25,21.937080
2013-06-25,27.434499
2013-07-25,27.022421
