date,value
1971-01-08,0.598000
1971-01-15,0.630000
1971-01-22,0.667000
1971-01-29,0.708000
1971-02-05,0.751000
1971-02-12,0.794000
1971-02-19,0.836000
1971-02-26,0.878000
1971-03-05,0.921000
1971-03-12,0.967000
1971-03-19,1.019000
1971-03-26,1.078000
1971-04-02,1.144000
1971-04-09,1.217000
1971-04-16,1.291000
1971-04-23,1.361000
1971-04-30,1.420000
1971-05-07,1.459000
1971-05-14,1.470000
1971-05-21,1.448000
1971-05-28,1.396000
1971-06-04,1.317000
1971-06-11,1.218000
1971-06-18,1.117000
1971-06-25,1.030000
1971-07-02,0.973000
1971-07-09,0.961000
1971-07-16,1.004000
1971-07-23,1.104000
1971-07-30,1.256000
1971-08-06,1.445000
1971-08-13,1.653000
1971-08-20,1.856000
1971-08-27,2.030000
1971-09-03,2.158000
1971-09-10,2.228000
1971-09-17,2.238000
1971-09-24,2.191000
1971-10-01,2.098000
1971-10-08,1.974000
1971-10-15,1.835000
1971-10-22,1.698000
1971-10-29,1.577000
1971-11-05,1.482000
1971-11-12,1.416000
1971-11-19,1.378000
1971-11-26,1.361000
1971-12-03,1.359000
1971-12-10,1.361000
1971-12-17,1.358000
1971-12-24,1.342000
1971-12-31,1.310000
1972-01-07,1.252000
1972-01-14,1.177000
1972-01-21,1.086000
1972-01-28,0.985000
1972-02-04,0.883000
1972-02-11,0.783000
1972-02-18,0.690000
1972-02-25,0.607000
1972-03-03,0.535000
1972-03-10,0.475000
1972-03-17,0.423000
1972-03-24,0.378000
1972-03-31,0.335000
1972-04-07,0.291000
1972-04-14,0.245000
1972-04-21,0.196000
1972-04-28,0.149000
1972-05-05,0.104000
1972-05-12,0.067000
1972-05-19,0.041000
1972-05-26,0.031000
1972-06-02,0.039000
1972-06-09,0.064000
1972-06-16,0.105000
1972-06-23,0.157000
1972-06-30,0.212000
1972-07-07,0.264000
1972-07-14,0.305000
1972-07-21,0.329000
1972-07-28,0.332000
1972-08-04,0.314000
1972-08-11,0.275000
1972-08-18,0.221000
1972-08-25,0.156000
1972-09-01,0.088000
1972-09-08,0.023000
1972-09-15,-0.033000
1972-09-22,-0.079000
1972-09-29,-0.112000
1972-10-06,-0.136000
1972-10-13,-0.153000
1972-10-20,-0.167000
1972-10-27,-0.180000
1972-11-03,-0.195000
1972-11-10,-0.213000
1972-11-17,-0.233000
1972-11-24,-0.254000
1972-12-01,-0.271000
1972-12-08,-0.281000
1972-12-15,-0.278000
1972-12-22,-0.255000
1972-12-29,-0.209000
1973-01-05,-0.136000
1973-01-12,-0.034000
1973-01-19,0.095000
1973-01-26,0.247000
1973-02-02,0.414000
1973-02-09,0.588000
1973-02-16,0.758000
1973-02-23,0.912000
1973-03-02,1.043000
1973-03-09,1.146000
1973-03-16,1.217000
1973-03-23,1.260000
1973-03-30,1.277000
1973-04-06,1.275000
1973-04-13,1.258000
1973-04-20,1.233000
1973-04-27,1.206000
1973-05-04,1.178000
1973-05-11,1.153000
1973-05-18,1.134000
1973-05-25,1.124000
1973-06-01,1.124000
1973-06-08,1.138000
1973-06-15,1.168000
1973-06-22,1.217000
1973-06-29,1.286000
1973-07-06,1.375000
1973-07-13,1.482000
1973-07-20,1.602000
1973-07-27,1.732000
1973-08-03,1.864000
1973-08-10,1.993000
1973-08-17,2.113000
1973-08-24,2.220000
1973-08-31,2.308000
1973-09-07,2.372000
1973-09-14,2.410000
1973-09-21,2.423000
1973-09-28,2.412000
1973-10-05,2.381000
1973-10-12,2.336000
1973-10-19,2.283000
1973-10-26,2.232000
1973-11-02,2.188000
1973-11-09,2.154000
1973-11-16,2.132000
1973-11-23,2.114000
1973-11-30,2.091000
1973-12-07,2.052000
1973-12-14,1.988000
1973-12-21,1.893000
1973-12-28,1.764000
1974-01-04,1.604000
1974-01-11,1.421000
1974-01-18,1.227000
1974-01-25,1.031000
1974-02-01,0.848000
1974-02-08,0.689000
1974-02-15,0.563000
1974-02-22,0.479000
1974-03-01,0.443000
1974-03-08,0.457000
1974-03-15,0.525000
1974-03-22,0.645000
1974-03-29,0.815000
1974-04-05,1.031000
1974-04-12,1.287000
1974-04-19,1.579000
1974-04-26,1.900000
1974-05-03,2.242000
1974-05-10,2.601000
1974-05-17,2.968000
1974-05-24,3.334000
1974-05-31,3.693000
1974-06-07,4.035000
1974-06-14,4.351000
1974-06-21,4.632000
1974-06-28,4.866000
1974-07-05,5.044000
1974-07-12,5.160000
1974-07-19,5.212000
1974-07-26,5.205000
1974-08-02,5.150000
1974-08-09,5.054000
1974-08-16,4.932000
1974-08-23,4.791000
1974-08-30,4.642000
1974-09-06,4.487000
1974-09-13,4.330000
1974-09-20,4.169000
1974-09-27,4.002000
1974-10-04,3.827000
1974-10-11,3.646000
1974-10-18,3.465000
1974-10-25,3.294000
1974-11-01,3.138000
1974-11-08,3.005000
1974-11-15,2.897000
1974-11-22,2.810000
1974-11-29,2.740000
1974-12-06,2.678000
1974-12-13,2.613000
1974-12-20,2.541000
1974-12-27,2.451000
