date,value
2003-05-01,17.837646
2003-05-02,18.169983
2003-05-05,18.208460
2003-05-06,18.353643
2003-05-07,18.281927
2003-05-08,18.084270
2003-05-09,18.339649
2003-05-12,18.680733
2003-05-13,18.637001
2003-05-14,18.680733
2003-05-15,18.874878
2003-05-16,18.908123
2003-05-19,18.416609
2003-05-20,18.393875
2003-05-21,18.467335
2003-05-22,18.729706
2003-05-23,18.834650
2003-05-27,19.240450
2003-05-28,19.291183
2003-05-29,19.222963
2003-05-30,19.599024
2003-06-02,19.707474
2003-06-03,19.700476
2003-06-04,20.113270
2003-06-05,20.254944
2003-06-06,20.150005
2003-06-09,19.822918
2003-06-10,19.966341
2003-06-11,20.309164
2003-06-12,20.393126
2003-06-13,20.080038
2003-06-16,20.485846
2003-06-17,20.522573
2003-06-18,20.426361
2003-06-19,20.160498
2003-06-20,20.141253
2003-06-23,19.857891
2003-06-24,19.800175
2003-06-25,19.695230
2003-06-26,19.864887
2003-06-27,19.754688
2003-06-30,19.768686
2003-07-01,19.835154
2003-07-02,20.087030
2003-07-03,19.976833
2003-07-07,20.312672
2003-07-08,20.501579
2003-07-09,20.513821
2003-07-10,20.130756
2003-07-11,20.253197
2003-07-14,20.548805
2003-07-15,20.289938
2003-07-16,20.113270
2003-07-17,19.817671
2003-07-18,20.087030
2003-07-21,19.824656
2003-07-22,20.073040
2003-07-23,19.908615
2003-07-24,19.992580
2003-07-25,20.298681
2003-07-28,20.338905
2003-07-29,20.184980
2003-07-30,20.143009
2003-07-31,20.233955
2003-08-01,20.104519
2003-08-04,20.069536
2003-08-05,19.705713
2003-08-06,19.756447
2003-08-07,19.824656
2003-08-08,19.898121
2003-08-11,19.978584
2003-08-12,20.169239
2003-08-13,20.132509
2003-08-14,20.344154
2003-08-15,20.387886
2003-08-18,20.622267
2003-08-19,20.751705
2003-08-20,20.760450
2003-08-21,20.931860
2003-08-22,20.700974
2003-08-25,20.660746
2003-08-26,20.739456
2003-08-27,20.805922
2003-08-28,20.984341
2003-08-29,21.106781
2003-09-02,21.416374
2003-09-03,21.470589
2003-09-04,21.488094
2003-09-05,21.402380
2003-09-08,21.575541
2003-09-09,21.388388
2003-09-10,21.007069
2003-09-11,21.152245
2003-09-12,21.211720
2003-09-15,21.152245
2003-09-16,21.453102
2003-09-17,21.409372
2003-09-18,21.662996
2003-09-19,21.658955
2003-09-22,21.365389
2003-09-23,21.521841
2003-09-24,21.168501
2003-09-25,20.932961
2003-09-26,20.764183
2003-09-29,20.890760
2003-09-30,20.794065
2003-10-01,21.161486
2003-10-02,21.270456
2003-10-03,21.520082
2003-10-06,21.651922
2003-10-07,21.757401
2003-10-08,21.697628
2003-10-09,21.832989
2003-10-10,21.815405
2003-10-13,22.035147
2003-10-14,22.114248
2003-10-15,22.049200
2003-10-16,22.084362
2003-10-17,21.822439
2003-10-20,21.903297
2003-10-21,21.943735
2003-10-22,21.622042
2003-10-23,21.639616
2003-10-24,21.534143
2003-10-27,21.674770
2003-10-28,22.035147
2003-10-29,22.119528
2003-10-30,22.228508
2003-10-31,22.233774
2003-11-03,22.423637
2003-11-04,22.325195
2003-11-05,22.356831
2003-11-06,22.492193
2003-11-07,22.455284
2003-11-10,22.223236
2003-11-11,22.217964
2003-11-12,22.529108
2003-11-13,22.580084
2003-11-14,22.351564
2003-11-17,22.137104
2003-11-18,21.913853
2003-11-19,22.045689
2003-11-20,21.894512
2003-11-21,21.989439
2003-11-24,22.404303
2003-11-25,22.546690
2003-11-26,22.646881
2003-11-28,22.703135
2003-12-01,22.972094
2003-12-02,22.887722
2003-12-03,22.861357
2003-12-04,22.845530
2003-12-05,22.685564
2003-12-08,22.852564
2003-12-09,22.648645
2003-12-10,22.472855
2003-12-11,22.870144
2003-12-12,22.958038
2003-12-15,22.773449
2003-12-16,22.849043
2003-12-17,22.917603
2003-12-18,23.253357
2003-12-19,23.276279
2003-12-22,23.371473
2003-12-23,23.524853
2003-12-24,23.480783
2003-12-26,23.537193
2003-12-29,23.817505
2003-12-30,23.849241
2003-12-31,23.879202
2004-01-02,23.766382
2004-01-05,24.064316
2004-01-06,24.113682
2004-01-07,24.127798
2004-01-08,24.311134
2004-01-09,24.182426
2004-01-12,24.328758
2004-01-13,24.194790
2004-01-14,24.413378
2004-01-15,24.480375
2004-01-16,24.707796
2004-01-20,24.757160
2004-01-21,24.862936
2004-01-22,24.767740
2004-01-23,24.707796
2004-01-26,24.928167
2004-01-27,24.736006
2004-01-28,24.408096
2004-01-29,24.413378
2004-01-30,24.445118
2004-02-02,24.471561
2004-02-03,24.478619
2004-02-04,24.217695
2004-02-05,24.282927
2004-02-06,24.651382
2004-02-09,24.672546
2004-02-10,24.781834
2004-02-11,25.081545
2004-02-12,25.007509
2004-02-13,24.840017
2004-02-17,25.116796
2004-02-18,25.028648
2004-02-19,24.873512
2004-02-20,24.767740
2004-02-23,24.610834
2004-02-24,24.545599
2004-02-25,24.721895
2004-02-26,24.825924
2004-02-27,24.910545
2004-03-01,25.222576
2004-03-02,25.122103
2004-03-03,25.132662
2004-03-04,25.227869
2004-03-05,25.323065
2004-03-08,25.033941
2004-03-09,24.831200
2004-03-10,24.446880
2004-03-11,24.039646
2004-03-12,24.399273
2004-03-15,24.020239
2004-03-16,24.140123
2004-03-17,24.513861
2004-03-18,24.505058
2004-03-19,24.281330
2004-03-22,23.889008
2004-03-23,23.890779
2004-03-24,23.825396
2004-03-25,24.228319
2004-03-26,24.277802
2004-03-29,24.514603
2004-03-30,24.701918
2004-03-31,24.740812
2004-04-01,24.892776
2004-04-02,25.173759
2004-04-05,25.320438
2004-04-06,25.269194
2004-04-07,25.138422
2004-04-08,25.111916
2004-04-12,25.193201
2004-04-13,24.807947
2004-04-14,24.652433
2004-04-15,24.703684
2004-04-16,24.864506
2004-04-19,24.864506
2004-04-20,24.500456
2004-04-21,24.652433
2004-04-22,25.118986
2004-04-23,25.055361
2004-04-26,24.889246
2004-04-27,24.928133
2004-04-28,24.555239
2004-04-29,24.272491
2004-04-30,24.157631
2004-05-03,24.316683
2004-05-04,24.387365
2004-05-05,24.459812
2004-05-06,24.219482
2004-05-07,23.788286
2004-05-10,23.433083
2004-05-11,23.698153
2004-05-12,23.708765
2004-05-13,23.797121
2004-05-14,23.738794
2004-05-17,23.440145
2004-05-18,23.668118
2004-05-19,23.620403
2004-05-20,23.653978
2004-05-21,23.708765
2004-05-24,23.901386
2004-05-25,24.330805
2004-05-26,24.378531
2004-05-27,24.496929
2004-05-28,24.579998
2004-06-01,24.551722
2004-06-02,24.634766
2004-06-03,24.387365
2004-06-04,24.539349
2004-06-07,25.005880
2004-06-08,24.995287
2004-06-09,24.730200
2004-06-10,24.836241
2004-06-14,24.546412
2004-06-15,24.753178
2004-06-16,24.806189
2004-06-17,24.784983
2004-06-18,24.850006
2004-06-21,24.777372
2004-06-22,24.919102
2004-06-23,25.223833
2004-06-24,25.163593
2004-06-25,25.184849
2004-06-28,25.090950
2004-06-29,25.154739
2004-06-30,25.326593
2004-07-01,24.981106
2004-07-02,24.896076
2004-07-06,24.612597
2004-07-07,24.651577
2004-07-08,24.384039
2004-07-09,24.460226
2004-07-12,24.431885
2004-07-13,24.470852
2004-07-14,24.375187
2004-07-15,24.437195
2004-07-16,24.249390
2004-07-19,24.236996
2004-07-20,24.449600
2004-07-21,24.070444
2004-07-22,24.042107
2004-07-23,23.833048
2004-07-26,23.717880
2004-07-27,23.932253
2004-07-28,23.903898
2004-07-29,24.130686
2004-07-30,24.167900
2004-08-02,24.261801
2004-08-03,24.033249
2004-08-04,23.985415
2004-08-05,23.551346
2004-08-06,23.127901
2004-08-09,23.255466
2004-08-10,23.521235
2004-08-11,23.436184
2004-08-12,23.173973
2004-08-13,23.138540
2004-08-16,23.572609
2004-08-17,23.634604
2004-08-18,23.930494
2004-08-19,23.841898
2004-08-20,24.079309
2004-08-23,23.962381
2004-08-24,23.962381
2004-08-25,24.210417
2004-08-26,24.183836
2004-08-27,24.228138
2004-08-30,24.047424
2004-08-31,24.143093
2004-09-01,24.224594
2004-09-02,24.539948
2004-09-03,24.399994
2004-09-07,24.603737
2004-09-08,24.460226
2004-09-09,24.529324
2004-09-10,24.706497
2004-09-13,24.745480
2004-09-14,24.800396
2004-09-15,24.623232
2004-09-16,24.764957
2004-09-17,24.853598
2004-09-20,24.773670
2004-09-21,24.937071
2004-09-22,24.626249
2004-09-23,24.555193
2004-09-24,24.549873
2004-09-27,24.386463
2004-09-28,24.523239
2004-09-29,24.626249
2004-09-30,24.763006
2004-10-01,25.169748
2004-10-04,25.292294
2004-10-05,25.249672
2004-10-06,25.413084
2004-10-07,25.175081
2004-10-08,24.949501
2004-10-11,24.931738
2004-10-12,24.871349
2004-10-13,24.668877
2004-10-14,24.487707
2004-10-15,24.580078
2004-10-18,24.665323
2004-10-19,24.453951
2004-10-20,24.480597
2004-10-21,24.675982
2004-10-22,24.482380
2004-10-25,24.514345
2004-10-26,24.867813
