date,value
1993-01-29,24.113264
1993-02-01,24.284773
1993-02-02,24.336214
1993-02-03,24.593470
1993-02-04,24.696362
1993-02-05,24.679226
1993-02-08,24.679226
1993-02-09,24.507721
1993-02-10,24.542013
1993-02-11,24.662064
1993-02-12,24.473419
1993-02-16,23.856003
1993-02-17,23.838863
1993-02-18,23.821705
1993-02-19,23.907450
1993-02-22,23.993216
1993-02-23,23.976048
1993-02-24,24.284773
1993-02-25,24.336214
1993-02-26,24.370527
1993-03-01,24.301914
1993-03-02,24.662064
1993-03-03,24.764961
1993-03-04,24.627762
1993-03-05,24.559155
1993-03-08,25.107977
1993-03-09,25.022223
1993-03-10,25.073669
1993-03-11,25.005074
1993-03-12,24.747824
1993-03-15,24.867876
1993-03-16,24.867876
1993-03-17,24.713507
1993-03-18,24.867876
1993-03-19,24.830225
1993-03-22,24.692387
1993-03-23,24.744078
1993-03-24,24.744078
1993-03-25,24.899155
1993-03-26,24.761316
1993-03-29,24.864708
1993-03-30,24.933632
1993-03-31,24.916395
1993-04-01,24.830225
1993-04-02,24.313309
1993-04-05,24.433910
1993-04-06,24.364994
1993-04-07,24.451151
1993-04-08,24.416693
1993-04-12,24.761316
1993-04-13,24.812998
1993-04-14,24.778542
1993-04-15,24.778542
1993-04-16,24.778542
1993-04-19,24.675144
1993-04-20,24.554543
1993-04-21,24.537319
1993-04-22,24.227150
1993-04-23,24.123741
1993-04-26,23.934212
1993-04-27,24.192682
1993-04-28,24.140991
1993-04-29,24.244381
1993-04-30,24.278837
1993-05-03,24.433910
1993-05-04,24.520073
1993-05-05,24.589006
1993-05-06,24.502838
1993-05-07,24.451151
1993-05-10,24.502838
1993-05-11,24.606245
1993-05-12,24.571768
1993-05-13,24.278837
1993-05-14,24.261608
1993-05-17,24.347767
1993-05-18,24.330534
1993-05-19,24.830225
1993-05-20,24.899155
1993-05-21,24.675144
1993-05-24,24.778542
1993-05-25,24.830225
1993-05-26,25.140398
1993-05-27,25.054255
1993-05-28,24.933632
1993-06-01,25.174864
1993-06-02,25.140398
1993-06-03,25.054255
1993-06-04,24.968081
1993-06-07,24.881926
1993-06-08,24.657921
1993-06-09,24.744078
1993-06-10,24.761316
1993-06-11,24.864708
1993-06-14,24.830225
1993-06-15,24.778542
1993-06-16,24.830225
1993-06-17,24.916395
1993-06-18,24.711218
1993-06-21,24.763275
1993-06-22,24.780632
1993-06-23,24.555031
1993-06-24,24.884739
1993-06-25,24.867390
1993-06-28,25.145033
1993-06-29,25.023565
1993-06-30,25.023565
1993-07-01,24.954153
1993-07-02,24.815334
1993-07-06,24.555031
1993-07-07,24.624447
1993-07-08,24.902082
1993-07-09,24.971519
1993-07-12,24.954153
1993-07-13,24.936804
1993-07-14,25.023565
1993-07-15,24.919439
1993-07-16,24.850023
1993-07-19,24.832672
1993-07-20,24.902082
1993-07-21,24.884739
1993-07-22,24.711218
1993-07-23,24.832672
1993-07-26,24.971519
1993-07-27,24.954153
1993-07-28,24.902082
1993-07-29,25.040924
1993-07-30,24.902082
1993-08-02,24.971519
1993-08-03,24.988852
1993-08-04,24.988852
1993-08-05,24.936804
1993-08-06,24.971519
1993-08-09,25.110342
1993-08-10,25.092979
1993-08-11,25.092979
1993-08-12,25.023565
1993-08-13,25.058264
1993-08-16,25.197104
1993-08-17,25.283867
1993-08-18,25.422699
1993-08-19,25.422699
1993-08-20,25.440044
1993-08-23,25.388000
1993-08-24,25.665644
1993-08-25,25.683001
1993-08-26,25.700354
1993-08-27,25.683001
1993-08-30,25.787111
1993-08-31,25.856537
1993-09-01,25.821814
1993-09-02,25.735058
1993-09-03,25.752413
1993-09-07,25.578867
1993-09-08,25.492123
1993-09-09,25.544161
1993-09-10,25.769766
1993-09-13,25.787111
1993-09-14,25.683001
1993-09-15,25.752413
1993-09-16,25.648287
1993-09-17,25.598557
1993-09-20,25.389036
1993-09-21,25.301706
1993-09-22,25.511250
1993-09-23,25.650955
1993-09-24,25.581100
1993-09-27,25.860487
1993-09-28,25.808094
1993-09-29,25.720787
1993-09-30,25.668417
