date,value
2006-07-17,18.049999
2006-07-18,17.219999
2006-07-19,15.600000
2006-07-20,16.309999
2006-07-21,17.040001
2006-07-24,15.410000
2006-07-25,14.610000
2006-07-26,14.580000
2006-07-27,15.160000
2006-07-28,14.630000
2006-07-31,15.250000
2006-08-01,15.390000
2006-08-02,15.060000
2006-08-03,15.050000
2006-08-04,15.090000
2006-08-07,15.350000
2006-08-08,15.470000
2006-08-09,15.580000
2006-08-10,15.280000
2006-08-11,15.280000
2006-08-14,15.280000
2006-08-15,14.520000
2006-08-16,14.030000
2006-08-17,13.380000
2006-08-18,13.100000
2006-08-21,13.420000
2006-08-22,13.430000
2006-08-23,13.560000
2006-08-24,13.580000
2006-08-25,13.510000
2006-08-28,13.360000
2006-08-29,13.380000
2006-08-30,13.320000
2006-08-31,13.300000
2006-09-01,13.190000
2006-09-05,13.360000
2006-09-06,14.320000
2006-09-07,14.470000
2006-09-08,14.190000
2006-09-11,14.200000
2006-09-12,13.520000
2006-09-13,13.340000
2006-09-14,13.550000
2006-09-15,13.410000
2006-09-18,13.400000
2006-09-19,13.550000
2006-09-20,13.280000
2006-09-21,13.610000
2006-09-22,14.090000
2006-09-25,13.460000
2006-09-26,13.100000
2006-09-27,13.220000
2006-09-28,13.290000
2006-09-29,13.450000
2006-10-02,13.590000
2006-10-03,13.500000
2006-10-04,13.240000
2006-10-05,13.280000
2006-10-06,13.080000
2006-10-09,13.060000
2006-10-10,13.050000
2006-10-11,13.100000
2006-10-12,12.420000
2006-10-13,12.200000
2006-10-16,12.350000
2006-10-17,12.630000
2006-10-18,12.470000
2006-10-19,12.310000
2006-10-20,12.060000
2006-10-23,12.210000
2006-10-24,11.510000
2006-10-25,11.360000
2006-10-26,11.230000
2006-10-27,11.370000
2006-10-30,12.040000
2006-10-31,11.400000
2006-11-01,12.080000
2006-11-02,12.120000
2006-11-03,12.080000
2006-11-06,11.400000
2006-11-07,11.350000
2006-11-08,11.190000
2006-11-09,11.370000
2006-11-10,11.490000
2006-11-13,11.380000
2006-11-14,11.170000
2006-11-15,11.120000
2006-11-16,11.030000
2006-11-17,11.060000
2006-11-20,11.180000
2006-11-21,11.190000
2006-11-22,11.520000
2006-11-24,12.280000
2006-11-27,13.270000
2006-11-28,12.630000
2006-11-29,12.200000
2006-11-30,12.310000
2006-12-01,12.590000
2006-12-04,12.400000
2006-12-05,12.440000
2006-12-06,12.510000
2006-12-07,13.480000
2006-12-08,13.310000
2006-12-11,13.250000
2006-12-12,13.170000
2006-12-13,13.060000
2006-12-14,13.010000
2006-12-15,13.130000
2006-12-18,13.190000
2006-12-19,12.630000
2006-12-20,12.530000
2006-12-21,13.100000
2006-12-22,13.300000
2006-12-26,13.130000
2006-12-27,12.590000
2006-12-28,13.100000
2006-12-29,13.290000
2007-01-03,13.380000
2007-01-04,13.130000
2007-01-05,13.410000
2007-01-08,13.280000
2007-01-09,13.260000
2007-01-10,13.020000
2007-01-11,12.380000
2007-01-12,12.070000
2007-01-16,12.220000
2007-01-17,12.080000
2007-01-18,12.100000
2007-01-19,11.610000
2007-01-22,12.170000
2007-01-23,11.540000
2007-01-24,11.230000
2007-01-25,12.120000
2007-01-26,12.090000
2007-01-29,12.170000
2007-01-30,11.600000
2007-01-31,11.330000
2007-02-01,11.290000
2007-02-02,11.240000
2007-02-05,11.420000
2007-02-06,11.400000
2007-02-07,11.310000
2007-02-08,11.420000
2007-02-09,12.150000
2007-02-12,12.370000
2007-02-13,11.450000
2007-02-14,11.260000
2007-02-15,11.260000
2007-02-16,11.200000
2007-02-20,11.360000
2007-02-21,11.380000
2007-02-22,11.340000
2007-02-23,12.000000
2007-02-26,12.180000
2007-02-27,17.059999
2007-02-28,14.470000
2007-03-01,14.580000
2007-03-02,16.469999
2007-03-05,17.360001
2007-03-06,15.340000
2007-03-07,15.030000
2007-03-08,14.300000
2007-03-09,14.260000
2007-03-12,14.150000
2007-03-13,16.379999
2007-03-14,16.160000
2007-03-15,16.020000
2007-03-16,16.549999
2007-03-19,15.130000
2007-03-20,14.290000
2007-03-21,13.110000
2007-03-22,13.360000
2007-03-23,13.450000
2007-03-26,13.580000
2007-03-27,14.120000
2007-03-28,15.130000
2007-03-29,15.240000
2007-03-30,15.100000
2007-04-02,15.040000
2007-04-03,14.240000
2007-04-04,14.250000
2007-04-05,14.060000
2007-04-09,14.030000
2007-04-10,13.500000
2007-04-11,14.190000
2007-04-12,13.540000
2007-04-13,13.310000
2007-04-16,13.170000
2007-04-17,13.090000
2007-04-18,13.180000
2007-04-19,13.300000
2007-04-20,12.580000
2007-04-23,13.080000
2007-04-24,13.100000
2007-04-25,13.050000
2007-04-26,12.600000
2007-04-27,12.490000
2007-04-30,14.010000
2007-05-01,13.390000
2007-05-02,13.250000
2007-05-03,13.220000
2007-05-04,13.260000
2007-05-07,13.330000
2007-05-08,13.420000
2007-05-09,13.240000
2007-05-10,14.090000
2007-05-11,13.440000
2007-05-14,14.240000
2007-05-15,14.240000
2007-05-16,14.040000
2007-05-17,14.170000
2007-05-18,13.500000
2007-05-21,13.610000
2007-05-22,13.520000
2007-05-23,13.600000
2007-05-24,14.370000
2007-05-25,14.140000
2007-05-29,14.080000
2007-05-30,13.450000
2007-05-31,13.470000
2007-06-01,13.490000
2007-06-04,14.080000
2007-06-05,14.260000
2007-06-06,15.260000
2007-06-07,16.450001
2007-06-08,15.130000
2007-06-11,15.100000
2007-06-12,16.020000
2007-06-13,15.080000
2007-06-14,14.460000
2007-06-15,15.010000
2007-06-18,14.560000
2007-06-19,14.290000
2007-06-20,15.470000
2007-06-21,15.290000
2007-06-22,16.260000
2007-06-25,16.480000
2007-06-26,18.059999
2007-06-27,16.040001
2007-06-28,16.010000
2007-06-29,16.400000
2007-07-02,16.100000
2007-07-03,15.610000
2007-07-05,16.110001
2007-07-06,15.530000
2007-07-09,16.080000
2007-07-10,17.379999
2007-07-11,17.040001
2007-07-12,16.350000
2007-07-13,16.320000
2007-07-16,16.450001
2007-07-17,16.500000
2007-07-18,17.049999
2007-07-19,16.400000
2007-07-20,17.440001
2007-07-23,17.190001
2007-07-24,18.330000
2007-07-25,18.070000
2007-07-26,19.010000
2007-07-27,21.150000
2007-07-30,19.330000
2007-07-31,21.350000
2007-08-01,21.600000
2007-08-02,20.480000
2007-08-03,22.620001
2007-08-06,21.320000
2007-08-07,20.610001
2007-08-08,20.389999
2007-08-09,24.440001
2007-08-10,25.400000
2007-08-13,23.540001
2007-08-14,24.540001
2007-08-15,26.480000
2007-08-16,27.059999
2007-08-17,26.160000
2007-08-20,23.230000
2007-08-21,22.600000
2007-08-22,21.240000
2007-08-23,21.170000
2007-08-24,20.290001
2007-08-27,21.420000
2007-08-28,25.030001
2007-08-29,23.170000
2007-08-30,23.410000
2007-08-31,22.440001
2007-09-04,22.010000
2007-09-05,23.230000
2007-09-06,23.129999
2007-09-07,24.520000
2007-09-10,25.260000
2007-09-11,23.600000
2007-09-12,23.469999
2007-09-13,23.420000
2007-09-14,23.480000
2007-09-17,24.320000
2007-09-18,20.629999
2007-09-19,20.280001
2007-09-20,20.510000
2007-09-21,20.010000
2007-09-24,19.590000
2007-09-25,19.450001
2007-09-26,19.010000
2007-09-27,18.230000
2007-09-28,18.629999
2007-10-01,18.610001
2007-10-02,19.219999
2007-10-03,19.530001
2007-10-04,19.430000
2007-10-05,18.340000
2007-10-08,18.600000
2007-10-09,17.629999
2007-10-10,18.320000
2007-10-11,19.580000
2007-10-12,19.150000
2007-10-15,20.389999
2007-10-16,21.200001
2007-10-17,20.360001
