date,value
1998-12-22,5.696743
1998-12-23,5.756572
1998-12-24,5.889057
1998-12-28,5.837771
1998-12-29,5.944612
1998-12-30,5.927516
1998-12-31,5.995897
1999-01-04,5.923247
1999-01-05,6.068548
1999-01-06,6.175388
1999-01-07,6.128379
1999-01-08,6.337786
1999-01-11,6.350608
1999-01-12,6.188207
1999-01-13,6.051449
1999-01-14,5.948885
1999-01-15,6.038632
1999-01-19,5.927516
1999-01-20,5.906147
1999-01-21,5.880509
1999-01-22,5.765120
1999-01-25,5.880509
1999-01-26,5.863412
1999-01-27,5.816406
1999-01-28,5.743752
1999-01-29,5.773668
1999-02-01,5.820678
1999-02-02,5.824951
1999-02-03,5.829223
1999-02-04,6.000171
1999-02-05,6.081369
1999-02-08,6.051449
1999-02-09,5.936064
1999-02-10,5.948885
1999-02-11,5.889057
1999-02-12,5.859139
1999-02-16,5.803583
1999-02-17,5.743752
1999-02-18,5.786488
1999-02-19,5.833499
1999-02-22,5.931793
1999-02-23,5.880509
1999-02-24,5.863412
1999-02-25,5.863412
1999-02-26,5.863412
1999-03-01,5.795034
1999-03-02,5.743752
1999-03-03,5.705291
1999-03-04,5.722382
1999-03-05,5.914696
1999-03-08,5.953158
1999-03-09,5.901877
1999-03-10,5.983075
1999-03-11,6.047179
1999-03-12,6.021536
1999-03-15,6.034358
1999-03-16,6.008716
1999-03-17,5.991624
1999-03-18,6.119830
1999-03-19,6.127549
1999-03-22,6.144699
1999-03-23,5.990334
1999-03-24,5.994619
1999-03-25,6.016064
1999-03-26,5.968892
1999-03-29,6.067516
1999-03-30,6.054653
1999-03-31,5.968892
1999-04-01,6.037498
1999-04-05,6.110395
1999-04-06,6.003197
1999-04-07,6.067516
1999-04-08,6.153276
1999-04-09,6.123260
1999-04-12,6.303356
1999-04-13,6.380540
1999-04-14,6.689275
1999-04-15,6.946555
1999-04-16,7.023738
1999-04-19,7.096640
1999-04-20,7.010876
1999-04-21,7.040889
1999-04-22,6.929405
1999-04-23,7.032313
1999-04-26,6.963709
1999-04-27,7.100921
1999-04-28,7.478269
1999-04-29,7.534010
1999-04-30,7.443966
1999-05-03,7.615483
1999-05-04,7.568317
1999-05-05,7.658365
1999-05-06,7.722683
1999-05-07,7.739836
1999-05-10,7.696956
1999-05-11,7.684091
1999-05-12,7.491132
1999-05-13,7.461115
1999-05-14,7.439673
1999-05-17,7.431098
1999-05-18,7.251002
1999-05-19,7.323900
1999-05-20,7.238141
1999-05-21,7.233854
1999-05-24,7.203835
1999-05-25,7.135231
1999-05-26,7.066620
1999-05-27,6.903677
1999-05-28,6.766459
1999-06-01,7.058043
1999-06-02,7.049469
1999-06-03,7.070908
1999-06-04,7.203835
1999-06-07,7.225277
1999-06-08,7.135231
1999-06-09,7.066620
1999-06-10,7.186684
1999-06-11,7.122366
1999-06-14,7.293883
1999-06-15,7.358203
1999-06-16,7.388219
1999-06-17,7.413947
1999-06-18,7.432771
1999-06-21,7.252109
1999-06-22,7.157487
1999-06-23,7.191895
1999-06-24,7.028443
1999-06-25,7.071457
1999-06-28,7.204800
1999-06-29,7.161782
1999-06-30,7.157487
1999-07-01,7.226305
1999-07-02,7.372549
1999-07-06,7.338140
1999-07-07,7.295126
1999-07-08,7.243510
1999-07-09,7.359643
1999-07-12,7.312332
1999-07-13,7.308029
1999-07-14,7.269320
1999-07-15,7.157487
1999-07-16,7.222003
1999-07-19,7.153184
1999-07-20,7.140276
1999-07-21,7.123069
1999-07-22,7.157487
1999-07-23,7.157487
1999-07-26,7.067153
1999-07-27,7.166084
1999-07-28,7.204800
1999-07-29,7.071457
1999-07-30,7.075758
1999-08-02,7.097263
1999-08-03,7.092960
1999-08-04,7.265018
1999-08-05,7.316634
1999-08-06,7.209100
1999-08-09,7.140276
1999-08-10,7.114472
1999-08-11,7.295126
1999-08-12,7.359643
1999-08-13,7.355347
1999-08-16,7.247813
1999-08-17,7.338140
1999-08-18,7.213405
1999-08-19,7.273618
1999-08-20,7.338140
1999-08-23,7.346744
1999-08-24,7.316634
1999-08-25,7.140276
1999-08-26,7.058549
1999-08-27,7.062850
1999-08-30,6.925209
1999-08-31,6.757457
1999-09-01,6.847784
1999-09-02,6.778963
1999-09-03,6.933814
1999-09-07,6.830578
1999-09-08,6.830578
1999-09-09,6.834883
1999-09-10,6.976826
1999-09-13,7.028443
1999-09-14,6.916605
1999-09-15,6.852087
1999-09-16,6.641319
1999-09-17,6.778530
1999-09-20,6.683601
1999-09-21,6.601624
1999-09-22,6.554163
1999-09-23,6.446285
1999-09-24,6.312532
1999-09-27,6.472181
1999-09-28,6.381570
1999-09-29,6.450603
1999-09-30,6.545527
1999-10-01,6.575734
1999-10-04,6.584364
1999-10-05,6.541218
1999-10-06,6.623199
1999-10-07,6.666343
1999-10-08,6.709496
1999-10-11,6.722434
1999-10-12,6.627511
1999-10-13,6.545527
1999-10-14,6.644769
1999-10-15,6.472181
1999-10-18,6.506698
1999-10-19,6.519639
1999-10-20,6.463546
1999-10-21,6.558472
1999-10-22,6.644769
1999-10-25,6.644769
1999-10-26,6.545527
