date,value
2018-06-19,46.204105
2018-06-20,46.777496
2018-06-21,46.490803
2018-06-22,46.694267
2018-06-25,45.732460
2018-06-26,45.808285
2018-06-27,45.408764
2018-06-28,45.861931
2018-06-29,45.806427
2018-07-02,46.093128
2018-07-03,45.528988
2018-07-05,46.222610
2018-07-06,46.953224
2018-07-09,47.221413
2018-07-10,47.201988
2018-07-11,47.138187
2018-07-12,47.878029
2018-07-13,47.804047
2018-07-16,47.665329
2018-07-17,47.674580
2018-07-18,47.535854
2018-07-19,47.202923
2018-07-20,47.045696
2018-07-23,47.239914
2018-07-24,47.572842
2018-07-25,47.915039
2018-07-26,46.107925
2018-07-27,45.233044
2018-07-30,44.520927
2018-07-31,44.816868
2018-08-01,44.631912
2018-08-02,44.927853
2018-08-03,45.233044
2018-08-06,45.686211
2018-08-07,45.741699
2018-08-08,45.704693
2018-08-09,45.954403
2018-08-10,45.565987
2018-08-13,45.501236
2018-08-14,45.824928
2018-08-15,45.186802
2018-08-16,45.168324
2018-08-17,44.955593
2018-08-20,45.029579
2018-08-21,45.307026
2018-08-22,45.251545
2018-08-23,45.066578
2018-08-24,45.723202
2018-08-27,46.167107
2018-08-28,45.963661
2018-08-29,46.222610
2018-08-30,45.935921
2018-08-31,45.482754
2018-09-04,44.918617
2018-09-05,44.335964
2018-09-06,44.003021
2018-09-07,44.095528
2018-09-10,44.188000
2018-09-11,44.631912
2018-09-12,44.502438
2018-09-13,44.816868
2018-09-14,44.733646
2018-09-17,44.298977
2018-09-18,44.613415
2018-09-19,44.733646
2018-09-20,45.223812
2018-09-21,45.021652
2018-09-24,45.021652
2018-09-25,45.040192
2018-09-26,45.216377
2018-09-27,45.605854
2018-09-28,45.438931
2018-10-01,45.253464
2018-10-02,45.216377
2018-10-03,45.420376
2018-10-04,44.771263
2018-10-05,44.344681
2018-10-08,44.196323
2018-10-09,44.168499
2018-10-10,42.425125
2018-10-11,42.063480
2018-10-12,43.000072
2018-10-15,42.833160
2018-10-16,43.964489
2018-10-17,44.140682
2018-10-18,43.333908
2018-10-19,43.324635
2018-10-22,43.296814
2018-10-23,43.204090
2018-10-24,41.145416
2018-10-25,42.508587
2018-10-26,41.358700
2018-10-29,40.718853
2018-10-30,41.831638
2018-10-31,42.694054
2018-11-01,42.944443
2018-11-02,42.508587
2018-11-05,42.332397
2018-11-06,42.582779
2018-11-07,43.361732
2018-11-08,42.953701
2018-11-09,42.072750
2018-11-12,41.442165
2018-11-13,41.312340
2018-11-14,41.516357
2018-11-15,41.822365
2018-11-16,41.618355
2018-11-19,40.357197
2018-11-20,39.828617
2018-11-21,40.301556
2018-11-23,39.772980
2018-11-26,40.681755
2018-11-27,40.811581
2018-11-28,41.664730
2018-11-29,41.803814
2018-11-30,41.738907
2018-12-03,41.803814
2018-12-04,40.570477
2018-12-06,41.024895
2018-12-07,40.245914
2018-12-10,40.551929
2018-12-11,40.589027
2018-12-12,41.024895
2018-12-13,40.839409
2018-12-14,40.440651
2018-12-17,39.652424
2018-12-18,39.828617
2018-12-19,38.975475
2018-12-20,38.289253
2018-12-21,37.037014
2018-12-24,36.255527
2018-12-26,38.292976
2018-12-27,38.469746
2018-12-28,38.348801
2018-12-31,38.404625
2019-01-02,38.916313
2019-01-03,38.265076
2019-01-04,39.911793
2019-01-07,40.367649
2019-01-08,41.046803
2019-01-09,41.102627
2019-01-10,41.186348
2019-01-11,40.981674
2019-01-14,40.832809
2019-01-15,41.511978
2019-01-16,41.335217
2019-01-17,41.502674
2019-01-18,41.837589
2019-01-22,40.972382
2019-01-23,40.786312
