date,value
1998-12-22,5.695556
1998-12-23,5.814133
1998-12-24,5.783533
1998-12-28,5.752931
1998-12-29,5.810307
1998-12-30,5.722329
1998-12-31,5.714679
1999-01-04,5.710855
1999-01-05,5.680254
1999-01-06,5.867682
1999-01-07,5.840907
1999-01-08,5.867682
1999-01-11,5.756752
1999-01-12,5.668779
1999-01-13,5.584627
1999-01-14,5.477525
1999-01-15,5.561675
1999-01-19,5.561675
1999-01-20,5.515775
1999-01-21,5.561675
1999-01-22,5.531077
1999-01-25,5.523426
1999-01-26,5.469874
1999-01-27,5.370422
1999-01-28,5.339820
1999-01-29,5.339820
1999-02-01,5.286268
1999-02-02,5.293921
1999-02-03,5.416322
1999-02-04,5.446925
1999-02-05,5.599926
1999-02-08,5.676430
1999-02-09,5.569328
1999-02-10,5.584627
1999-02-11,5.538723
1999-02-12,5.423972
1999-02-16,5.385722
1999-02-17,5.332172
1999-02-18,5.347471
1999-02-19,5.316870
1999-02-22,5.370422
1999-02-23,5.324520
1999-02-24,5.301569
1999-02-25,5.328347
1999-02-26,5.293921
1999-03-01,5.240369
1999-03-02,5.186817
1999-03-03,5.301569
1999-03-04,5.492827
1999-03-05,5.596104
1999-03-08,5.676430
1999-03-09,5.615228
1999-03-10,5.936535
1999-03-11,6.020686
1999-03-12,5.997737
1999-03-15,5.951838
1999-03-16,5.921235
1999-03-17,6.074236
1999-03-18,6.150741
1999-03-19,6.088397
1999-03-22,6.126788
1999-03-23,6.019299
1999-03-24,5.988588
1999-03-25,6.003942
1999-03-26,6.080721
1999-03-29,6.249626
1999-03-30,6.134460
1999-03-31,6.042330
1999-04-01,6.034655
1999-04-05,6.180530
1999-04-06,6.119108
1999-04-07,6.057685
1999-04-08,6.119108
1999-04-09,6.234272
1999-04-12,6.280339
1999-04-13,6.272660
1999-04-14,6.195882
1999-04-15,6.464601
1999-04-16,6.668062
1999-04-19,6.748676
1999-04-20,6.641193
1999-04-21,6.541379
1999-04-22,6.656546
1999-04-23,6.572090
1999-04-26,6.426215
1999-04-27,6.629676
1999-04-28,6.848484
1999-04-29,7.055784
1999-04-30,6.936780
1999-05-03,7.109526
1999-05-04,7.117208
1999-05-05,7.013557
1999-05-06,6.994362
1999-05-07,7.036589
1999-05-10,6.955971
1999-05-11,6.979007
1999-05-12,6.848484
1999-05-13,6.883037
1999-05-14,6.833131
1999-05-17,6.806261
1999-05-18,6.648866
1999-05-19,6.741001
1999-05-20,6.817778
1999-05-21,6.925262
1999-05-24,6.760194
1999-05-25,6.733323
1999-05-26,6.925262
1999-05-27,6.717965
1999-05-28,6.787066
1999-06-01,6.748676
1999-06-02,6.825454
1999-06-03,6.848484
1999-06-04,6.955971
1999-06-07,7.036589
1999-06-08,6.925262
1999-06-09,6.940616
1999-06-10,6.979007
1999-06-11,7.032753
1999-06-14,7.094173
1999-06-15,7.182464
1999-06-16,7.109526
1999-06-17,7.117208
1999-06-18,7.130107
1999-06-21,6.964202
1999-06-22,6.890896
1999-06-23,6.944911
1999-06-24,6.829163
1999-06-25,6.775146
1999-06-28,6.732705
1999-06-29,6.825302
1999-06-30,6.925621
1999-07-01,6.979633
1999-07-02,7.002784
1999-07-06,7.133965
1999-07-07,7.114673
1999-07-08,7.160973
1999-07-09,7.157111
1999-07-12,7.230422
1999-07-13,7.160973
1999-07-14,7.172547
1999-07-15,7.238140
1999-07-16,7.191840
1999-07-19,7.164834
1999-07-20,6.975777
1999-07-21,7.052941
1999-07-22,6.948770
1999-07-23,6.983494
1999-07-26,6.852314
1999-07-27,6.852314
1999-07-28,6.952629
1999-07-29,6.910184
1999-07-30,7.056800
1999-08-02,6.902471
1999-08-03,6.991206
1999-08-04,7.087668
1999-08-05,7.211129
1999-08-06,7.199558
1999-08-09,7.373181
1999-08-10,7.330738
1999-08-11,7.377038
1999-08-12,7.392468
