date,value
1998-12-22,11.124486
1998-12-23,11.288521
1998-12-24,11.363082
1998-12-28,11.213963
1998-12-29,11.333261
1998-12-30,11.288521
1998-12-31,11.184134
1999-01-04,11.184134
1999-01-05,11.288521
1999-01-06,11.646411
1999-01-07,11.825357
1999-01-08,11.899922
1999-01-11,11.720978
1999-01-12,11.392908
1999-01-13,11.243784
1999-01-14,10.960458
1999-01-15,11.273605
1999-01-19,11.213963
1999-01-20,11.295975
1999-01-21,11.094664
1999-01-22,11.020100
1999-01-25,11.109573
1999-01-26,11.117031
1999-01-27,10.975360
1999-01-28,11.139396
1999-01-29,11.377988
1999-02-01,11.184134
1999-02-02,11.064838
1999-02-03,11.146853
1999-02-04,10.885893
1999-02-05,10.796419
1999-02-08,10.766595
1999-02-09,10.617469
1999-02-10,10.706945
1999-02-11,11.139396
1999-02-12,10.975360
1999-02-16,11.139396
1999-02-17,11.184134
1999-02-18,11.295975
1999-02-19,11.333261
1999-02-22,11.661321
1999-02-23,11.810444
1999-02-24,11.422729
1999-02-25,11.348163
1999-02-26,11.556934
1999-03-01,11.601677
1999-03-02,11.631498
1999-03-03,11.519657
1999-03-04,11.780615
1999-03-05,12.078865
1999-03-08,11.996848
1999-03-09,12.093775
1999-03-10,12.317457
1999-03-11,12.377109
1999-03-12,12.399474
1999-03-15,12.436760
1999-03-16,12.257812
1999-03-17,12.153426
1999-03-18,12.436760
1999-03-19,12.200640
1999-03-22,12.230545
1999-03-23,11.811890
1999-03-24,11.781987
1999-03-25,12.051123
1999-03-26,11.946457
1999-03-29,12.215591
1999-03-30,12.073552
1999-03-31,11.931508
1999-04-01,11.961416
1999-04-05,12.200640
1999-04-06,12.110929
1999-04-07,12.439870
1999-04-08,12.664140
1999-04-09,12.634234
1999-04-12,12.858518
1999-04-13,12.843568
1999-04-14,12.679096
1999-04-15,12.559482
1999-04-16,12.499670
1999-04-19,12.499670
1999-04-20,12.664140
1999-04-21,12.858518
1999-04-22,12.993078
1999-04-23,12.948226
1999-04-26,12.753850
1999-04-27,12.978131
1999-04-28,12.903374
1999-04-29,12.948226
1999-04-30,12.768804
1999-05-03,12.918325
1999-05-04,12.514620
1999-05-05,12.589390
1999-05-06,12.380063
1999-05-07,12.619289
1999-05-10,12.574431
1999-05-11,12.723942
1999-05-12,12.903374
1999-05-13,13.022986
1999-05-14,12.619289
1999-05-17,12.380063
1999-05-18,12.409962
1999-05-19,12.499670
1999-05-20,12.335204
1999-05-21,12.305296
1999-05-24,12.036172
1999-05-25,11.722189
1999-05-26,12.103455
1999-05-27,11.811890
1999-05-28,11.998790
1999-06-01,11.826850
1999-06-02,11.752095
1999-06-03,11.744609
1999-06-04,11.961416
1999-06-07,12.185686
1999-06-08,11.968884
1999-06-09,11.938980
1999-06-10,11.714706
1999-06-11,11.737136
1999-06-14,11.677323
1999-06-15,11.737136
1999-06-16,12.043642
1999-06-17,12.275396
1999-06-18,12.294465
1999-06-21,12.369435
1999-06-22,12.234502
1999-06-23,12.114558
1999-06-24,11.919640
1999-06-25,11.949627
1999-06-28,12.226999
1999-06-29,12.264482
1999-06-30,12.519370
1999-07-01,12.654312
1999-07-02,12.654312
1999-07-06,12.759261
1999-07-07,12.714286
1999-07-08,12.669293
1999-07-09,12.684296
1999-07-12,12.579345
1999-07-13,12.444405
1999-07-14,12.474384
1999-07-15,12.586845
1999-07-16,12.654312
1999-07-19,12.564356
1999-07-20,12.406918
1999-07-21,12.264482
1999-07-22,12.279470
1999-07-23,12.144533
1999-07-26,12.189513
1999-07-27,12.354445
1999-07-28,12.204507
1999-07-29,12.024589
1999-07-30,11.754712
1999-08-02,11.694736
1999-08-03,11.544807
1999-08-04,11.394879
1999-08-05,11.439856
1999-08-06,11.139988
1999-08-09,11.169974
1999-08-10,10.975060
1999-08-11,11.184970
1999-08-12,11.237442
1999-08-13,11.604784
1999-08-16,11.559806
1999-08-17,11.979609
1999-08-18,11.852169
1999-08-19,11.694736
1999-08-20,11.859663
1999-08-23,12.174521
1999-08-24,12.204507
1999-08-25,12.107057
1999-08-26,11.829679
1999-08-27,11.634768
1999-08-30,11.252436
1999-08-31,11.237442
1999-09-01,11.289924
1999-09-02,11.072524
1999-09-03,11.634768
1999-09-07,11.319906
1999-09-08,11.244942
1999-09-09,11.110000
1999-09-10,11.192462
1999-09-13,11.087512
1999-09-14,10.885106
1999-09-15,10.832629
1999-09-16,10.795148
1999-09-17,11.026813
1999-09-20,10.898946
1999-09-21,10.725945
1999-09-22,10.718424
1999-09-23,10.635683
1999-09-24,10.710904
1999-09-27,10.530384
1999-09-28,10.515335
1999-09-29,10.440122
1999-09-30,10.650730
1999-10-01,10.470202
1999-10-04,10.868858
1999-10-05,10.913984
1999-10-06,11.102027
1999-10-07,10.996727
1999-10-08,11.192289
1999-10-11,11.071939
1999-10-12,10.861337
1999-10-13,10.537899
1999-10-14,10.522859
1999-10-15,10.048993
1999-10-18,10.372425
1999-10-19,10.590549
1999-10-20,10.778596
1999-10-21,10.831250
1999-10-22,11.282550
1999-10-25,11.184764
1999-10-26,11.011765
1999-10-27,11.553330
1999-10-28,12.373193
1999-10-29,12.305506
1999-11-01,12.155073
1999-11-02,12.140025
1999-11-03,12.087376
1999-11-04,12.230285
1999-11-05,12.531154
1999-11-08,12.463459
1999-11-09,12.222762
1999-11-10,12.034723
1999-11-11,11.967029
1999-11-12,12.486023
1999-11-15,12.478498
1999-11-16,12.816980
1999-11-17,12.546196
1999-11-18,12.508581
1999-11-19,12.320541
1999-11-22,12.275414
1999-11-23,12.079849
1999-11-24,11.936939
1999-11-26,11.854199
1999-11-29,11.568379
1999-11-30,11.763940
1999-12-01,11.673680
1999-12-02,11.726331
1999-12-03,12.004636
1999-12-06,11.681205
1999-12-07,11.658632
1999-12-08,11.380327
1999-12-09,11.545813
1999-12-10,11.748897
1999-12-13,11.613508
1999-12-14,11.335200
1999-12-15,11.305118
1999-12-16,11.056893
1999-12-17,11.142778
1999-12-20,11.052191
1999-12-21,11.263566
1999-12-22,11.263566
1999-12-23,11.444751
1999-12-27,11.354157
1999-12-28,11.308867
1999-12-29,11.422105
1999-12-30,11.474952
1999-12-31,11.482497
2000-01-03,11.052191
2000-01-04,10.569034
2000-01-05,10.485991
2000-01-06,10.946493
2000-01-07,11.127685
2000-01-10,10.931403
2000-01-11,10.750216
2000-01-12,10.961596
2000-01-13,11.293772
2000-01-14,11.557992
2000-01-18,11.172975
2000-01-19,11.135231
2000-01-20,10.931403
2000-01-21,10.795512
2000-01-24,10.599233
2000-01-25,10.712470
2000-01-26,11.112579
2000-01-27,11.233370
2000-01-28,10.840807
2000-01-31,11.142778
2000-02-01,11.203181
2000-02-02,11.089932
2000-02-03,11.021988
2000-02-04,10.908751
2000-02-07,10.795512
2000-02-08,10.916298
2000-02-09,10.659622
2000-02-10,10.365203
2000-02-11,10.387847
2000-02-14,10.478441
2000-02-15,10.493541
2000-02-16,10.274612
2000-02-17,10.146266
2000-02-18,9.783910
2000-02-22,9.874497
2000-02-23,9.836745
2000-02-24,9.632921
2000-02-25,9.572523
2000-02-28,9.882042
2000-02-29,9.949992
2000-03-01,10.085876
2000-03-02,10.025481
2000-03-03,10.116074
2000-03-06,10.017935
2000-03-07,9.715955
2000-03-08,9.602724
2000-03-09,9.655567
2000-03-10,9.685757
2000-03-13,9.783910
2000-03-14,9.746156
2000-03-15,10.342555
2000-03-16,11.233370
2000-03-17,11.236703
2000-03-20,11.024549
2000-03-21,11.426130
2000-03-22,11.524630
2000-03-23,11.926209
2000-03-24,12.062601
2000-03-27,11.668597
2000-03-28,11.759514
2000-03-29,11.668597
2000-03-30,11.691326
2000-03-31,11.767095
2000-04-03,12.335373
2000-04-04,11.842869
2000-04-05,11.751939
2000-04-06,11.880756
2000-04-07,11.638284
2000-04-10,11.971673
2000-04-11,12.123222
2000-04-12,12.176260
2000-04-13,11.858023
2000-04-14,10.895740
2000-04-17,10.986663
2000-04-18,11.426130
2000-04-19,11.274588
2000-04-20,11.486744
2000-04-24,11.759514
2000-04-25,12.123222
2000-04-26,11.880756
2000-04-27,11.638284
2000-04-28,11.880756
2000-05-01,11.615554
2000-05-02,11.501900
2000-05-03,11.297323
2000-05-04,11.123048
2000-05-05,11.198818
2000-05-08,11.418555
2000-05-09,11.388249
2000-05-10,11.085163
2000-05-11,11.418555
2000-05-12,11.547359
2000-05-15,12.062601
2000-05-16,11.994410
