date,value
1998-12-22,14.396668
1998-12-23,14.647898
1998-12-24,14.841140
1998-12-28,14.918429
1998-12-29,15.131005
1998-12-30,15.063375
1998-12-31,15.188982
1999-01-04,14.976409
1999-01-05,15.285598
1999-01-06,15.614118
1999-01-07,15.478844
1999-01-08,15.594796
1999-01-11,15.449860
1999-01-12,15.266271
1999-01-13,14.879783
1999-01-14,14.812151
1999-01-15,15.063375
1999-01-19,15.034387
1999-01-20,14.966746
1999-01-21,14.841140
1999-01-22,14.551274
1999-01-25,14.792833
1999-01-26,14.792833
1999-01-27,14.908779
1999-01-28,14.928095
1999-01-29,15.024722
1999-02-01,15.044052
1999-02-02,14.928095
1999-02-03,15.073030
1999-02-04,15.092357
1999-02-05,15.044052
1999-02-08,15.092357
1999-02-09,14.889447
1999-02-10,14.947426
1999-02-11,15.150334
1999-02-12,15.063375
1999-02-16,15.140674
1999-02-17,15.140674
1999-02-18,15.140674
1999-02-19,15.237289
1999-02-22,15.469178
1999-02-23,15.459519
1999-02-24,15.420875
1999-02-25,15.111684
1999-02-26,15.159997
1999-03-01,15.150334
1999-03-02,15.024722
1999-03-03,14.937762
1999-03-04,15.227634
1999-03-05,15.565800
1999-03-08,15.652761
1999-03-09,15.730061
1999-03-10,15.701077
1999-03-11,15.720396
1999-03-12,15.768714
1999-03-15,15.730061
1999-03-16,15.623778
1999-03-17,15.594796
1999-03-18,15.633440
1999-03-19,15.730578
1999-03-22,15.614196
1999-03-23,15.245667
1999-03-24,15.206877
1999-03-25,15.371737
1999-03-26,15.410531
1999-03-29,15.662683
1999-03-30,15.652998
1999-03-31,15.478423
1999-04-01,15.643297
1999-04-05,15.982738
1999-04-06,15.895442
1999-04-07,15.924549
1999-04-08,16.011835
1999-04-09,16.021521
1999-04-12,16.409456
1999-04-13,16.535532
1999-04-14,16.894379
1999-04-15,17.330790
1999-04-16,17.427776
1999-04-19,17.573242
1999-04-20,17.456867
1999-04-21,17.515057
1999-04-22,17.524757
1999-04-23,17.660524
1999-04-26,17.641142
1999-04-27,17.728416
1999-04-28,17.951481
1999-04-29,18.019371
1999-04-30,17.806002
1999-05-03,18.155134
1999-05-04,18.232725
1999-05-05,18.232725
1999-05-06,18.271515
1999-05-07,18.620651
1999-05-10,18.368498
1999-05-11,18.678852
1999-05-12,18.494577
1999-05-13,18.310320
1999-05-14,18.077553
1999-05-17,18.038763
1999-05-18,17.806002
1999-05-19,18.077553
1999-05-20,18.126055
