date,value
1998-12-22,11.909106
1998-12-23,12.193625
1998-12-24,12.147171
1998-12-28,12.182014
1998-12-29,12.216849
1998-12-30,12.170396
1998-12-31,12.123948
1999-01-04,12.263298
1999-01-05,12.576852
1999-01-06,12.948473
1999-01-07,12.907825
1999-01-08,12.960086
1999-01-11,13.087821
1999-01-12,12.733627
1999-01-13,12.727823
1999-01-14,12.553626
1999-01-15,12.925241
1999-01-19,13.372334
1999-01-20,13.494279
1999-01-21,13.145890
1999-01-22,12.913630
1999-01-25,13.140079
1999-01-26,13.668475
1999-01-27,13.378143
1999-01-28,13.848475
1999-01-29,14.051693
1999-02-01,14.063313
1999-02-02,13.825248
1999-02-03,13.923954
1999-02-04,13.447823
1999-02-05,13.122661
1999-02-08,13.343309
1999-02-09,12.820724
1999-02-10,12.913630
1999-02-11,13.459438
1999-02-12,12.925241
1999-02-16,12.867180
1999-02-17,12.576852
1999-02-18,12.646528
1999-02-19,12.762662
1999-02-22,13.215565
1999-02-23,13.389762
1999-02-24,13.018143
1999-02-25,13.052989
1999-02-26,12.658139
1999-03-01,12.600082
1999-03-02,12.263298
1999-03-03,12.472336
1999-03-04,12.600082
1999-03-05,12.890401
1999-03-08,13.262015
1999-03-09,13.122661
1999-03-10,13.122661
1999-03-11,13.099435
1999-03-12,12.983302
1999-03-15,13.192335
1999-03-16,13.418792
1999-03-17,13.331693
1999-03-18,13.517508
1999-03-19,13.192335
1999-03-22,13.192335
1999-03-23,12.809118
1999-03-24,13.058791
1999-03-25,13.366535
1999-03-26,13.296853
1999-03-29,13.796212
1999-03-30,13.772991
1999-03-31,13.598793
1999-04-01,13.813639
1999-04-05,14.289761
1999-04-06,14.411695
1999-04-07,14.376865
1999-04-08,14.516217
1999-04-09,14.492999
1999-04-12,14.272348
1999-04-13,14.051693
1999-04-14,13.703303
1999-04-15,13.819441
1999-04-16,13.447823
1999-04-19,12.797495
1999-04-20,13.122661
1999-04-21,13.471052
1999-04-22,14.092345
1999-04-23,14.121381
1999-04-26,14.481378
1999-04-27,14.121381
1999-04-28,13.935573
1999-04-29,13.790407
1999-04-30,13.680085
1999-05-03,13.796212
1999-05-04,13.587186
1999-05-05,13.865892
1999-05-06,13.517508
1999-05-07,13.749759
1999-05-10,13.865892
1999-05-11,14.074930
1999-05-12,14.353642
1999-05-13,14.312992
1999-05-14,13.935573
1999-05-17,14.132993
1999-05-18,14.260726
1999-05-19,14.307184
1999-05-20,14.121381
1999-05-21,13.958794
1999-05-24,13.656858
1999-05-25,13.372334
1999-05-26,13.651057
1999-05-27,13.552341
1999-05-28,13.726541
1999-06-01,13.418792
1999-06-02,13.563954
1999-06-03,13.471052
1999-06-04,13.871698
1999-06-07,14.121381
1999-06-08,13.796212
1999-06-09,14.005253
1999-06-10,13.796212
1999-06-11,13.610403
1999-06-14,13.546534
1999-06-15,13.668475
1999-06-16,14.231691
1999-06-17,14.388474
1999-06-18,14.516217
1999-06-21,14.882026
1999-06-22,14.568481
1999-06-23,14.678803
1999-06-24,14.376865
1999-06-25,14.394274
1999-06-28,14.632348
1999-06-29,14.818151
1999-06-30,15.044604
1999-07-01,15.213005
1999-07-02,15.410422
1999-07-06,15.323323
1999-07-07,15.503325
1999-07-08,15.712349
1999-07-09,15.880743
1999-07-12,15.903967
1999-07-13,15.834288
1999-07-14,16.031702
1999-07-15,16.147839
1999-07-16,16.293007
1999-07-19,16.095585
1999-07-20,15.427833
1999-07-21,15.561385
1999-07-22,15.079443
1999-07-23,15.120088
1999-07-26,14.777507
1999-07-27,15.143321
1999-07-28,15.282673
1999-07-29,15.027192
1999-07-30,14.870415
1999-08-02,14.841382
1999-08-03,14.783317
1999-08-04,14.603322
1999-08-05,14.719444
1999-08-06,14.725250
1999-08-09,14.556870
1999-08-10,14.312992
1999-08-11,14.771702
1999-08-12,14.585902
1999-08-13,15.050413
1999-08-16,15.096869
1999-08-17,15.166543
1999-08-18,14.992351
1999-08-19,14.841382
1999-08-20,14.887833
1999-08-23,15.230417
1999-08-24,15.468480
1999-08-25,15.793643
1999-08-26,15.602030
1999-08-27,15.514936
1999-08-30,15.259452
1999-08-31,15.392989
1999-09-01,15.474289
1999-09-02,15.416229
1999-09-03,15.979456
1999-09-07,15.985258
1999-09-08,15.874929
1999-09-09,16.014286
1999-09-10,16.188484
1999-09-13,15.967842
1999-09-14,16.142031
1999-09-15,15.805253
1999-09-16,15.735588
1999-09-17,16.049131
1999-09-20,16.118809
1999-09-21,15.787840
1999-09-22,15.816868
1999-09-23,15.236226
1999-09-24,15.271064
1999-09-27,15.427833
1999-09-28,15.497508
1999-09-29,15.213005
1999-09-30,15.329126
1999-10-01,15.236226
1999-10-04,15.607836
1999-10-05,15.700737
1999-10-06,15.892354
1999-10-07,15.811066
1999-10-08,15.799448
1999-10-11,15.956230
1999-10-12,15.671715
1999-10-13,15.259452
1999-10-14,15.172349
1999-10-15,14.812348
1999-10-18,14.678803
1999-10-19,14.446548
1999-10-20,15.027192
1999-10-21,14.783317
1999-10-22,14.818151
1999-10-25,14.858799
1999-10-26,14.864603
1999-10-27,14.847180
1999-10-28,15.230417
1999-10-29,15.793643
1999-11-01,15.770415
1999-11-02,15.700737
1999-11-03,15.933000
1999-11-04,16.054937
1999-11-05,16.229136
1999-11-08,16.391708
1999-11-09,16.211708
1999-11-10,16.496229
1999-11-11,16.722681
1999-11-12,16.815592
1999-11-15,16.740095
1999-11-16,17.094296
1999-11-17,16.931719
1999-11-18,17.506563
1999-11-19,17.669146
1999-11-22,17.779461
1999-11-23,17.622686
1999-11-24,17.895596
1999-11-26,18.034950
1999-11-29,17.878178
1999-11-30,17.343979
1999-12-01,17.512365
1999-12-02,17.930433
1999-12-03,18.441412
1999-12-06,18.569145
1999-12-07,18.615597
1999-12-08,18.418180
1999-12-09,18.371723
1999-12-10,18.464626
1999-12-13,18.586565
1999-12-14,18.232363
1999-12-15,18.603985
1999-12-16,18.952377
1999-12-17,19.161779
1999-12-20,19.347588
1999-12-21,19.719213
1999-12-22,19.719213
1999-12-23,19.823734
1999-12-27,19.974710
1999-12-28,19.788900
1999-12-29,20.108253
1999-12-30,20.090839
1999-12-31,20.021160
2000-01-03,20.601820
2000-01-04,19.556633
2000-01-05,19.266293
2000-01-06,18.627577
2000-01-07,18.952749
2000-01-10,19.672770
2000-01-11,19.115332
2000-01-12,19.034048
2000-01-13,19.208239
2000-01-14,19.649536
2000-01-18,19.754055
2000-01-19,19.788900
2000-01-20,19.905029
2000-01-21,19.928253
2000-01-24,19.277924
2000-01-25,19.690184
2000-01-26,19.045652
2000-01-27,18.859840
2000-01-28,18.186279
2000-01-31,18.790165
2000-02-01,19.185011
2000-02-02,19.324373
2000-02-03,19.881798
2000-02-04,20.114067
2000-02-07,20.346321
2000-02-08,20.532139
2000-02-09,20.276653
2000-02-10,20.758600
2000-02-11,20.206968
2000-02-14,20.218582
2000-02-15,20.276653
2000-02-16,20.172131
2000-02-17,20.625053
2000-02-18,19.928253
2000-02-22,19.881798
2000-02-23,20.485693
2000-02-24,20.741177
2000-02-25,20.543753
2000-02-28,20.299871
2000-02-29,20.764402
2000-03-01,20.973442
2000-03-02,21.182484
2000-03-03,21.768944
2000-03-06,21.734106
2000-03-07,21.136034
2000-03-08,21.507658
2000-03-09,22.157988
2000-03-10,22.204437
2000-03-13,21.879276
2000-03-14,21.379898
2000-03-15,21.008276
2000-03-16,21.739910
2000-03-17,22.250902
2000-03-20,22.157988
2000-03-21,22.738644
2000-03-22,23.133501
2000-03-23,23.574799
2000-03-24,23.778025
2000-03-27,23.969650
2000-03-28,23.388985
2000-03-29,22.703810
2000-03-30,22.088318
2000-03-31,22.506386
2000-04-03,21.554111
2000-04-04,21.345062
2000-04-05,21.484421
2000-04-06,21.763140
2000-04-07,22.506386
2000-04-10,21.693457
2000-04-11,21.159258
2000-04-12,19.788900
2000-04-13,19.411474
2000-04-14,18.395311
2000-04-17,19.394049
2000-04-18,20.497303
2000-04-19,19.823734
2000-04-20,19.649536
2000-04-24,19.045652
2000-04-25,20.148901
2000-04-26,19.765676
2000-04-27,20.381166
2000-04-28,20.439238
2000-05-01,20.729574
2000-05-02,20.346321
2000-05-03,19.463722
2000-05-04,19.324373
2000-05-05,19.852781
2000-05-08,19.150177
2000-05-09,18.795965
2000-05-10,17.884329
2000-05-11,18.389505
2000-05-12,18.627577
2000-05-15,18.975979
2000-05-16,19.545025
2000-05-17,19.266293
2000-05-18,18.778551
2000-05-19,18.046917
2000-05-22,17.965630
2000-05-23,17.094633
2000-05-24,17.768200
2000-05-25,17.477873
2000-05-26,17.535944
2000-05-30,18.674032
2000-05-31,18.314026
2000-06-01,19.138556
2000-06-02,20.009546
2000-06-05,20.067612
2000-06-06,19.788900
2000-06-07,20.160507
2000-06-08,20.067612
2000-06-09,20.114067
2000-06-12,19.695992
2000-06-13,20.114067
2000-06-14,19.742445
2000-06-15,20.137293
2000-06-16,20.206968
2000-06-19,20.845692
2000-06-20,20.903763
2000-06-21,21.089571
2000-06-22,20.439238
2000-06-23,20.003738
2000-06-26,20.137293
2000-06-27,19.939873
2000-06-28,20.137293
2000-06-29,19.742445
2000-06-30,20.137293
2000-07-03,20.276653
2000-07-05,19.626316
2000-07-06,19.928253
2000-07-07,20.253426
2000-07-10,20.032768
2000-07-11,19.870182
2000-07-12,20.381166
2000-07-13,20.776020
2000-07-14,21.159258
2000-07-17,21.333456
2000-07-18,20.903763
2000-07-19,20.439238
2000-07-20,20.868916
2000-07-21,20.416016
2000-07-24,19.916641
2000-07-25,20.253426
2000-07-26,19.986319
2000-07-27,19.405666
2000-07-28,18.685646
2000-07-31,19.068878
2000-08-01,18.848236
2000-08-02,18.766935
2000-08-03,19.126942
2000-08-04,19.126942
2000-08-07,19.521795
2000-08-08,19.556633
2000-08-09,19.626316
2000-08-10,19.208239
2000-08-11,19.277924
2000-08-14,19.672770
2000-08-15,19.719213
2000-08-16,19.742445
2000-08-17,20.114067
2000-08-18,20.137293
2000-08-21,20.230198
2000-08-22,20.230198
2000-08-23,20.427628
2000-08-24,20.619240
2000-08-25,20.549557
2000-08-28,20.717955
2000-08-29,20.741177
2000-08-30,20.601820
2000-08-31,21.008276
2000-09-01,21.019886
2000-09-05,20.543753
2000-09-06,20.021160
2000-09-07,20.346321
2000-09-08,19.695992
2000-09-11,19.185011
2000-09-12,18.906301
2000-09-13,19.092108
2000-09-14,19.196625
2000-09-15,18.865648
2000-09-18,18.441767
2000-09-19,19.161779
2000-09-20,19.231457
2000-09-21,18.836622
2000-09-22,18.302408
2000-09-25,17.919174
2000-09-26,17.541742
2000-09-27,17.419798
2000-09-28,18.023680
2000-09-29,17.233994
2000-10-02,17.106243
2000-10-03,16.653336
2000-10-04,17.100439
2000-10-05,16.856573
2000-10-06,16.508173
2000-10-09,16.415268
2000-10-10,15.933311
2000-10-11,15.422331
2000-10-12,14.888126
2000-10-13,16.142351
2000-10-16,15.886849
2000-10-17,15.468782
2000-10-18,15.224906
2000-10-19,16.577850
2000-10-20,16.827528
2000-10-23,16.723007
2000-10-24,16.397842
2000-10-25,15.242330
2000-10-26,15.608149
2000-10-27,15.741696
2000-10-30,15.526854
2000-10-31,16.246872
2000-11-01,15.933311
2000-11-02,16.345581
2000-11-03,16.467518
2000-11-06,16.212034
2000-11-07,16.328167
2000-11-08,15.468782
2000-11-09,15.242330
2000-11-10,14.400368
2000-11-13,14.353917
2000-11-14,15.132008
2000-11-15,15.236528
2000-11-16,14.748767
2000-11-17,14.864899
2000-11-20,14.261012
2000-11-21,14.330696
2000-11-22,13.808096
2000-11-24,14.353917
2000-11-27,14.272625
2000-11-28,13.697774
2000-11-29,13.633897
2000-11-30,12.913883
2000-12-01,13.082269
2000-12-04,13.006785
2000-12-05,14.237787
2000-12-06,13.842936
2000-12-07,13.384218
2000-12-08,14.005519
2000-12-11,14.533925
2000-12-12,14.237787
2000-12-13,13.633897
2000-12-14,13.424859
2000-12-15,12.890655
2000-12-18,12.635164
2000-12-19,12.263536
2000-12-20,11.346099
2000-12-21,11.380935
2000-12-22,12.164827
2000-12-26,11.961598
2000-12-27,12.077733
2000-12-28,12.019670
2000-12-29,11.636425
2001-01-02,10.962864
2001-01-03,12.728072
2001-01-04,12.855817
2001-01-05,12.077733
2001-01-08,12.042890
2001-01-09,12.309992
2001-01-10,12.681617
2001-01-11,13.215826
2001-01-12,13.018402
2001-01-16,12.867428
2001-01-17,13.262276
2001-01-18,13.959072
2001-01-19,14.150682
2001-01-22,13.889392
2001-01-23,14.121654
2001-01-24,14.295852
2001-01-25,13.796484
2001-01-26,13.889392
2001-01-29,14.181115
2001-01-30,14.214561
2001-01-31,13.861514
2001-02-01,13.854091
2001-02-02,13.244629
2001-02-05,13.162866
2001-02-06,13.240914
2001-02-07,12.899013
2001-02-08,12.709488
2001-02-09,12.122324
2001-02-12,12.226377
2001-02-13,12.018273
2001-02-14,12.300700
2001-02-15,12.672324
2001-02-16,11.888204
2001-02-20,11.249007
2001-02-21,10.962864
2001-02-22,10.981442
2001-02-23,10.899686
2001-02-26,11.074349
2001-02-27,10.650702
2001-02-28,10.409149
2001-03-01,10.702725
2001-03-02,10.331105
2001-03-05,10.554079
2001-03-06,11.000027
2001-03-07,11.014894
2001-03-08,10.795631
2001-03-09,10.089552
2001-03-12,9.550699
2001-03-13,10.026376
2001-03-14,9.781109
2001-03-15,9.665905
2001-03-16,9.454074
2001-03-19,9.747658
2001-03-20,9.279413
2001-03-21,9.324011
2001-03-22,9.751376
2001-03-23,9.959482
2001-03-26,9.829415
2001-03-27,10.145293
2001-03-28,9.394616
2001-03-29,9.271980
2001-03-30,9.216240
2001-04-02,8.993265
2001-04-03,8.391233
2001-04-04,8.231440
2001-04-05,9.101036
2001-04-06,8.677388
2001-04-09,8.699683
2001-04-10,9.283127
2001-04-11,9.621307
2001-04-12,9.862862
2001-04-16,9.625028
2001-04-17,9.725360
2001-04-18,10.609820
2001-04-19,11.278740
2001-04-20,11.148672
2001-04-23,10.531783
2001-04-24,10.368269
2001-04-25,10.550362
2001-04-26,10.401718
2001-04-27,10.542933
2001-04-30,10.706444
2001-05-01,10.962864
2001-05-02,11.182122
2001-05-03,10.825362
2001-05-04,10.981442
2001-05-07,10.970297
2001-05-08,11.018607
2001-05-09,10.866238
2001-05-10,10.706444
2001-05-11,10.591242
2001-05-14,10.442587
2001-05-15,10.424008
2001-05-16,10.847659
2001-05-17,10.910836
2001-05-18,10.959146
2001-05-21,11.445971
2001-05-22,11.423673
2001-05-23,11.144958
2001-05-24,11.230428
2001-05-25,11.018607
2001-05-29,10.606107
2001-05-30,10.175024
2001-05-31,10.267927
2001-06-01,10.442587
2001-06-04,10.420291
2001-06-05,10.832792
2001-06-06,10.728741
2001-06-07,11.033471
2001-06-08,10.788198
2001-06-11,10.609820
2001-06-12,10.528062
2001-06-13,10.290228
