date,value
1998-12-22,13.889654
1998-12-23,14.225423
1998-12-24,14.200861
1998-12-28,14.118959
1998-12-29,14.430170
1998-12-30,14.340085
1998-12-31,14.233620
1999-01-04,14.118959
1999-01-05,14.225423
1999-01-06,14.397405
1999-01-07,14.233620
1999-01-08,14.176283
1999-01-11,13.889654
1999-01-12,13.783190
1999-01-13,13.807762
1999-01-14,13.545679
1999-01-15,13.693098
1999-01-19,13.537498
1999-01-20,13.578438
1999-01-21,13.373713
1999-01-22,13.308189
1999-01-25,13.275426
1999-01-26,13.586640
1999-01-27,13.766808
1999-01-28,14.012500
1999-01-29,14.045254
1999-02-01,13.987934
1999-02-02,14.102586
1999-02-03,14.053450
1999-02-04,13.987934
1999-02-05,13.774995
1999-02-08,13.750422
1999-02-09,13.504739
1999-02-10,13.603012
1999-02-11,13.832332
1999-02-12,13.717671
1999-02-16,13.881464
1999-02-17,13.742234
1999-02-18,13.889654
1999-02-19,13.832332
1999-02-22,14.127151
1999-02-23,14.102586
1999-02-24,14.020683
1999-02-25,13.856902
1999-02-26,13.897844
1999-03-01,13.832332
1999-03-02,13.791368
1999-03-03,13.791368
1999-03-04,13.979745
1999-03-05,14.192665
1999-03-08,14.258182
1999-03-09,14.274567
1999-03-10,14.118959
1999-03-11,14.258182
1999-03-12,14.381036
1999-03-15,14.503879
1999-03-16,14.569397
1999-03-17,14.323706
1999-03-18,14.569397
1999-03-19,14.504875
1999-03-22,14.496673
1999-03-23,14.086473
1999-03-24,14.078267
1999-03-25,14.184926
1999-03-26,14.135697
1999-03-29,14.316180
1999-03-30,14.193122
1999-03-31,13.881372
1999-04-01,13.905977
1999-04-05,13.979812
1999-04-06,13.823933
1999-04-07,13.807530
1999-04-08,14.127490
1999-04-09,14.160310
1999-04-12,14.398228
1999-04-13,14.447450
1999-04-14,14.012636
1999-04-15,13.668061
1999-04-16,13.725490
1999-04-19,13.151194
1999-04-20,13.397329
1999-04-21,13.823933
1999-04-22,13.996221
1999-04-23,13.971608
1999-04-26,13.873167
1999-04-27,13.889566
1999-04-28,13.684465
1999-04-29,13.577814
1999-04-30,13.397329
1999-05-03,13.709077
1999-05-04,13.594219
1999-05-05,13.725490
1999-05-06,13.544998
1999-05-07,13.659854
1999-05-10,13.446546
1999-05-11,13.503984
1999-05-12,13.700873
1999-05-13,13.766501
1999-05-14,13.520387
1999-05-17,13.610634
1999-05-18,13.430144
1999-05-19,13.618834
1999-05-20,13.651648
1999-05-21,13.610634
1999-05-24,13.257857
1999-05-25,13.126585
1999-05-26,13.126585
1999-05-27,13.060952
1999-05-28,13.257857
1999-06-01,13.307080
1999-06-02,13.101968
1999-06-03,13.225040
1999-06-04,13.684465
1999-06-07,13.569600
1999-06-08,13.380917
1999-06-09,13.307080
1999-06-10,13.060952
1999-06-11,12.929691
1999-06-14,12.970715
1999-06-15,13.003530
1999-06-16,13.101968
1999-06-17,13.208631
1999-06-18,13.203682
1999-06-21,13.055423
1999-06-22,13.129545
1999-06-23,12.989530
1999-06-24,12.948339
1999-06-25,12.940106
1999-06-28,12.948339
1999-06-29,13.178975
1999-06-30,13.491973
1999-07-01,13.590819
1999-07-02,13.640243
1999-07-06,13.632001
1999-07-07,13.574346
1999-07-08,13.467266
1999-07-09,13.533161
1999-07-12,13.508456
1999-07-13,13.557872
1999-07-14,13.516683
1999-07-15,13.664954
1999-07-16,13.640243
1999-07-19,13.524915
1999-07-20,13.409612
1999-07-21,13.467266
1999-07-22,13.318995
1999-07-23,13.220163
1999-07-26,13.343712
1999-07-27,13.384894
1999-07-28,13.261348
1999-07-29,13.063659
1999-07-30,12.989530
1999-08-02,12.989530
1999-08-03,13.088370
1999-08-04,12.849502
1999-08-05,12.882449
1999-08-06,12.668289
1999-08-09,12.635344
1999-08-10,12.594160
1999-08-11,12.462364
1999-08-12,12.693006
1999-08-13,12.783604
1999-08-16,12.857738
1999-08-17,12.923631
1999-08-18,12.742421
1999-08-19,12.824789
1999-08-20,13.080131
1999-08-23,13.368417
1999-08-24,13.310767
1999-08-25,13.706133
1999-08-26,13.483745
1999-08-27,13.310767
1999-08-30,13.327238
1999-08-31,13.211923
1999-09-01,13.162499
1999-09-02,13.146026
1999-09-03,13.376658
1999-09-07,13.277821
1999-09-08,13.286050
1999-09-09,13.096607
1999-09-10,13.113084
1999-09-13,13.096607
1999-09-14,12.882449
1999-09-15,12.783604
1999-09-16,12.816551
1999-09-17,12.837358
1999-09-20,12.886891
1999-09-21,12.663995
1999-09-22,12.655733
1999-09-23,12.358535
1999-09-24,12.292488
1999-09-27,12.251215
1999-09-28,12.069595
1999-09-29,11.755881
1999-09-30,12.020059
1999-10-01,12.218192
1999-10-04,12.358535
1999-10-05,12.209934
1999-10-06,12.688753
1999-10-07,12.589689
1999-10-08,12.928170
1999-10-11,12.944683
1999-10-12,12.697017
1999-10-13,12.449347
1999-10-14,12.482368
1999-10-15,12.028313
1999-10-18,12.251215
1999-10-19,12.771314
1999-10-20,12.820846
1999-10-21,12.911656
1999-10-22,12.994210
1999-10-25,12.845613
1999-10-26,12.680504
1999-10-27,12.837358
1999-10-28,13.068513
1999-10-29,13.118044
1999-11-01,13.142815
1999-11-02,12.886891
1999-11-03,13.217113
1999-11-04,13.159321
1999-11-05,13.258392
1999-11-08,13.241881
1999-11-09,13.010728
1999-11-10,13.018987
1999-11-11,13.018987
1999-11-12,13.109796
1999-11-15,13.052004
1999-11-16,13.299669
1999-11-17,13.233626
1999-11-18,13.299669
1999-11-19,13.208858
1999-11-22,13.349198
1999-11-23,13.316182
1999-11-24,13.473032
1999-11-26,13.340945
1999-11-29,13.332690
1999-11-30,13.159321
1999-12-01,13.109796
1999-12-02,13.175834
1999-12-03,13.266643
1999-12-06,12.886891
1999-12-07,12.680504
1999-12-08,12.482368
1999-12-09,12.465858
1999-12-10,12.531904
1999-12-13,12.267724
1999-12-14,12.251215
1999-12-15,12.465858
1999-12-16,12.152151
1999-12-17,12.187654
1999-12-20,12.030335
1999-12-21,11.914423
1999-12-22,12.146253
1999-12-23,12.353246
1999-12-27,12.436042
1999-12-28,12.336684
1999-12-29,12.187654
1999-12-30,12.195928
1999-12-31,12.204208
2000-01-03,12.055178
2000-01-04,11.715712
2000-01-05,11.922704
2000-01-06,12.146253
2000-01-07,12.916264
2000-01-10,12.626472
2000-01-11,12.626472
2000-01-12,12.692713
2000-01-13,12.758950
2000-01-14,12.800341
2000-01-18,12.585079
2000-01-19,12.676157
2000-01-20,12.502275
2000-01-21,12.361522
2000-01-24,12.005504
2000-01-25,11.856471
2000-01-26,11.964101
2000-01-27,12.187654
2000-01-28,12.088295
2000-01-31,12.311854
2000-02-01,12.187654
2000-02-02,12.212489
2000-02-03,12.046896
2000-02-04,12.038618
2000-02-07,12.022064
2000-02-08,12.171089
2000-02-09,12.063455
2000-02-10,11.657751
2000-02-11,11.434199
2000-02-14,11.492158
2000-02-15,11.748827
2000-02-16,11.583237
2000-02-17,11.409360
2000-02-18,11.276891
2000-02-22,11.459037
2000-02-23,11.210649
2000-02-24,10.978819
2000-02-25,10.705594
2000-02-28,10.912588
2000-02-29,10.871185
2000-03-01,10.771829
2000-03-02,10.796671
2000-03-03,10.738708
2000-03-06,10.482042
2000-03-07,9.919029
2000-03-08,10.225368
2000-03-09,10.498601
2000-03-10,10.374404
2000-03-13,10.208811
2000-03-14,10.150856
2000-03-15,10.796671
2000-03-16,11.260332
2000-03-17,11.213415
2000-03-20,11.113743
2000-03-21,11.321402
2000-03-22,11.230030
2000-03-23,11.138661
2000-03-24,10.939311
2000-03-27,10.798106
2000-03-28,10.922703
2000-03-29,11.188504
2000-03-30,11.338007
2000-03-31,11.279866
2000-04-03,11.794856
2000-04-04,12.127098
2000-04-05,11.960981
2000-04-06,11.745017
2000-04-07,11.595500
2000-04-10,11.886220
2000-04-11,12.093877
2000-04-12,12.235084
2000-04-13,12.152024
2000-04-14,11.553972
2000-04-17,11.886220
2000-04-18,11.960981
2000-04-19,12.102182
2000-04-20,12.093877
2000-04-24,12.426134
2000-04-25,12.367975
2000-04-26,12.226781
2000-04-27,12.226781
2000-04-28,11.877913
2000-05-01,12.027424
2000-05-02,12.060648
2000-05-03,12.060648
2000-05-04,12.060648
2000-05-05,12.343063
2000-05-08,12.600562
2000-05-09,12.658702
2000-05-10,12.575632
2000-05-11,12.559030
2000-05-12,12.392900
2000-05-15,12.700230
2000-05-16,12.642086
2000-05-17,12.683619
2000-05-18,12.658702
2000-05-19,12.750071
2000-05-22,12.708544
2000-05-23,12.642086
2000-05-24,12.916188
2000-05-25,12.882975
2000-05-26,12.924506
2000-05-30,12.849740
2000-05-31,12.725146
2000-06-01,12.758376
2000-06-02,12.318154
2000-06-05,12.301536
2000-06-06,12.343063
2000-06-07,12.475962
2000-06-08,12.475962
2000-06-09,12.617173
2000-06-12,12.600562
2000-06-13,12.741763
2000-06-14,12.907885
2000-06-15,13.148769
2000-06-16,12.904401
2000-06-19,12.929373
2000-06-20,12.704586
2000-06-21,12.954357
2000-06-22,12.671289
2000-06-23,12.821145
2000-06-26,12.987653
2000-06-27,13.187468
2000-06-28,13.187468
2000-06-29,13.304024
2000-06-30,13.445559
2000-07-03,13.470525
2000-07-05,13.503834
2000-07-06,13.520479
2000-07-07,13.428905
2000-07-10,13.553789
2000-07-11,13.562112
2000-07-12,13.287360
2000-07-13,13.087558
2000-07-14,12.937702
2000-07-17,13.004307
2000-07-18,13.020961
2000-07-19,13.037607
2000-07-20,12.821145
2000-07-21,12.854445
2000-07-24,13.120865
2000-07-25,12.887753
2000-07-26,12.896076
2000-07-27,12.987653
2000-07-28,13.095888
2000-07-31,12.954357
2000-08-01,13.387278
2000-08-02,13.378948
2000-08-03,13.453881
2000-08-04,13.353970
2000-08-07,13.187468
2000-08-08,13.245745
2000-08-09,12.704586
2000-08-10,12.929373
2000-08-11,13.020961
2000-08-14,13.062577
2000-08-15,13.037607
2000-08-16,13.170823
2000-08-17,13.095888
2000-08-18,12.937702
2000-08-21,13.070908
2000-08-22,13.020961
2000-08-23,13.104209
2000-08-24,13.020961
2000-08-25,13.070908
2000-08-28,13.029282
2000-08-29,12.829471
2000-08-30,12.771194
2000-08-31,12.796175
2000-09-01,12.721237
2000-09-05,12.679615
2000-09-06,12.521427
2000-09-07,12.637985
2000-09-08,12.629665
2000-09-11,12.687946
2000-09-12,12.787847
2000-09-13,12.787847
2000-09-14,12.654648
2000-09-15,12.635924
2000-09-18,12.652628
2000-09-19,12.669345
2000-09-20,12.569057
2000-09-21,12.903341
2000-09-22,13.337903
2000-09-25,13.220923
2000-09-26,13.103909
2000-09-27,13.112267
2000-09-28,13.312836
2000-09-29,13.362985
2000-10-02,13.337903
2000-10-03,13.337903
2000-10-04,13.229270
2000-10-05,13.538486
2000-10-06,13.463273
2000-10-09,13.404769
2000-10-10,13.596984
2000-10-11,13.580267
2000-10-12,13.663840
2000-10-13,13.496701
2000-10-16,13.688914
2000-10-17,13.805911
2000-10-18,13.797554
2000-10-19,13.546839
2000-10-20,13.638773
2000-10-23,13.780838
2000-10-24,13.822618
2000-10-25,14.148559
2000-10-26,14.173626
2000-10-27,14.014842
2000-10-30,14.340767
2000-10-31,14.290622
2000-11-01,14.273904
2000-11-02,14.165263
2000-11-03,14.090058
2000-11-06,14.357481
2000-11-07,14.215411
2000-11-08,14.541337
2000-11-09,14.558059
2000-11-10,14.633261
2000-11-13,14.198689
2000-11-14,14.374196
2000-11-15,14.407621
2000-11-16,14.441049
2000-11-17,14.441049
2000-11-20,14.399266
2000-11-21,14.641619
2000-11-22,14.591479
2000-11-24,14.441049
2000-11-27,14.733550
2000-11-28,14.892327
2000-11-29,15.042762
2000-11-30,14.783689
2000-12-01,14.566402
2000-12-04,14.842191
2000-12-05,14.725190
2000-12-06,14.441049
2000-12-07,14.649976
2000-12-08,14.591479
2000-12-11,14.390911
2000-12-12,14.449406
2000-12-13,14.775333
2000-12-14,14.666696
2000-12-15,14.600650
2000-12-18,14.684461
2000-12-19,14.826941
2000-12-20,14.860479
2000-12-21,14.810180
2000-12-22,14.751522
2000-12-26,15.044870
2000-12-27,15.145442
2000-12-28,15.371747
2000-12-29,15.321464
2001-01-02,15.120300
2001-01-03,14.424636
2001-01-04,13.854691
2001-01-05,13.946885
2001-01-08,14.039083
2001-01-09,14.189955
2001-01-10,14.106134
2001-01-11,13.829548
2001-01-12,13.812781
2001-01-16,14.005563
2001-01-17,13.846304
2001-01-18,13.955270
2001-01-19,13.846304
2001-01-22,13.930118
2001-01-23,14.022316
2001-01-24,13.972027
2001-01-25,14.265380
2001-01-26,14.122900
2001-01-29,14.005893
2001-01-30,14.166810
2001-01-31,14.204369
2001-02-01,14.327742
2001-02-02,14.418928
2001-02-05,14.408199
2001-02-06,14.472568
2001-02-07,14.499396
2001-02-08,14.456485
2001-02-09,14.574491
2001-02-12,14.697869
2001-02-13,14.499396
2001-02-14,14.365288
2001-02-15,14.236550
2001-02-16,14.284832
2001-02-20,14.354572
2001-02-21,14.311651
2001-02-22,14.204369
2001-02-23,14.097085
2001-02-26,14.231184
2001-02-27,14.241920
2001-02-28,14.290183
2001-03-01,14.156092
2001-03-02,14.290183
2001-03-05,14.236550
2001-03-06,13.946885
2001-03-07,13.855687
2001-03-08,13.973701
2001-03-09,14.059532
2001-03-12,13.625038
2001-03-13,13.555300
2001-03-14,13.222718
2001-03-15,13.238808
2001-03-16,13.078489
2001-03-19,13.229133
2001-03-20,12.911716
2001-03-21,12.588920
2001-03-22,12.459810
2001-03-23,12.755698
2001-03-26,12.927850
2001-03-27,13.218369
2001-03-28,13.256024
2001-03-29,13.288303
2001-03-30,13.299073
2001-04-02,13.121532
2001-04-03,12.879438
2001-04-04,13.046211
2001-04-05,13.180709
2001-04-06,13.137670
2001-04-09,13.250650
2001-04-10,13.234520
2001-04-11,12.981653
2001-04-12,13.153809
2001-04-16,13.153809
