date,value
2015-10-08,20.861324
2015-10-09,20.826797
2015-10-12,20.957998
2015-10-13,20.826797
2015-10-14,20.826797
2015-10-15,20.764650
2015-10-16,21.159632
2015-10-19,21.406849
2015-10-20,21.427567
2015-10-21,21.444838
2015-10-22,21.716211
2015-10-23,21.455189
2015-10-26,21.482809
2015-10-27,21.488335
2015-10-28,21.410305
2015-10-29,21.507668
2015-10-30,21.372328
2015-11-02,21.372328
2015-11-03,21.648540
2015-11-04,21.558773
2015-11-05,21.475906
2015-11-06,20.681778
2015-11-09,20.516050
2015-11-10,20.737024
2015-11-11,20.808844
2015-11-12,20.681778
2015-11-13,20.412464
2015-11-16,20.391748
2015-11-17,20.709404
2015-11-18,20.954538
2015-11-19,21.068487
2015-11-20,21.241117
2015-11-23,21.351608
2015-11-24,21.027048
2015-11-25,21.027048
2015-11-27,21.185875
2015-11-30,21.234217
2015-12-01,21.585703
2015-12-02,21.144444
2015-12-03,20.723211
2015-12-04,21.144444
2015-12-07,21.144444
2015-12-08,21.213495
2015-12-09,21.096107
2015-12-10,20.923468
2015-12-11,20.811607
2015-12-14,20.875826
2015-12-15,21.116821
2015-12-16,21.496622
2015-12-17,21.468998
2015-12-18,21.189726
2015-12-21,21.224638
2015-12-22,21.420130
2015-12-23,21.629581
2015-12-24,21.650530
2015-12-28,21.592577
2015-12-29,21.950747
2015-12-30,21.950747
2015-12-31,21.772017
2016-01-04,21.266535
2016-01-05,21.910954
2016-01-06,21.699402
2016-01-07,21.301437
2016-01-08,21.022171
2016-01-11,21.147839
2016-01-12,20.917433
2016-01-13,20.701002
2016-01-14,20.770821
2016-01-15,20.421730
2016-01-19,20.561369
2016-01-20,20.009802
2016-01-21,20.163403
2016-01-22,20.582310
2016-01-25,20.582310
2016-01-26,20.765232
2016-01-27,20.582310
2016-01-28,20.358894
2016-01-29,20.379845
2016-02-01,20.812712
2016-02-02,20.547409
2016-02-03,20.568350
2016-02-04,20.691927
2016-02-05,20.315609
2016-02-08,19.239016
2016-02-09,19.088209
2016-02-10,19.493151
2016-02-11,19.004429
2016-02-12,19.192938
2016-02-16,19.192938
2016-02-17,19.793371
2016-02-18,20.037739
2016-02-19,20.009802
2016-02-22,20.317003
2016-02-23,20.212278
2016-02-24,20.229042
2016-02-25,20.358894
2016-02-26,20.505516
2016-02-29,20.477583
2016-03-01,20.966311
2016-03-02,21.196709
2016-03-03,21.226030
2016-03-04,21.287479
2016-03-07,21.273510
2016-03-08,21.241400
2016-03-09,21.176464
2016-03-10,21.076622
2016-03-11,21.566746
2016-03-14,21.636564
2016-03-15,21.779690
2016-03-16,21.615616
2016-03-17,22.338934
2016-03-18,22.181746
2016-03-21,22.068974
2016-03-22,22.030209
2016-03-23,21.949146
2016-03-24,21.984390
2016-03-28,22.125359
2016-03-29,22.604664
2016-03-30,22.555319
2016-03-31,22.668098
2016-04-01,22.715324
2016-04-04,22.682194
2016-04-05,22.479198
2016-04-06,22.541220
2016-04-07,22.357958
2016-04-08,22.569420
2016-04-11,22.555319
2016-04-12,22.654001
2016-04-13,22.567307
2016-04-14,22.477785
2016-04-15,22.632858
2016-04-18,22.717440
2016-04-19,22.639898
2016-04-20,22.414349
2016-04-21,21.895582
2016-04-22,22.174696
2016-04-25,22.330469
2016-04-26,22.393208
2016-04-27,22.308620
2016-04-28,22.331181
2016-04-29,22.118301
2016-05-02,22.350916
2016-05-03,22.463692
2016-05-04,22.787918
2016-05-05,22.809069
2016-05-06,22.928888
2016-05-09,23.160086
2016-05-10,23.246078
2016-05-11,22.823164
2016-05-12,22.900700
2016-05-13,22.570122
2016-05-16,22.878151
2016-05-17,22.498932
2016-05-18,21.944210
2016-05-19,21.899809
2016-05-20,22.049236
2016-05-23,22.118301
2016-05-24,22.266327
2016-05-25,22.417170
2016-05-26,22.400255
2016-05-27,22.488359
2016-05-31,22.498932
2016-06-01,22.414349
2016-06-02,22.484835
2016-06-03,22.586338
2016-06-06,22.597612
2016-06-07,22.615936
2016-06-08,22.724493
2016-06-09,22.772417
2016-06-10,22.661053
2016-06-13,22.654001
2016-06-14,22.548275
2016-06-15,22.780880
2016-06-16,22.897877
2016-06-17,22.862347
2016-06-20,22.883667
2016-06-21,23.068441
2016-06-22,23.047125
2016-06-23,23.146612
2016-06-24,22.855242
2016-06-27,22.819712
2016-06-28,23.239006
2016-06-29,23.679623
2016-06-30,23.871504
2016-07-01,23.857286
2016-07-05,24.031401
2016-07-06,23.999424
2016-07-07,23.700941
2016-07-08,24.111712
2016-07-11,24.297903
2016-07-12,24.347654
2016-07-13,24.461359
2016-07-14,24.325623
2016-07-15,24.290087
2016-07-18,24.297903
2016-07-19,24.367552
2016-07-20,24.333437
2016-07-21,24.404509
2016-07-22,24.589281
2016-07-25,24.553747
2016-07-26,24.415165
2016-07-27,24.233942
2016-07-28,24.383184
2016-07-29,24.644714
2016-08-01,24.724310
2016-08-02,24.347654
2016-08-03,24.162882
2016-08-04,24.120245
2016-08-05,24.120245
2016-08-08,24.113127
2016-08-09,24.276588
2016-08-10,24.226839
2016-08-11,23.999424
2016-08-12,24.077600
2016-08-15,24.049166
2016-08-16,23.757793
2016-08-17,23.857286
2016-08-18,23.807545
2016-08-19,23.622768
2016-08-22,23.736473
2016-08-23,23.722260
2016-08-24,23.658302
2016-08-25,23.757793
2016-08-26,23.523270
2016-08-29,23.757793
2016-08-30,23.686728
2016-08-31,23.722260
2016-09-01,23.715157
2016-09-02,23.871504
2016-09-06,24.070486
2016-09-07,24.190514
2016-09-08,23.883310
2016-09-09,22.975986
2016-09-12,23.068869
2016-09-13,22.661638
2016-09-14,22.704504
2016-09-15,22.875967
2016-09-16,22.797379
2016-09-19,23.033140
2016-09-20,22.990278
2016-09-21,23.254616
2016-09-22,23.711842
2016-09-23,23.804720
2016-09-26,23.854738
2016-09-27,23.647545
2016-09-28,23.811869
2016-09-29,23.518950
2016-09-30,23.411789
2016-10-03,22.961700
2016-10-04,22.611631
2016-10-05,22.190117
2016-10-06,22.232986
2016-10-07,22.175827
2016-10-10,22.261562
2016-10-11,22.090097
2016-10-12,22.404442
2016-10-13,22.475887
2016-10-14,22.447309
2016-10-17,22.468740
2016-10-18,22.583055
2016-10-19,22.668787
2016-10-20,22.590202
2016-10-21,22.575907
2016-10-24,22.604485
2016-10-25,22.575907
2016-10-26,22.282991
2016-10-27,21.754320
2016-10-28,21.811470
2016-10-31,22.111530
2016-11-01,21.675730
2016-11-02,21.339954
2016-11-03,21.247076
2016-11-04,21.389961
2016-11-07,21.782896
2016-11-08,21.918629
2016-11-09,21.425684
2016-11-10,21.104189
2016-11-11,21.125626
2016-11-14,21.539986
2016-11-15,21.397104
2016-11-16,21.382811
2016-11-17,21.182774
2016-11-18,21.225641
2016-11-21,21.168482
2016-11-22,21.532837
2016-11-23,21.382811
2016-11-25,21.475689
2016-11-28,21.554281
2016-11-29,21.704309
2016-11-30,21.439966
2016-12-01,21.111332
2016-12-02,21.311373
2016-12-05,21.482834
2016-12-06,21.575714
2016-12-07,22.025801
2016-12-08,22.140106
2016-12-09,22.125818
2016-12-12,22.354431
2016-12-13,22.411592
2016-12-14,22.018652
2016-12-15,21.840048
2016-12-16,22.146345
2016-12-19,22.342779
2016-12-20,22.357325
2016-12-21,22.073591
2016-12-22,22.044485
2016-12-23,22.066313
2016-12-27,22.124519
2016-12-28,21.957180
2016-12-29,22.160894
2016-12-30,22.371883
2017-01-03,22.444635
2017-01-04,22.728371
2017-01-05,22.844778
2017-01-06,22.844778
2017-01-09,22.699274
2017-01-10,22.415533
2017-01-11,22.291847
2017-01-12,22.379156
2017-01-13,22.328230
2017-01-17,22.510115
2017-01-18,22.561045
2017-01-19,22.342779
2017-01-20,22.481009
2017-01-23,22.619246
2017-01-24,22.626522
2017-01-25,22.488289
2017-01-26,22.473734
2017-01-27,22.284571
2017-01-30,22.160894
2017-01-31,22.342779
2017-02-01,22.095419
2017-02-02,22.357325
2017-02-03,22.502842
2017-02-06,22.364611
2017-02-07,22.320953
2017-02-08,22.510115
2017-02-09,22.604696
2017-02-10,22.757475
2017-02-13,22.866610
2017-02-14,22.750202
2017-02-15,22.684725
2017-02-16,22.779305
2017-02-17,22.844778
2017-02-21,23.157623
2017-02-22,23.070320
2017-02-23,23.223106
2017-02-24,23.339512
2017-02-27,23.455919
2017-02-28,23.383162
2017-03-01,23.324959
2017-03-02,23.252203
2017-03-03,23.179451
2017-03-06,23.084867
2017-03-07,23.004841
2017-03-08,22.662897
2017-03-09,22.371883
2017-03-10,22.350050
2017-03-13,22.379156
2017-03-14,22.350050
2017-03-15,22.779305
2017-03-16,22.728371
2017-03-17,22.770840
2017-03-20,22.792807
2017-03-21,22.756201
2017-03-22,22.807451
2017-03-23,22.975849
2017-03-24,22.953884
2017-03-27,22.770840
2017-03-28,22.902634
2017-03-29,22.983175
2017-03-30,23.034424
2017-03-31,23.136929
2017-04-03,23.166220
2017-04-04,23.100323
2017-04-05,23.136929
2017-04-06,23.268719
2017-04-07,23.298016
2017-04-10,23.459091
2017-04-11,23.568920
2017-04-12,23.532307
2017-04-13,23.481058
2017-04-17,23.751963
2017-04-18,23.810543
2017-04-19,23.759285
2017-04-20,23.751963
2017-04-21,23.671431
2017-04-24,23.437122
2017-04-25,23.488380
2017-04-26,23.290689
2017-04-27,23.305336
2017-04-28,23.173542
2017-05-01,23.319984
2017-05-02,23.327297
2017-05-03,23.041748
2017-05-04,23.063711
2017-05-05,23.246761
2017-05-08,23.122288
2017-05-09,23.034424
2017-05-10,23.158899
2017-05-11,23.049065
2017-05-12,22.961208
2017-05-15,23.063711
2017-05-16,22.946562
2017-05-17,23.093004
2017-05-18,23.136929
2017-05-19,23.268719
2017-05-22,23.327297
2017-05-23,23.356588
2017-05-24,23.488380
2017-05-25,23.576242
2017-05-26,23.429810
2017-05-30,23.363905
2017-05-31,23.327297
2017-06-01,23.400517
2017-06-02,23.605532
2017-06-05,23.546951
2017-06-06,23.437122
2017-06-07,23.561598
2017-06-08,23.451765
2017-06-09,23.561598
2017-06-12,23.715355
