date,value
1998-12-22,5.795298
1998-12-23,5.771011
1998-12-24,5.877263
1998-12-28,5.846908
1998-12-29,5.944049
1998-12-30,5.895480
1998-12-31,5.874228
1999-01-04,5.780120
1999-01-05,5.849944
1999-01-06,5.910657
1999-01-07,5.889406
1999-01-08,5.922800
1999-01-11,5.764942
1999-01-12,5.767976
1999-01-13,5.807442
1999-01-14,5.710299
1999-01-15,5.737615
1999-01-19,5.931908
1999-01-20,5.907622
1999-01-21,5.886368
1999-01-22,5.925838
1999-01-25,5.704226
1999-01-26,5.816549
1999-01-27,5.728511
1999-01-28,5.737615
1999-01-29,5.728511
1999-02-01,5.716366
1999-02-02,5.640473
1999-02-03,5.670832
1999-02-04,5.585831
1999-02-05,5.588863
1999-02-08,5.588863
1999-02-09,5.613151
1999-02-10,5.573690
1999-02-11,5.597971
1999-02-12,5.506897
1999-02-16,5.607080
1999-02-17,5.567615
1999-02-18,5.667795
1999-02-19,5.607080
1999-02-22,5.789226
1999-02-23,5.607080
1999-02-24,5.658690
1999-02-25,5.537257
1999-02-26,5.570652
1999-03-01,5.488685
1999-03-02,5.406719
1999-03-03,5.409758
1999-03-04,5.494756
1999-03-05,5.588863
1999-03-08,5.525113
1999-03-09,5.509938
1999-03-10,5.491722
1999-03-11,5.534221
1999-03-12,5.594936
1999-03-15,5.610113
1999-03-16,5.588863
1999-03-17,5.537257
1999-03-18,5.619223
1999-03-19,5.515622
1999-03-22,5.533957
1999-03-23,5.359776
1999-03-24,5.433114
1999-03-25,5.414782
1999-03-26,5.344499
1999-03-29,5.316997
1999-03-30,5.231437
1999-03-31,5.219213
1999-04-01,5.329220
1999-04-05,5.371998
1999-04-06,5.344499
1999-04-07,5.414782
1999-04-08,5.558402
1999-04-09,5.518677
1999-04-12,5.598128
1999-04-13,5.506452
1999-04-14,5.427004
1999-04-15,5.482008
1999-04-16,5.543121
1999-04-19,5.598128
1999-04-20,5.659240
1999-04-21,5.760080
1999-04-22,5.741750
1999-04-23,5.738692
1999-04-26,5.708132
1999-04-27,5.741750
1999-04-28,5.717299
1999-04-29,5.799805
1999-04-30,5.723413
1999-05-03,5.808971
1999-05-04,5.760080
1999-05-05,5.805918
1999-05-06,5.683688
1999-05-07,5.753970
1999-05-10,5.738692
1999-05-11,5.760080
1999-05-12,5.775357
1999-05-13,5.851754
1999-05-14,5.741750
1999-05-17,5.860922
1999-05-18,5.732579
1999-05-19,5.851754
1999-05-20,5.839530
1999-05-21,5.784529
1999-05-24,5.842587
1999-05-25,5.848700
1999-05-26,5.879253
1999-05-27,5.778417
1999-05-28,5.790637
1999-06-01,5.787581
1999-06-02,5.787581
1999-06-03,5.732579
1999-06-04,5.818139
1999-06-07,5.867033
1999-06-08,5.867033
1999-06-09,5.912868
1999-06-10,5.863976
1999-06-11,5.824253
1999-06-14,5.986210
1999-06-15,5.992319
1999-06-16,6.050377
1999-06-17,5.998430
1999-06-18,6.019850
1999-06-21,5.973733
1999-06-22,5.952213
