date,value
1998-12-22,16.716146
1998-12-23,17.091782
1998-12-24,17.196133
1998-12-28,16.945705
1998-12-29,17.321363
1998-12-30,17.175261
1998-12-31,17.363092
1999-01-04,17.321363
1999-01-05,17.592653
1999-01-06,17.884815
1999-01-07,17.801331
1999-01-08,18.020460
1999-01-11,18.062208
1999-01-12,17.989153
1999-01-13,17.822203
1999-01-14,17.676123
1999-01-15,17.916117
1999-01-19,18.427406
1999-01-20,18.531763
1999-01-21,17.884815
1999-01-22,17.811760
1999-01-25,17.957853
1999-01-26,18.041334
1999-01-27,17.863945
1999-01-28,18.197845
1999-01-29,18.197845
1999-02-01,18.302197
1999-02-02,18.030891
1999-02-03,18.375229
1999-02-04,18.239584
1999-02-05,18.030891
1999-02-08,18.020460
1999-02-09,17.696991
1999-02-10,17.738731
1999-02-11,18.218718
1999-02-12,17.947426
1999-02-16,18.114372
1999-02-17,17.926559
1999-02-18,18.156116
1999-02-19,18.208286
1999-02-22,18.594368
1999-02-23,18.563059
1999-02-24,18.343933
1999-02-25,18.166544
1999-02-26,18.218718
1999-03-01,18.187414
1999-03-02,18.176981
1999-03-03,18.062208
1999-03-04,18.385668
1999-03-05,18.803055
1999-03-08,18.823921
1999-03-09,18.677847
1999-03-10,18.844780
1999-03-11,18.970011
1999-03-12,18.865654
1999-03-15,18.928270
1999-03-16,18.886520
1999-03-17,18.782187
1999-03-18,19.043053
1999-03-19,18.959576
1999-03-22,18.907391
1999-03-23,18.385668
1999-03-24,18.469156
1999-03-25,18.782187
1999-03-26,18.636097
1999-03-29,18.865654
1999-03-30,18.803055
1999-03-31,18.698711
1999-04-01,18.698711
1999-04-05,19.116085
1999-04-06,19.136965
1999-04-07,19.502169
1999-04-08,19.700426
1999-04-09,19.763033
1999-04-12,20.263897
1999-04-13,20.055204
1999-04-14,19.867376
1999-04-15,19.366522
1999-04-16,19.178698
1999-04-19,18.656977
1999-04-20,19.011734
1999-04-21,19.450001
1999-04-22,19.846502
1999-04-23,20.295191
1999-04-26,20.263897
1999-04-27,20.284763
1999-04-28,19.742157
1999-04-29,19.512606
1999-04-30,19.366522
1999-05-03,19.742157
1999-05-04,19.366522
1999-05-05,19.533484
1999-05-06,19.616955
1999-05-07,19.554342
1999-05-10,19.512606
1999-05-11,19.825640
1999-05-12,20.013468
1999-05-13,19.888250
1999-05-14,19.533484
1999-05-17,19.408257
1999-05-18,19.199574
1999-05-19,19.429125
1999-05-20,19.689999
1999-05-21,19.470861
1999-05-24,19.011734
1999-05-25,18.823921
1999-05-26,18.844780
1999-05-27,18.636097
1999-05-28,18.771757
1999-06-01,18.823921
1999-06-02,18.761320
1999-06-03,18.907391
1999-06-04,19.366522
1999-06-07,19.199574
1999-06-08,19.043053
1999-06-09,19.053488
1999-06-10,18.896967
1999-06-11,18.677847
1999-06-14,18.782187
1999-06-15,18.990881
1999-06-16,19.366522
1999-06-17,19.460438
1999-06-18,19.366522
1999-06-21,19.272612
1999-06-22,19.241304
1999-06-23,19.283041
1999-06-24,18.928270
1999-06-25,18.949131
1999-06-28,19.157833
1999-06-29,19.345648
1999-06-30,19.596079
1999-07-01,19.658689
1999-07-02,19.658689
1999-07-06,19.616955
1999-07-07,19.742157
1999-07-08,19.700426
1999-07-09,19.783899
1999-07-12,19.825640
1999-07-13,19.783899
1999-07-14,19.825640
1999-07-15,19.919550
1999-07-16,19.929985
1999-07-19,19.846502
1999-07-20,19.763033
1999-07-21,19.721292
1999-07-22,19.408257
1999-07-23,19.241304
1999-07-26,19.262188
1999-07-27,19.616955
1999-07-28,19.470861
1999-07-29,19.136965
1999-07-30,19.011734
1999-08-02,18.886520
1999-08-03,18.803055
1999-08-04,18.531763
1999-08-05,18.479586
1999-08-06,18.281319
1999-08-09,18.302197
1999-08-10,17.936989
1999-08-11,18.114372
1999-08-12,18.114372
1999-08-13,18.427406
1999-08-16,18.427406
1999-08-17,18.656977
1999-08-18,18.782187
1999-08-19,18.698711
1999-08-20,18.656977
1999-08-23,18.834347
1999-08-24,18.573494
1999-08-25,18.949131
1999-08-26,18.803055
1999-08-27,18.667398
1999-08-30,18.218718
1999-08-31,18.156116
1999-09-01,18.176981
1999-09-02,17.989153
1999-09-03,18.563059
1999-09-07,18.782187
1999-09-08,18.698711
1999-09-09,18.573494
1999-09-10,18.677847
1999-09-13,18.646536
1999-09-14,18.458712
1999-09-15,18.281319
1999-09-16,18.291759
1999-09-17,18.813478
1999-09-20,18.583925
1999-09-21,18.250023
1999-09-22,18.208286
1999-09-23,18.010031
1999-09-24,17.728296
1999-09-27,17.863945
1999-09-28,17.696991
1999-09-29,17.749165
1999-09-30,17.905684
1999-10-01,17.843075
1999-10-04,18.114372
1999-10-05,17.874374
1999-10-06,18.323061
1999-10-07,18.156116
1999-10-08,18.354366
1999-10-11,18.302197
1999-10-12,17.989153
1999-10-13,17.592653
1999-10-14,17.530045
1999-10-15,17.227436
1999-10-18,17.143965
1999-10-19,17.154402
1999-10-20,17.571772
1999-10-21,17.603077
1999-10-22,17.822203
1999-10-25,17.822203
1999-10-26,17.696991
1999-10-27,17.696991
1999-10-28,18.458712
1999-10-29,18.813478
1999-11-01,18.823921
1999-11-02,18.583925
1999-11-03,18.667398
1999-11-04,18.876093
1999-11-05,18.792620
1999-11-08,18.823921
1999-11-09,18.698711
1999-11-10,18.813478
1999-11-11,19.032616
1999-11-12,19.408257
1999-11-15,19.491741
1999-11-16,19.742157
1999-11-17,19.543900
1999-11-18,19.669115
1999-11-19,19.575201
1999-11-22,19.366522
1999-11-23,19.043053
1999-11-24,19.314342
1999-11-26,19.157833
1999-11-29,19.043053
1999-11-30,19.032616
1999-12-01,18.990881
1999-12-02,19.157833
1999-12-03,19.533484
1999-12-06,19.648254
1999-12-07,19.596079
