date,value
1998-12-22,9.360785
1998-12-23,9.400987
1998-12-24,9.573271
1998-12-28,9.487127
1998-12-29,9.693864
1998-12-30,9.613469
1998-12-31,9.601979
1999-01-04,9.544557
1999-01-05,9.705355
1999-01-06,9.981009
1999-01-07,9.969525
1999-01-08,9.981009
1999-01-11,9.929324
1999-01-12,9.670898
1999-01-13,9.716840
1999-01-14,9.498612
1999-01-15,9.619214
1999-01-19,9.613469
1999-01-20,9.774270
1999-01-21,9.682384
1999-01-22,9.728324
1999-01-25,9.705355
1999-01-26,9.935066
1999-01-27,9.923581
1999-01-28,10.026953
1999-01-29,10.095865
1999-02-01,10.118837
1999-02-02,9.992497
1999-02-03,10.153293
1999-02-04,10.095865
1999-02-05,9.843178
1999-02-08,10.003981
1999-02-09,9.693864
1999-02-10,9.693864
1999-02-11,10.009719
1999-02-12,9.831695
1999-02-16,9.958035
1999-02-17,9.923581
1999-02-18,9.935066
1999-02-19,9.986755
1999-02-22,10.239433
1999-02-23,10.187745
1999-02-24,10.061408
1999-02-25,9.946552
1999-02-26,10.032696
1999-03-01,10.038440
1999-03-02,10.061408
1999-03-03,10.009719
1999-03-04,10.222204
1999-03-05,10.532318
1999-03-08,10.578259
1999-03-09,10.606975
1999-03-10,10.578259
1999-03-11,10.693117
1999-03-12,10.739060
1999-03-15,10.762031
1999-03-16,10.704602
1999-03-17,10.658656
1999-03-18,10.842433
1999-03-19,10.693226
1999-03-22,10.578248
1999-03-23,10.256302
1999-03-24,10.175820
1999-03-25,10.486269
1999-03-26,10.417275
1999-03-29,10.670236
1999-03-30,10.681736
1999-03-31,10.520754
1999-04-01,10.509260
1999-04-05,10.647239
1999-04-06,10.704728
1999-04-07,10.796715
1999-04-08,11.038175
1999-04-09,11.141662
1999-04-12,11.233640
1999-04-13,11.176155
1999-04-14,10.923190
1999-04-15,10.900198
1999-04-16,10.934690
1999-04-19,10.693226
1999-04-20,10.831210
1999-04-21,11.015178
1999-04-22,11.043926
1999-04-23,11.164654
1999-04-26,11.095664
1999-04-27,11.124413
1999-04-28,11.084168
1999-04-29,10.831210
1999-04-30,10.796715
1999-05-03,11.061166
1999-05-04,10.934690
1999-05-05,10.842705
1999-05-06,10.601249
1999-05-07,10.842705
1999-05-10,10.831210
1999-05-11,11.049668
1999-05-12,11.118657
1999-05-13,11.061166
1999-05-14,10.842705
1999-05-17,10.624242
1999-05-18,10.693226
1999-05-19,10.566757
1999-05-20,10.658739
1999-05-21,10.589747
1999-05-24,10.359786
1999-05-25,10.256302
1999-05-26,10.371284
1999-05-27,10.164320
1999-05-28,10.308048
1999-06-01,10.371284
1999-06-02,10.348289
1999-06-03,10.589747
1999-06-04,10.670236
1999-06-07,10.698983
1999-06-08,10.538008
1999-06-09,10.434524
1999-06-10,10.285047
1999-06-11,10.233305
1999-06-14,10.244802
1999-06-15,10.175820
1999-06-16,10.451767
1999-06-17,10.400030
1999-06-18,10.477350
1999-06-21,10.661570
1999-06-22,10.592493
1999-06-23,10.442814
1999-06-24,10.419786
1999-06-25,10.385247
1999-06-28,10.586739
1999-06-29,10.765189
1999-06-30,10.972438
1999-07-01,11.030006
1999-07-02,11.087570
1999-07-06,11.179684
1999-07-07,11.076058
1999-07-08,10.983954
1999-07-09,10.983954
1999-07-12,10.914869
1999-07-13,10.834273
1999-07-14,10.857299
1999-07-15,11.001219
1999-07-16,11.064550
1999-07-19,11.041519
1999-07-20,10.753680
1999-07-21,10.650056
1999-07-22,10.511895
1999-07-23,10.431300
1999-07-26,10.488866
1999-07-27,10.546440
1999-07-28,10.511895
1999-07-29,10.350705
1999-07-30,10.154976
1999-08-02,10.080134
1999-08-03,9.953491
1999-08-04,9.752002
1999-08-05,9.665645
1999-08-06,9.590807
1999-08-09,9.464156
1999-08-10,9.464156
1999-08-11,9.671402
1999-08-12,9.786536
1999-08-13,9.982271
1999-08-16,10.120433
1999-08-17,10.097406
1999-08-18,10.062868
1999-08-19,9.976517
1999-08-20,10.085894
1999-08-23,10.247082
1999-08-24,10.235571
1999-08-25,10.339187
1999-08-26,10.137706
1999-08-27,10.097406
1999-08-30,9.878649
1999-08-31,9.763515
1999-09-01,9.775024
1999-09-02,9.659892
1999-09-03,9.924705
1999-09-07,9.769274
1999-09-08,9.717463
1999-09-09,9.752002
1999-09-10,9.936219
1999-09-13,9.907435
1999-09-14,9.855623
1999-09-15,9.769274
1999-09-16,9.562021
1999-09-17,9.696740
1999-09-20,9.685211
1999-09-21,9.466143
1999-09-22,9.569912
1999-09-23,9.616029
1999-09-24,9.420021
1999-09-27,9.581437
1999-09-28,9.552620
1999-09-29,9.483438
1999-09-30,9.621797
1999-10-01,9.673681
1999-10-04,9.984993
1999-10-05,10.002287
1999-10-06,10.111820
1999-10-07,10.082997
1999-10-08,10.371247
1999-10-11,10.446196
1999-10-12,10.232885
1999-10-13,10.111820
1999-10-14,9.967701
1999-10-15,9.714033
1999-10-18,9.777454
1999-10-19,9.875457
1999-10-20,10.048409
1999-10-21,9.961930
1999-10-22,10.221359
1999-10-25,10.042642
1999-10-26,9.794744
1999-10-27,9.823570
1999-10-28,10.192533
1999-10-29,10.475019
1999-11-01,10.400073
1999-11-02,10.325124
1999-11-03,10.238651
1999-11-04,10.365479
1999-11-05,10.434662
1999-11-08,10.400073
1999-11-09,10.290535
1999-11-10,10.330893
1999-11-11,10.353948
1999-11-12,10.596084
1999-11-15,10.613378
1999-11-16,10.659496
1999-11-17,10.567258
1999-11-18,10.613378
1999-11-19,10.515373
1999-11-22,10.394306
1999-11-23,10.353948
1999-11-24,10.411601
1999-11-26,10.538430
1999-11-29,10.630676
1999-11-30,10.480781
1999-12-01,10.607614
1999-12-02,10.561493
1999-12-03,10.682560
1999-12-06,10.699856
1999-12-07,10.521135
1999-12-08,10.463485
1999-12-09,10.446196
1999-12-10,10.734442
1999-12-13,11.057285
1999-12-14,10.913162
1999-12-15,10.965042
1999-12-16,11.207170
1999-12-17,11.151940
1999-12-20,10.828702
1999-12-21,10.874880
1999-12-22,10.897967
1999-12-23,11.111542
1999-12-27,11.221214
1999-12-28,11.336654
1999-12-29,11.382833
1999-12-30,11.348203
1999-12-31,11.475195
2000-01-03,11.128857
2000-01-04,10.794067
2000-01-05,10.661306
2000-01-06,10.782522
2000-01-07,11.290481
2000-01-10,11.232752
2000-01-11,11.169264
2000-01-12,11.105764
2000-01-13,11.163488
2000-01-14,11.134627
2000-01-18,11.071133
2000-01-19,11.048049
2000-01-20,10.897967
2000-01-21,10.672852
2000-01-24,10.274567
2000-01-25,10.338061
2000-01-26,10.413096
2000-01-27,10.384240
2000-01-28,9.974408
2000-01-31,10.049446
2000-02-01,10.413096
2000-02-02,10.343837
2000-02-03,10.384240
2000-02-04,10.366920
2000-02-07,10.147578
2000-02-08,10.378465
2000-02-09,10.205300
2000-02-10,10.112942
2000-02-11,9.968637
2000-02-14,10.020591
2000-02-15,10.043674
2000-02-16,9.651167
2000-02-17,9.374101
2000-02-18,9.235568
2000-02-22,9.258653
2000-02-23,9.229795
2000-02-24,8.935410
2000-02-25,8.970042
2000-02-28,9.293288
2000-02-29,9.489544
2000-03-01,9.379870
2000-03-02,9.368326
2000-03-03,9.541494
2000-03-06,9.316377
2000-03-07,9.056625
2000-03-08,9.166296
2000-03-09,9.351012
2000-03-10,9.224023
2000-03-13,9.148983
2000-03-14,9.166296
2000-03-15,9.720434
2000-03-16,10.436190
2000-03-17,10.462329
2000-03-20,10.364015
2000-03-21,10.479684
2000-03-22,10.433412
2000-03-23,10.462329
2000-03-24,10.497026
2000-03-27,10.468114
2000-03-28,10.502818
2000-03-29,10.711021
2000-03-30,10.948143
2000-03-31,10.832470
2000-04-03,11.156347
2000-04-04,11.017549
2000-04-05,11.034897
2000-04-06,11.150569
2000-04-07,11.150569
2000-04-10,11.410822
2000-04-11,11.491793
2000-04-12,11.468657
2000-04-13,11.254667
2000-04-14,10.364015
2000-04-17,10.375580
2000-04-18,10.595352
