date,value
2003-10-29,8.699811
2003-10-30,8.414334
2003-10-31,8.072622
2003-11-03,8.469470
2003-11-04,8.025305
2003-11-05,8.287673
2003-11-06,8.277498
2003-11-07,8.065545
2003-11-10,7.358767
2003-11-11,6.846569
2003-11-12,6.728924
2003-11-13,6.471782
2003-11-14,6.690410
2003-11-17,6.016349
2003-11-18,5.748438
2003-11-19,4.952767
2003-11-20,4.732801
2003-11-21,4.237275
2003-11-24,4.944702
2003-11-25,5.383822
2003-11-26,5.015760
2003-11-28,5.036660
2003-12-01,5.708440
2003-12-02,4.746990
2003-12-03,4.528967
2003-12-04,4.165942
2003-12-05,4.876074
2003-12-08,5.263544
2003-12-09,4.304113
2003-12-10,3.323376
2003-12-11,4.678683
2003-12-12,4.899520
2003-12-15,4.334720
2003-12-16,4.577523
2003-12-17,4.387751
2003-12-18,4.689935
2003-12-19,5.616473
2003-12-22,5.774102
2003-12-23,5.969918
2003-12-24,6.298857
2003-12-26,5.854933
2003-12-29,5.645402
2003-12-30,6.430044
2003-12-31,6.384965
2004-01-02,5.353538
2004-01-05,5.852866
2004-01-06,5.393366
2004-01-07,4.374922
2004-01-08,5.606990
2004-01-09,6.317423
2004-01-12,5.030933
2004-01-13,6.295313
2004-01-14,6.813746
2004-01-15,7.023974
2004-01-16,7.226160
2004-01-20,7.684828
2004-01-21,6.802894
2004-01-22,7.735147
2004-01-23,6.403276
2004-01-26,6.210554
2004-01-27,5.792811
2004-01-28,5.888820
2004-01-29,5.776859
2004-01-30,5.656054
2004-02-02,5.035017
2004-02-03,5.476857
2004-02-04,4.852337
2004-02-05,5.205366
2004-02-06,6.559105
2004-02-09,6.511155
2004-02-10,6.621159
2004-02-11,6.760162
2004-02-12,6.441441
2004-02-13,5.174233
2004-02-17,5.580862
2004-02-18,5.271785
2004-02-19,4.634524
2004-02-20,3.955641
2004-02-23,2.885715
2004-02-24,2.934599
2004-02-25,3.719377
2004-02-26,3.904739
2004-02-27,3.883249
2004-03-01,3.923913
2004-03-02,4.206099
2004-03-03,3.847774
2004-03-04,4.317185
2004-03-05,4.338729
2004-03-08,4.212374
2004-03-09,3.705904
2004-03-10,4.060779
2004-03-11,4.516843
2004-03-12,4.314058
2004-03-15,3.768185
2004-03-16,3.684427
2004-03-17,4.197579
2004-03-18,4.147615
2004-03-19,4.624140
2004-03-22,3.655617
2004-03-23,4.201532
2004-03-24,3.404463
2004-03-25,3.767748
2004-03-26,4.345697
2004-03-29,4.486545
2004-03-30,5.391040
2004-03-31,4.890270
2004-04-01,5.251519
2004-04-02,5.529434
2004-04-05,5.249612
2004-04-06,5.164484
2004-04-07,4.686572
2004-04-08,4.857674
2004-04-12,4.375075
2004-04-13,4.562240
2004-04-14,2.892864
2004-04-15,3.519376
2004-04-16,3.454229
2004-04-19,3.710290
2004-04-20,4.039495
2004-04-21,4.402738
2004-04-22,4.616576
2004-04-23,4.517777
2004-04-26,3.607409
2004-04-27,4.501397
2004-04-28,3.523552
2004-04-29,2.811299
2004-04-30,2.848654
2004-05-03,2.112419
2004-05-04,2.388734
2004-05-05,1.796642
2004-05-06,1.892570
2004-05-07,1.653297
2004-05-10,1.055780
2004-05-11,0.757731
2004-05-12,0.808137
2004-05-13,1.641897
2004-05-14,1.026761
2004-05-17,0.386833
2004-05-18,1.059614
2004-05-19,1.705564
2004-05-20,1.503776
2004-05-21,1.818364
2004-05-24,2.036137
2004-05-25,2.431145
2004-05-26,1.637194
2004-05-27,1.280374
2004-05-28,1.559528
2004-06-01,1.388482
2004-06-02,1.231264
2004-06-03,1.255949
2004-06-04,1.039185
2004-06-07,1.978672
2004-06-08,1.798391
2004-06-09,1.561606
2004-06-10,1.645903
2004-06-14,2.271308
2004-06-15,1.719738
2004-06-16,1.761811
2004-06-17,2.170341
2004-06-18,2.446912
2004-06-21,2.538762
2004-06-22,2.235473
2004-06-23,2.239771
2004-06-24,2.606867
2004-06-25,2.567044
