date,value
2026-07-20,0.374726
2026-07-21,0.374726
2026-07-22,0.376579
2026-07-23,0.376088
2026-07-24,0.375708
2026-07-25,0.369028
2026-07-27,0.369028
2026-07-28,0.368467
2026-07-29,0.367121
2026-07-30,0.367865
2026-07-31,0.368336
2026-08-01,0.371345
2026-08-03,0.371345
2026-08-04,0.376077
2026-08-05,0.380117
2026-08-06,0.379803
2026-08-07,0.379830
2026-08-08,0.381386
2026-08-10,0.381386
2026-08-11,0.381247
2026-08-12,0.379386
2026-08-13,0.376359
2026-08-14,0.375150
2026-08-15,0.375568
2026-08-17,0.375568
2026-08-18,0.374096
2026-08-19,0.373440
