date,value
1980-12-30,-4.381825
1980-12-31,-4.635081
1981-01-02,-5.006537
1981-01-05,-6.182312
1981-01-06,-6.215098
1981-01-07,-3.801856
1981-01-08,-2.173168
1981-01-09,-2.418071
1981-01-12,-2.370123
1981-01-13,-2.114970
1981-01-14,-2.179302
1981-01-15,-2.681167
1981-01-16,-3.028485
1981-01-19,-2.651668
1981-01-20,-0.509118
1981-01-21,-0.219770
1981-01-22,0.682135
1981-01-23,0.763344
1981-01-26,1.115654
1981-01-27,0.199760
1981-01-28,0.852264
1981-01-29,0.987203
1981-01-30,1.571045
1981-02-02,3.630350
1981-02-03,2.511666
1981-02-04,2.473097
1981-02-05,1.739315
1981-02-06,1.060748
1981-02-09,2.120163
1981-02-10,2.192960
1981-02-11,2.996299
1981-02-12,3.615375
1981-02-13,4.035467
1981-02-17,3.453849
1981-02-18,2.994671
1981-02-19,4.447344
1981-02-20,4.510895
1981-02-23,3.970797
1981-02-24,3.983549
1981-02-25,3.180223
1981-02-26,2.041941
1981-02-27,1.212640
1981-03-02,0.707983
1981-03-03,1.846900
1981-03-04,1.669553
1981-03-05,2.413599
1981-03-06,2.518730
1981-03-09,1.613124
1981-03-10,2.151874
1981-03-11,2.573398
1981-03-12,0.189281
1981-03-13,0.292597
1981-03-16,-0.832632
1981-03-17,-0.216801
1981-03-18,-0.392836
1981-03-19,0.222679
1981-03-20,-0.196689
1981-03-23,-1.352230
1981-03-24,-0.546155
1981-03-25,-2.318937
1981-03-26,-1.647233
1981-03-27,-0.400680
1981-03-30,-0.086544
1981-03-31,-1.326926
1981-04-01,-1.709271
1981-04-02,-1.481281
1981-04-03,-0.824081
1981-04-06,0.375681
1981-04-07,0.430542
1981-04-08,0.173074
1981-04-09,-0.055049
1981-04-10,0.099668
1981-04-13,1.143516
1981-04-14,1.525525
1981-04-15,0.459539
1981-04-16,0.105997
1981-04-20,-0.410382
1981-04-21,0.527445
1981-04-22,0.625673
1981-04-23,0.805780
1981-04-24,-0.048613
1981-04-27,-0.263234
1981-04-28,0.620513
1981-04-29,1.593046
1981-04-30,1.796976
1981-05-01,1.889074
1981-05-04,3.422227
1981-05-05,3.696750
1981-05-06,3.372700
1981-05-07,2.733428
1981-05-08,2.759585
1981-05-11,4.214844
1981-05-12,3.488024
1981-05-13,3.630948
1981-05-14,3.109118
1981-05-15,2.471443
1981-05-18,2.219447
1981-05-19,2.572383
1981-05-20,2.659955
1981-05-21,2.865425
1981-05-22,3.193756
1981-05-26,2.150572
1981-05-27,1.433326
1981-05-28,1.685910
1981-05-29,2.336404
1981-06-01,2.486504
1981-06-02,3.814918
1981-06-03,3.758080
1981-06-04,3.588352
1981-06-05,2.679151
1981-06-08,2.680615
1981-06-09,2.891729
1981-06-10,2.646218
1981-06-11,1.610686
1981-06-12,1.818594
1981-06-15,1.749764
1981-06-16,2.842542
1981-06-17,2.003326
1981-06-18,3.253165
1981-06-19,2.801841
1981-06-22,3.049372
1981-06-23,2.036925
1981-06-24,2.561614
1981-06-25,2.468084
1981-06-26,2.666394
1981-06-29,3.170113
1981-06-30,3.679991
1981-07-01,4.744696
1981-07-02,5.577651
1981-07-06,6.507101
1981-07-07,5.868204
1981-07-08,5.807773
1981-07-09,5.086380
1981-07-10,5.034891
1981-07-13,4.835339
1981-07-14,4.829727
1981-07-15,4.411201
1981-07-16,4.343133
1981-07-17,4.044800
1981-07-20,5.544726
1981-07-21,5.824034
1981-07-22,6.707936
1981-07-23,6.501914
1981-07-24,5.719318
1981-07-27,4.659218
1981-07-28,5.213511
1981-07-29,5.196741
1981-07-30,4.569093
1981-07-31,3.899065
1981-08-03,4.216035
1981-08-04,3.700222
1981-08-05,2.608587
1981-08-06,2.630665
1981-08-07,3.283833
1981-08-10,2.705084
1981-08-11,1.751702
1981-08-12,2.088791
1981-08-13,2.018800
1981-08-14,2.775764
1981-08-17,3.713928
1981-08-18,4.535518
1981-08-19,4.262328
1981-08-20,4.118673
1981-08-21,5.185939
1981-08-24,7.916468
1981-08-25,8.180713
1981-08-26,8.297385
1981-08-27,9.347791
1981-08-28,8.910775
1981-08-31,9.833700
1981-09-01,9.639896
1981-09-02,9.269405
1981-09-03,10.890372
1981-09-04,11.717500
1981-09-08,13.216073
1981-09-09,12.871738
1981-09-10,11.559755
1981-09-11,10.446432
1981-09-14,11.111888
1981-09-15,11.731462
1981-09-16,12.363048
1981-09-17,13.597313
1981-09-18,14.219053
1981-09-21,13.463032
1981-09-22,13.846771
1981-09-23,14.581958
1981-09-24,15.028573
1981-09-25,16.657890
1981-09-28,14.598044
1981-09-29,14.272301
1981-09-30,14.072146
1981-10-01,13.383168
1981-10-02,11.672580
1981-10-05,11.537770
1981-10-06,11.601340
1981-10-07,10.153757
1981-10-08,9.389585
1981-10-09,10.000704
1981-10-12,10.150908
1981-10-13,10.444069
1981-10-14,11.882969
1981-10-15,11.179371
1981-10-16,11.534691
1981-10-19,11.656798
1981-10-20,10.659438
1981-10-21,10.766184
1981-10-22,11.083881
1981-10-23,11.830309
1981-10-26,12.130127
1981-10-27,11.264670
1981-10-28,11.120424
1981-10-29,11.383388
1981-10-30,9.253307
1981-11-02,7.514432
1981-11-03,7.054710
1981-11-04,7.086904
1981-11-05,7.968159
1981-11-06,8.602225
1981-11-09,8.128041
1981-11-10,8.552027
1981-11-11,8.374222
1981-11-12,8.159773
1981-11-13,9.278397
1981-11-16,10.332467
1981-11-17,9.640374
1981-11-18,10.288936
1981-11-19,9.936853
1981-11-20,9.174254
1981-11-23,9.242121
1981-11-24,7.805766
1981-11-25,7.394748
1981-11-27,5.840402
1981-11-30,4.890739
1981-12-01,5.075633
1981-12-02,6.129819
1981-12-03,5.803254
1981-12-04,4.944388
1981-12-07,5.745812
1981-12-08,6.019481
1981-12-09,5.516716
1981-12-10,5.335097
1981-12-11,5.910355
1981-12-14,7.512261
1981-12-15,7.339815
1981-12-16,7.753417
1981-12-17,7.213090
1981-12-18,6.538770
1981-12-21,7.021499
1981-12-22,7.353960
1981-12-23,7.769354
1981-12-24,7.575845
1981-12-28,7.759093
1981-12-29,8.187348
1981-12-30,7.690029
1981-12-31,7.479260
1982-01-04,7.315494
1982-01-05,9.000613
1982-01-06,9.629623
1982-01-07,9.790172
1982-01-08,9.287307
1982-01-11,11.353763
1982-01-12,11.684899
1982-01-13,12.728466
1982-01-14,12.190163
1982-01-15,11.552940
1982-01-18,10.841191
1982-01-19,11.756439
1982-01-20,12.255287
1982-01-21,11.856827
1982-01-22,12.104163
1982-01-25,12.046222
1982-01-26,12.178707
1982-01-27,11.727490
1982-01-28,9.276234
1982-01-29,8.120836
1982-02-01,10.088543
1982-02-02,9.880221
