date,value
2006-07-17,1.032687
2006-07-18,1.030198
2006-07-19,0.996795
2006-07-20,0.993869
2006-07-21,1.021127
2006-07-24,0.972096
2006-07-25,1.016427
2006-07-26,1.002743
2006-07-27,0.985488
2006-07-28,0.979494
2006-07-31,0.980328
2006-08-01,0.977908
2006-08-02,0.952191
2006-08-03,0.960797
2006-08-04,0.950298
2006-08-07,0.992182
2006-08-08,0.984486
2006-08-09,0.975610
2006-08-10,0.946335
2006-08-11,0.935864
2006-08-14,0.933246
2006-08-15,0.924242
2006-08-16,0.884533
2006-08-17,0.914798
2006-08-18,0.888550
2006-08-21,0.910581
2006-08-22,0.907669
2006-08-23,0.914454
2006-08-24,0.913108
2006-08-25,0.911177
2006-08-28,0.911677
2006-08-29,0.917788
2006-08-30,0.917417
2006-08-31,0.925564
2006-09-01,0.906748
2006-09-05,0.945359
2006-09-06,0.959497
2006-09-07,0.959226
2006-09-08,0.927414
2006-09-11,0.914789
2006-09-12,0.881657
2006-09-13,0.838081
2006-09-14,0.852399
2006-09-15,0.876957
2006-09-18,0.879104
2006-09-19,0.884133
2006-09-20,0.857681
2006-09-21,0.900073
2006-09-22,0.893542
2006-09-25,0.900446
2006-09-26,0.880153
2006-09-27,0.875946
2006-09-28,0.881866
2006-09-29,0.890706
2006-10-02,0.924945
2006-10-03,0.906667
2006-10-04,0.895770
2006-10-05,0.902108
2006-10-06,0.883792
2006-10-09,0.894334
2006-10-10,0.882759
2006-10-11,0.887023
2006-10-12,0.892915
2006-10-13,0.881148
2006-10-16,0.897976
2006-10-17,0.928741
2006-10-18,0.909383
2006-10-19,0.885459
2006-10-20,0.881426
2006-10-23,0.907453
2006-10-24,0.936577
2006-10-25,0.938380
2006-10-26,0.940338
2006-10-27,0.949868
2006-10-30,0.930233
2006-10-31,0.973684
2006-11-01,0.952815
2006-11-02,0.942244
2006-11-03,0.923841
2006-11-06,0.978947
2006-11-07,0.977093
2006-11-08,0.960679
2006-11-09,0.968338
2006-11-10,0.939077
2006-11-13,0.954306
2006-11-14,0.940018
2006-11-15,0.927158
2006-11-16,0.921124
2006-11-17,0.908680
2006-11-20,0.891771
2006-11-21,0.884718
2006-11-22,0.880208
2006-11-24,0.873779
2006-11-27,0.926903
2006-11-28,0.920032
2006-11-29,0.887705
2006-11-30,0.886271
2006-12-01,0.926132
2006-12-04,0.905645
2006-12-05,0.905949
2006-12-06,0.905675
2006-12-07,0.939911
2006-12-08,0.906837
2006-12-11,0.808302
2006-12-12,0.808656
2006-12-13,0.779479
2006-12-14,0.766334
2006-12-15,0.765423
2006-12-18,0.803639
2006-12-19,0.815519
2006-12-20,0.818835
2006-12-21,0.803817
2006-12-22,0.854135
2006-12-26,0.857578
2006-12-27,0.845115
2006-12-28,0.838931
2006-12-29,0.869827
2007-01-03,0.899851
2007-01-04,0.876618
2007-01-05,0.905295
2007-01-08,0.903614
2007-01-09,0.898190
2007-01-10,0.880952
2007-01-11,0.878029
2007-01-12,0.840928
2007-01-16,0.878887
2007-01-17,0.876656
2007-01-18,0.896694
2007-01-19,0.895780
2007-01-22,0.884963
2007-01-23,0.896014
2007-01-24,0.880677
2007-01-25,0.925743
2007-01-26,0.920596
2007-01-29,0.940838
2007-01-30,0.944828
2007-01-31,0.919682
2007-02-01,0.913198
2007-02-02,0.896797
2007-02-05,0.923818
2007-02-06,0.934211
2007-02-07,0.912467
2007-02-08,0.914186
2007-02-09,0.913580
2007-02-12,0.938561
2007-02-13,0.903057
2007-02-14,0.908526
2007-02-15,0.907638
2007-02-16,0.894643
2007-02-20,0.901408
2007-02-21,0.896309
2007-02-22,0.897707
2007-02-23,0.881667
2007-02-26,0.915435
2007-02-27,1.073271
2007-02-28,1.065653
2007-03-01,1.085048
2007-03-02,1.129933
2007-03-05,1.130760
2007-03-06,1.040417
2007-03-07,1.013972
2007-03-08,0.999301
2007-03-09,0.988079
2007-03-12,0.988693
2007-03-13,1.106838
2007-03-14,1.068688
2007-03-15,1.025593
2007-03-16,1.014502
2007-03-19,0.964309
2007-03-20,0.928621
2007-03-21,0.929825
2007-03-22,0.967814
2007-03-23,0.962825
2007-03-26,0.969072
2007-03-27,0.954674
2007-03-28,0.990086
2007-03-29,0.993438
2007-03-30,0.969536
2007-04-02,0.966090
2007-04-03,0.945225
2007-04-04,0.929123
2007-04-05,0.940967
2007-04-09,0.936565
2007-04-10,0.939259
2007-04-11,0.950669
2007-04-12,0.938700
2007-04-13,0.916604
2007-04-16,0.909643
2007-04-17,0.927426
2007-04-18,0.942337
2007-04-19,0.942857
2007-04-20,0.959459
2007-04-23,0.996942
2007-04-24,1.001527
2007-04-25,1.012261
2007-04-26,1.015079
2007-04-27,0.996797
2007-04-30,1.014989
2007-05-01,1.008962
2007-05-02,0.987170
2007-05-03,0.990166
2007-05-04,0.973605
2007-05-07,0.986497
2007-05-08,0.984352
2007-05-09,0.972810
2007-05-10,0.965224
2007-05-11,0.963542
2007-05-14,0.980337
2007-05-15,0.983848
2007-05-16,0.961538
2007-05-17,0.953423
2007-05-18,0.945185
2007-05-21,0.977223
2007-05-22,0.965976
2007-05-23,0.973529
2007-05-24,0.979819
2007-05-25,0.943423
2007-05-29,0.960938
2007-05-30,0.953903
2007-05-31,0.968820
2007-06-01,0.947368
2007-06-04,0.943892
2007-06-05,0.955820
2007-06-06,0.974443
2007-06-07,1.037082
2007-06-08,0.980833
2007-06-11,0.974172
2007-06-12,1.040574
2007-06-13,0.976790
2007-06-14,0.943292
2007-06-15,0.928714
2007-06-18,0.921703
2007-06-19,0.899230
2007-06-20,0.948287
2007-06-21,0.929366
2007-06-22,0.968635
2007-06-25,1.010316
2007-06-26,1.045958
2007-06-27,0.968204
2007-06-28,0.970643
2007-06-29,0.989634
2007-07-02,0.956522
2007-07-03,0.955798
2007-07-05,0.960894
2007-07-06,0.947843
2007-07-09,0.942786
2007-07-10,1.010932
2007-07-11,0.976526
2007-07-12,0.950459
2007-07-13,0.928309
2007-07-16,0.947720
2007-07-17,0.947273
2007-07-18,0.938416
2007-07-19,0.928659
2007-07-20,0.971904
2007-07-23,0.977894
2007-07-24,1.012002
2007-07-25,1.001660
2007-07-26,1.091005
2007-07-27,1.142790
2007-07-30,1.079669
2007-07-31,1.101639
2007-08-01,1.095833
2007-08-02,1.036133
2007-08-03,1.112290
2007-08-06,1.075985
2007-08-07,1.046094
2007-08-08,1.051986
2007-08-09,1.083470
2007-08-10,1.114173
2007-08-13,1.128717
2007-08-14,1.127954
2007-08-15,1.158233
2007-08-16,1.139320
2007-08-17,1.146407
2007-08-20,1.133448
2007-08-21,1.117257
2007-08-22,1.077684
2007-08-23,1.068493
2007-08-24,1.021193
2007-08-27,1.060691
2007-08-28,1.050739
2007-08-29,1.027622
2007-08-30,1.070483
2007-08-31,1.041889
2007-09-04,1.034984
2007-09-05,1.058115
2007-09-06,1.037181
2007-09-07,1.069739
2007-09-10,1.083927
2007-09-11,1.070763
2007-09-12,1.063485
2007-09-13,1.057216
2007-09-14,1.061329
2007-09-17,1.088816
2007-09-18,0.986428
2007-09-19,0.987673
2007-09-20,0.997075
2007-09-21,0.949525
2007-09-24,0.988770
2007-09-25,0.956298
2007-09-26,0.927407
2007-09-27,0.932529
2007-09-28,0.966184
2007-10-01,0.958624
2007-10-02,0.962019
2007-10-03,0.962622
2007-10-04,0.949048
2007-10-05,0.922028
2007-10-08,0.938710
2007-10-09,0.914351
2007-10-10,0.909934
2007-10-11,0.964249
2007-10-12,0.925849
2007-10-15,0.944090
2007-10-16,0.944340
2007-10-17,0.910609
2007-10-18,0.914483
2007-10-19,0.988803
2007-10-22,1.005576
2007-10-23,0.971442
2007-10-24,0.976984
2007-10-25,0.990178
2007-10-26,0.959294
2007-10-29,0.974020
2007-10-30,0.989666
2007-10-31,0.949283
2007-11-01,1.025630
2007-11-02,0.994382
2007-11-05,1.011652
2007-11-06,0.964817
2007-11-07,1.049525
2007-11-08,1.031546
2007-11-09,1.054384
