date,fragility,stress
1990-01-05,58.7,
1990-01-12,59.0,
1990-01-19,59.2,
1990-01-26,59.4,
1990-02-02,59.5,
1990-02-09,57.3,
1990-02-16,57.1,
1990-02-23,57.0,
1990-03-02,56.9,
1990-03-09,55.1,
1990-03-16,55.4,
1990-03-23,55.7,
1990-03-30,56.0,
1990-04-06,57.2,
1990-04-13,57.6,
1990-04-20,57.8,
1990-04-27,57.8,
1990-05-04,57.2,
1990-05-11,56.7,
1990-05-18,55.5,
1990-05-25,54.8,
1990-06-01,54.2,
1990-06-08,55.6,
1990-06-15,55.0,
1990-06-22,54.6,
1990-06-29,54.4,
1990-07-06,56.0,
1990-07-13,56.3,
1990-07-20,57.0,
1990-07-27,57.8,
1990-08-03,58.4,
1990-08-10,58.8,
1990-08-17,60.4,
1990-08-24,61.6,
1990-08-31,62.9,
1990-09-07,58.5,
1990-09-14,59.7,
1990-09-21,60.5,
1990-09-28,61.2,
1990-10-05,58.9,
1990-10-12,59.4,
1990-10-19,59.5,
1990-10-26,59.6,
1990-11-02,59.6,
1990-11-09,57.8,
1990-11-16,57.8,
1990-11-23,57.9,
1990-11-30,57.9,
1990-12-07,59.6,
1990-12-14,59.8,
1990-12-21,60.1,
1990-12-28,60.1,
1991-01-04,60.0,80.7
1991-01-11,61.6,84.6
1991-01-18,60.8,70.3
1991-01-25,60.0,67.5
1991-02-01,58.9,60.0
1991-02-08,56.5,34.4
1991-02-15,55.0,19.1
1991-02-22,53.3,25.6
1991-03-01,51.6,18.7
1991-03-08,56.3,16.9
1991-03-15,55.7,19.4
1991-03-22,54.8,29.5
1991-03-29,53.9,17.1
1991-04-05,55.1,19.8
1991-04-12,54.6,12.9
1991-04-19,54.3,15.0
1991-04-26,54.2,24.4
1991-05-03,54.1,21.0
1991-05-10,55.2,30.0
1991-05-17,55.2,36.4
1991-05-24,55.4,28.7
1991-05-31,55.4,10.1
1991-06-07,54.9,27.9
1991-06-14,54.8,25.2
1991-06-21,54.4,34.0
1991-06-28,54.0,45.9
1991-07-05,53.1,42.3
1991-07-12,52.5,33.6
1991-07-19,52.0,28.5
1991-07-26,51.6,36.2
1991-08-02,51.1,27.2
1991-08-09,50.8,29.3
1991-08-16,50.1,34.8
1991-08-23,49.8,24.6
1991-08-30,49.6,26.3
1991-09-06,51.0,39.3
1991-09-13,50.9,49.2
1991-09-20,50.7,43.4
1991-09-27,50.7,48.2
1991-10-04,50.7,57.1
1991-10-11,50.1,57.6
1991-10-18,50.0,41.0
1991-10-25,49.9,56.3
1991-11-01,49.8,46.0
1991-11-08,49.6,44.3
1991-11-15,49.6,61.2
1991-11-22,49.6,68.1
1991-11-29,49.5,69.0
1991-12-06,49.2,65.4
1991-12-13,49.2,60.0
1991-12-20,49.1,57.4
1991-12-27,49.1,32.9
1992-01-03,49.1,23.0
1992-01-10,49.7,30.8
1992-01-17,49.9,26.9
1992-01-24,49.9,33.5
1992-01-31,50.0,44.7
1992-02-07,53.6,42.1
1992-02-14,53.6,40.8
1992-02-21,53.6,42.9
1992-02-28,53.6,41.6
1992-03-06,53.1,56.0
1992-03-13,53.0,54.1
1992-03-20,52.7,45.5
1992-03-27,52.6,58.8
1992-04-03,52.4,61.0
1992-04-10,51.5,58.6
1992-04-17,51.2,40.3
1992-04-24,51.1,52.8
1992-05-01,51.0,47.5
1992-05-08,51.1,42.3
1992-05-15,51.0,53.2
1992-05-22,51.0,47.1
1992-05-29,50.9,44.9
1992-06-05,51.7,49.3
1992-06-12,51.6,55.9
1992-06-19,51.6,63.5
1992-06-26,51.6,63.9
1992-07-03,51.6,53.4
1992-07-10,50.7,49.1
1992-07-17,50.7,47.8
1992-07-24,50.7,55.6
1992-07-31,50.7,37.4
1992-08-07,51.5,48.2
1992-08-14,51.6,47.0
1992-08-21,51.7,56.8
1992-08-28,51.8,57.1
1992-09-04,51.9,53.9
1992-09-11,52.4,50.2
1992-09-18,52.5,44.7
1992-09-25,52.6,60.9
1992-10-02,52.8,65.2
1992-10-09,52.8,72.1
1992-10-16,53.3,63.7
1992-10-23,53.6,61.4
1992-10-30,53.8,54.3
1992-11-06,53.0,56.6
1992-11-13,52.9,47.6
1992-11-20,52.6,41.3
1992-11-27,52.1,38.5
1992-12-04,51.8,37.2
1992-12-11,52.9,39.0
1992-12-18,52.7,30.5
1992-12-25,52.5,33.5
1993-01-01,52.3,41.2
1993-01-08,53.3,54.3
1993-01-15,53.1,39.5
1993-01-22,53.0,42.4
1993-01-29,53.0,38.5
1993-02-05,52.6,28.7
1993-02-12,52.6,37.0
1993-02-19,52.7,56.6
1993-02-26,52.7,39.9
1993-03-05,53.1,36.2
1993-03-12,53.1,36.4
1993-03-19,53.1,36.8
1993-03-26,53.1,42.0
1993-04-02,53.1,54.8
1993-04-09,53.5,54.7
1993-04-16,53.5,42.6
1993-04-23,53.5,63.3
1993-04-30,53.5,59.9
